Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ_2,МАТ-УЧ 21,МАТ_2
ВАРНА,Частно основно училище Малкият принц,12.0,88.42,12.0,87.83,39.0,80.64,38.0,80.18,21.0,"83,86",21.0,"73,14",21.0,89,21.0,"78,48"
АВРЕН,Основно училище Христо Ботев,5.0,58.5,5.0,57.4,4.0,52.5,4.0,48.38,5.0,"53,7",5.0,"29,2",7.0,"31,57",7.0,"29,71"
АВРЕН,Основно училище Свети Климент Охридски,10.0,27.9,10.0,32.65,6.0,22.83,6.0,20.17,16.0,"29,5",16.0,"20,13",12.0,"29,33",12.0,"29,58"
АВРЕН,Основно училище Д-р Петър Берон,10.0,64.85,10.0,64.95,16.0,78.13,16.0,70.25,11.0,"49,32",11.0,"35,09",11.0,78,11.0,"63,45"
АВРЕН,СУ Св Св Кирил и Методий,9.0,31.78,9.0,35.44,6.0,41.5,6.0,44.58,3.0,"38,67",3.0,"29,33",9.0,"41,56",9.0,"37,67"
АВРЕН,Основно училище Свети Свети Кирил и Методий,2.0,48.25,2.0,47.75,5.0,47.0,5.0,52.7,5.0,"44,5",5.0,"52,6",5.0,"67,6",5.0,"63,2"
АВРЕН,Основно училище Д-р Петър Берон,2.0,51.0,2.0,42.25,6.0,55.5,6.0,44.33,2.0,"48,25",2.0,"39,5",3.0,"68,33",3.0,71
АКСАКОВО,СУ Свети Климент Охридски,60.0,81.1,61.0,72.51,68.0,77.09,68.0,63.13,69.0,"77,54",70.0,"57,97",83.0,"84,77",83.0,"65,47"
АКСАКОВО,Основно училище Христо Смирненски,8.0,45.44,8.0,33.88,7.0,54.0,7.0,58.5,16.0,"61,31",15.0,"33,8",11.0,"56,09",11.0,"46,73"
АКСАКОВО,СУ Свети Свети Кирил и Методий,29.0,33.03,29.0,45.48,22.0,20.77,22.0,24.68,35.0,"44,84",33.0,"24,15",26.0,48,27.0,"31,63"
АКСАКОВО,Основно училище Свети Климент Охридски,8.0,51.69,7.0,52.0,7.0,34.57,7.0,27.79,7.0,"44,86",7.0,20,9.0,"44,56",9.0,"28,22"
АКСАКОВО,Основно училище Свети Климент Охридски,11.0,45.68,12.0,55.71,11.0,74.64,11.0,63.32,7.0,"60,93",7.0,41,9.0,"89,56",9.0,"75,78"
АКСАКОВО,ОУ Иван Вазов,19.0,55.5,19.0,72.45,18.0,61.28,18.0,68.28,17.0,"69,88",17.0,"35,94",28.0,"71,43",28.0,61
БЕЛОСЛАВ,Начално училище Отец Паисий,11.0,73.77,11.0,74.41,7.0,43.14,7.0,37.71,14.0,"70,89",14.0,"50,07",13.0,"68,54",13.0,"45,08"
БЕЛОСЛАВ,СУ Св св Кирил и Методий,37.0,70.04,37.0,57.99,41.0,74.41,40.0,58.05,35.0,"73,8",36.0,"43,08",47.0,"75,36",47.0,"57,66"
БЕЛОСЛАВ,Основно училище Свети Патриарх Евтимий,12.0,67.88,12.0,58.71,13.0,66.0,13.0,68.69,11.0,"72,64",11.0,"49,73",14.0,"63,36",14.0,"39,57"
БЕЛОСЛАВ,Основно училище Свети Свети Кирил и Методий,7.0,67.57,7.0,60.36,9.0,61.22,9.0,54.83,13.0,"74,69",13.0,"50,77",14.0,"78,57",14.0,"66,43"
ВАРНА,Основно училище Свети Климент Охридски,1.0,81.0,1.0,88.0,2.0,91.5,2.0,72.0,5.0,"71,9",5.0,"43,2",10.0,"68,5",10.0,"49,3"
БЯЛА,Основно училище Отец Паисий,21.0,54.64,23.0,45.83,30.0,51.7,30.0,44.13,20.0,"51,88",19.0,"34,74",28.0,"70,07",28.0,"47,68"
ВЕТРИНО,СУ Христо Ботев,21.0,72.83,21.0,66.45,19.0,62.53,19.0,45.76,19.0,"58,71",20.0,"33,4",31.0,"61,87",31.0,"42,23"
ВЪЛЧИ ДОЛ,СУ Васил Левски,29.0,54.79,29.0,49.19,31.0,63.84,31.0,48.97,21.0,"65,88",20.0,"43,55",31.0,"60,71",32.0,"51,5"
ВЪЛЧИ ДОЛ,ОУ Васил Левски,11.0,44.36,11.0,52.95,13.0,45.15,13.0,49.65,9.0,"45,44",9.0,"40,78",12.0,"46,58",11.0,"56,09"
ВЪЛЧИ ДОЛ,Основно училище Климент Охридски,12.0,39.46,12.0,30.67,6.0,40.67,5.0,27.7,5.0,"42,9",4.0,"23,5",4.0,"46,5",4.0,"48,5"
ВЪЛЧИ ДОЛ,ОУ Св Иван Рилски,9.0,23.5,9.0,38.28,11.0,21.91,11.0,35.45,7.0,"17,57",9.0,38,8.0,"25,63",8.0,"28,88"
ВАРНА,Частно основно училище Монтесори Варна,5.0,85.3,5.0,92.8,1.0,89.0,1.0,81.0,4.0,"74,88",4.0,"78,75",6.0,"89,33",6.0,"88,83"
ДЕВНЯ,Среднo училище Васил Левски,41.0,65.26,40.0,56.16,53.0,64.51,53.0,54.56,65.0,"56,79",65.0,"39,71",46.0,"66,89",45.0,"52,78"
ДОЛНИ ЧИФЛИК,СУ Васил Левски,42.0,67.46,42.0,59.54,36.0,45.44,36.0,43.78,51.0,"46,66",50.0,"32,92",56.0,"60,68",57.0,"47,46"
ДОЛНИ ЧИФЛИК,Основно училище Свети Свети Кирил и Методий,8.0,31.06,9.0,45.89,9.0,31.33,9.0,47.11,8.0,"52,06",8.0,"46,88",17.0,"51,76",17.0,"62,24"
ДОЛНИ ЧИФЛИК,Основно училище Свети Свети Кирил и Методий,1.0,60.0,1.0,72.0,3.0,62.33,3.0,70.83,6.0,"63,33",6.0,"70,83",3.0,"85,33",3.0,"80,33"
ДОЛНИ ЧИФЛИК,Основно училище Паисий Хилендарски,10.0,40.2,10.0,63.9,12.0,40.75,12.0,54.67,11.0,"31,68",11.0,"37,91",16.0,"42,13",16.0,"35,75"
ДОЛНИ ЧИФЛИК,Основно училище Христо Смирненски,25.0,14.88,25.0,25.14,18.0,28.72,18.0,31.06,27.0,"34,22",27.0,"26,7",22.0,"33,05",20.0,"29,8"
ВАРНА,ЧАСТНО СУ ДЕМОКРАТИЧНО ОБРАЗОВАНИЕ ВАРНА,6.0,73.08,6.0,64.58,2.0,91.5,2.0,67.25,,,,,,,,
ДОЛНИ ЧИФЛИК,Основно училище Христо Ботев,10.0,56.55,10.0,47.1,12.0,32.0,12.0,34.63,8.0,"41,5",8.0,"36,13",15.0,"45,2",15.0,"33,73"
ДОЛНИ ЧИФЛИК,Основно училище Св св Кирил и Методий,20.0,46.98,20.0,38.9,28.0,62.36,28.0,46.46,35.0,"61,24",35.0,"32,29",30.0,"49,53",30.0,"41,27"
ДЪЛГОПОЛ,СУ Свети Климент Охридски,32.0,59.53,32.0,69.77,16.0,56.06,16.0,66.34,16.0,"55,97",16.0,"40,56",27.0,"55,3",27.0,"36,78"
ДЪЛГОПОЛ,Начално училище Иван Вазов,22.0,43.57,22.0,39.02,19.0,36.37,19.0,37.26,19.0,"61,11",19.0,"52,05",27.0,"56,33",26.0,"50,04"
ДЪЛГОПОЛ,Основно училище Митко Палаузов,2.0,69.0,2.0,81.75,3.0,77.0,3.0,77.67,,,,,1.0,57,1.0,42
ДЪЛГОПОЛ,СУ Назъм Хикмет,15.0,45.0,15.0,49.17,14.0,52.86,14.0,53.68,13.0,"55,81",13.0,"38,77",24.0,"50,67",24.0,"48,54"
ДЪЛГОПОЛ,Основно училище Христо Ботев,12.0,35.0,12.0,39.5,7.0,56.71,7.0,44.29,9.0,"52,61",9.0,"29,89",9.0,"51,33",9.0,"53,78"
ДЪЛГОПОЛ,Основно училище Васил Левски,10.0,38.35,10.0,36.8,,,,,6.0,"62,25",6.0,"48,17",,,,
ДЪЛГОПОЛ,ОУ Христо Ботев,9.0,23.22,9.0,33.44,25.0,43.16,25.0,36.48,11.0,"45,68",10.0,"31,7",17.0,"66,47",17.0,"53,59"
ПРОВАДИЯ,Първо основно училище Христо Смирненски,27.0,65.17,27.0,57.11,44.0,66.45,44.0,55.27,23.0,"65,54",23.0,"45,35",39.0,"70,62",39.0,"50,21"
ПРОВАДИЯ,Второ основно училище Иван Вазов,25.0,57.56,27.0,54.98,44.0,71.34,45.0,62.61,23.0,"69,24",23.0,"64,7",45.0,"76,6",45.0,"62,07"
ПРОВАДИЯ,СУ Димитър Благоев,33.0,71.24,32.0,61.59,25.0,54.2,25.0,47.3,32.0,"65,86",32.0,"51,78",20.0,64,21.0,"54,29"
ПРОВАДИЯ,ОУ Св Св Кирил и Методий,9.0,62.94,9.0,67.72,13.0,32.54,13.0,49.23,10.0,"35,5",10.0,"34,2",15.0,38,15.0,"47,53"
ПРОВАДИЯ,Основно училище Васил Левски,12.0,37.17,12.0,46.0,8.0,48.13,8.0,65.38,10.0,"59,85",10.0,"49,3",9.0,"44,22",8.0,"43,5"
ПРОВАДИЯ,Основно училище Св Св Кирил и Методий,13.0,43.42,13.0,52.92,10.0,44.6,10.0,47.2,14.0,"29,57",14.0,"38,43",7.0,"38,86",7.0,"46,57"
ПРОВАДИЯ,Основно училище Христо Ботев,3.0,23.83,3.0,41.33,10.0,47.6,10.0,49.55,9.0,33,9.0,"32,78",3.0,"20,67",3.0,"19,33"
ПРОВАДИЯ,Основно училище Асен Златаров,2.0,32.5,2.0,64.5,2.0,52.5,2.0,68.5,2.0,"47,5",2.0,72,2.0,"45,5",2.0,58
ПРОВАДИЯ,Начално училище Христо Ботев,5.0,55.5,5.0,64.6,7.0,62.57,7.0,48.36,8.0,"39,88",8.0,"33,75",10.0,"26,8",10.0,"44,3"
СУВОРОВО,СУ Никола Йонков Вапцаров,29.0,64.05,29.0,51.88,40.0,49.85,41.0,40.8,23.0,"53,8",22.0,41,31.0,"49,61",31.0,"43,16"
СУВОРОВО,Основно училище Христо Ботев,,,,,,,,,5.0,"12,9",4.0,"12,5",13.0,"8,46",7.0,"21,57"
СУВОРОВО,Основно училище Христо Ботев,6.0,52.33,6.0,44.17,17.0,27.82,16.0,47.34,12.0,"58,29",12.0,"36,25",10.0,"54,1",10.0,60
ВАРНА,Частно основно училище Феникс 2020,3.0,53.83,3.0,72.67,,,,,1.0,27,1.0,40,,,,
ВАРНА,Първо основно училище Св княз Борис,45.0,85.93,44.0,80.48,37.0,75.54,37.0,59.59,38.0,"79,78",38.0,"59,79",47.0,"75,32",46.0,"60,22"
ВАРНА,III Oсновно училище Ангел Кънчев,164.0,86.12,164.0,83.65,178.0,85.89,177.0,78.75,156.0,"82,87",156.0,"71,03",177.0,"87,46",176.0,"75,68"
ВАРНА,СУ Димчо Дебелянов,92.0,83.11,92.0,76.38,87.0,74.36,88.0,62.32,93.0,"75,8",92.0,"57,67",95.0,"86,27",96.0,"71,25"
ВАРНА,СУ Неофит Бозвели,57.0,73.96,57.0,68.9,69.0,76.28,69.0,68.01,47.0,"76,07",47.0,"55,28",35.0,"76,37",35.0,"66,37"
ВАРНА,Второ основно училище Никола Йонков Вапцаров,126.0,81.58,126.0,74.17,132.0,84.7,132.0,73.63,125.0,"84,18",125.0,"69,37",130.0,"85,78",130.0,"68,69"
ВАРНА,Частно СУ Мечтатели,19.0,86.24,19.0,84.66,19.0,81.68,19.0,71.63,24.0,"79,38",24.0,"70,21",22.0,"84,91",21.0,"71,86"
АВРЕН,Частно СУ Юрий Гагарин,,,,,15.0,78.13,15.0,74.8,8.0,"89,19",8.0,83,20.0,"86,25",20.0,"71,7"
ВАРНА,Частно СУ Монтесори Варна ООД,9.0,77.0,9.0,81.5,7.0,69.14,7.0,79.64,11.0,"74,55",11.0,"71,64",4.0,"76,5",4.0,75
ДИМОВО,СУ Св св Кирил и Методий,9.0,28.22,9.0,29.5,7.0,19.71,7.0,21.79,8.0,"51,56",8.0,"33,5",13.0,"48,46",13.0,"35,92"
ВИДИН,ОУ Любен Каравелов,65.0,79.18,65.0,70.72,76.0,80.08,75.0,66.89,67.0,"80,64",67.0,"55,21",80.0,"80,88",78.0,"59,95"
ВИДИН,ОУ Епископ Софроний Врачански,24.0,42.52,24.0,62.4,12.0,36.67,12.0,61.42,25.0,"41,7",24.0,"36,92",18.0,"61,17",18.0,"64,94"
ВИДИН,ОУ Отец Паисий,,,,,,,,,5.0,"57,2",5.0,"34,6",7.0,"59,71",7.0,"32,71"
ВИДИН,ОУ Св Климент Охридски,9.0,54.72,9.0,51.44,16.0,65.19,16.0,48.78,16.0,"58,69",16.0,"37,88",4.0,50,4.0,"38,75"
БЕЛОГРАДЧИК,НУ Васил Левски,26.0,58.96,25.0,48.36,37.0,46.35,35.0,32.81,46.0,"45,08",44.0,"33,41",34.0,"49,5",31.0,"39,48"
БЕЛОГРАДЧИК,ОУ Васил Евстатиев Априлов,3.0,33.5,3.0,38.0,2.0,29.0,2.0,28.25,2.0,12,2.0,10,,,,
БОЙНИЦА,ОУ Васил Левски,4.0,38.25,4.0,37.38,7.0,25.57,7.0,20.14,8.0,26,7.0,14,11.0,"34,27",11.0,"22,82"
БРЕГОВО,СУ Св св Кирил и Методий,10.0,61.85,10.0,60.9,12.0,51.25,12.0,41.25,7.0,"53,43",7.0,30,8.0,"65,75",8.0,"62,38"
ГРАМАДА,СУ Христо Ботев,6.0,43.0,6.0,68.83,4.0,43.75,4.0,39.75,3.0,58,3.0,48,6.0,"52,67",6.0,"29,33"
ДИМОВО,СУ Христо Ботев,25.0,38.72,24.0,31.94,9.0,39.89,9.0,29.33,13.0,"32,54",13.0,19,32.0,"43,91",32.0,"31,88"
ДИМОВО,ОУ Димитър Благоев,9.0,39.0,9.0,30.33,8.0,38.38,8.0,43.31,10.0,"51,45",10.0,"44,5",8.0,55,8.0,62
КУЛА,СУ Васил Левски,9.0,69.83,9.0,63.44,12.0,74.25,12.0,54.25,14.0,"63,64",14.0,38,22.0,"61,36",22.0,"44,23"
МАКРЕШ,ОУ Христо Ботев,3.0,14.0,3.0,22.0,1.0,2.0,1.0,15.0,2.0,"12,5",2.0,14,1.0,48,1.0,41
НОВО СЕЛО,СУ Св св Кирил и Методий,7.0,56.07,7.0,49.79,4.0,26.5,4.0,40.13,5.0,"30,7",5.0,"34,8",6.0,"32,67",6.0,"36,83"
РУЖИНЦИ,СУ Никола Йонков Вапцаров,10.0,43.05,12.0,29.67,13.0,35.69,13.0,25.92,15.0,"39,3",16.0,"21,31",10.0,"44,1",10.0,32
РУЖИНЦИ,ОУ Св св Кирил и Методий,3.0,35.17,3.0,27.67,5.0,16.2,5.0,19.2,6.0,"18,92",6.0,"11,67",4.0,"17,75",4.0,"17,5"
РУЖИНЦИ,СУ Никола Й Вапцаров,11.0,49.64,10.0,44.85,8.0,55.5,8.0,55.63,13.0,"31,31",14.0,"31,86",12.0,"42,08",12.0,"31,5"
ЧУПРЕНЕ,ОУ Акад Михаил Димитров,2.0,74.25,2.0,79.5,6.0,18.33,6.0,31.5,3.0,"27,5",3.0,18,7.0,"11,57",7.0,"12,29"
ЧУПРЕНЕ,ОУ Христо Ботев,6.0,28.92,5.0,39.0,3.0,23.67,3.0,23.0,4.0,"46,13",4.0,"39,25",12.0,"40,5",12.0,"28,58"
ВИДИН,СУ Цар Симеон Велики,71.0,84.18,71.0,76.18,69.0,77.61,69.0,64.78,79.0,"82,58",79.0,"60,24",93.0,"85,74",93.0,"70,96"
ВИДИН,СУ Св св Кирил и Методий,53.0,62.65,53.0,56.28,34.0,60.65,34.0,48.24,33.0,"63,59",32.0,"38,66",33.0,"70,88",33.0,"55,45"
ВИДИН,СУ Петко Рачов Славейков,44.0,74.95,44.0,72.67,53.0,53.85,54.0,45.99,38.0,"68,07",39.0,"46,26",32.0,"61,47",33.0,"49,73"
ВИДИН,ОУ Христо Ботев,14.0,43.39,14.0,46.46,4.0,52.5,4.0,31.63,7.0,"45,86",7.0,"13,71",14.0,"44,29",14.0,"36,86"
ВИДИН,ОУ Иван Вазов,69.0,78.16,69.0,71.75,78.0,77.62,78.0,66.83,78.0,"81,49",78.0,"59,68",113.0,"83,45",113.0,"69,16"
БЯЛА СЛАТИНА,Начално училище Христо Ботев,38.0,76.62,38.0,70.99,40.0,74.38,41.0,59.06,40.0,"75,85",40.0,"54,4",59.0,"82,51",59.0,"61,17"
БЯЛА СЛАТИНА,Начално училище Цани Гинчев,43.0,67.22,44.0,61.58,42.0,68.62,42.0,53.11,32.0,"61,88",33.0,"33,03",27.0,"52,74",24.0,"39,96"
БЯЛА СЛАТИНА,Начално училище Христо Смирненски,21.0,54.62,21.0,50.38,16.0,33.69,16.0,37.84,17.0,"49,53",18.0,"29,94",18.0,"40,78",18.0,"32,22"
БЯЛА СЛАТИНА,Основно училище Христо Ботев,15.0,76.57,15.0,60.23,21.0,62.14,21.0,44.93,19.0,"57,05",19.0,"30,11",12.0,"67,08",12.0,"58,42"
БЯЛА СЛАТИНА,Основно училище Георги Стойков Раковски,12.0,40.0,12.0,50.71,15.0,35.07,15.0,51.33,4.0,"45,38",4.0,"34,75",14.0,"36,57",14.0,"32,14"
ВРАЦА,Начално училище Иванчо Младенов,68.0,86.76,68.0,77.37,85.0,86.75,84.0,74.46,92.0,"82,96",92.0,"70,14",88.0,"87,86",88.0,"72,83"
ВРАЦА,Начално училище Иван Вазов,90.0,84.28,89.0,80.42,71.0,80.01,70.0,66.19,86.0,"82,14",83.0,"61,6",85.0,"84,87",83.0,"69,89"
ВРАЦА,Начално училище Свети Софроний Врачански,89.0,81.93,88.0,78.82,85.0,81.16,85.0,69.58,95.0,"81,27",94.0,"62,69",84.0,"82,64",84.0,"67,7"
ВРАЦА,ОУ Св Климент Охридски,10.0,59.35,10.0,48.2,5.0,69.6,5.0,45.2,7.0,"48,57",7.0,"29,57",8.0,"35,75",8.0,"44,75"
КОЗЛОДУЙ,Начално училище Васил Левски,6.0,48.17,5.0,58.2,12.0,47.33,14.0,52.5,8.0,"42,19",7.0,"56,43",13.0,"51,46",14.0,"47,71"
ОРЯХОВО,Начално училище Св Св Кирил и Методий,24.0,79.42,24.0,82.33,26.0,74.35,25.0,63.78,25.0,"78,82",23.0,"61,65",28.0,"71,54",28.0,"53,11"
ОРЯХОВО,Начално училище Д-р Петър Берон,7.0,57.64,7.0,55.0,9.0,51.0,11.0,42.14,11.0,"34,18",11.0,"18,09",,,,
ОРЯХОВО,Основно училище Христо Ботев,7.0,57.64,7.0,66.57,9.0,57.22,9.0,42.94,8.0,"61,31",9.0,"30,22",15.0,"66,6",15.0,48
РОМАН,Начално училище Петко Рачов Славейков,29.0,63.24,29.0,62.98,34.0,65.88,34.0,69.07,26.0,"64,27",26.0,"45,5",40.0,"57,45",40.0,"47,08"
БОРОВАН,Основно училище Свети свети Кирил и Методий,11.0,55.77,11.0,46.45,14.0,45.36,14.0,35.18,12.0,"53,29",12.0,"32,5",6.0,"55,83",6.0,"32,33"
БОРОВАН,Основно училище Свети свети Кирил и Методий,16.0,62.94,16.0,50.75,19.0,57.26,19.0,43.26,16.0,"48,97",16.0,"32,13",23.0,"63,48",22.0,"48,64"
БОРОВАН,Основно училище Отец Паисий,20.0,58.6,20.0,47.9,22.0,62.55,23.0,53.17,16.0,"61,56",16.0,"31,56",18.0,"65,78",18.0,"40,33"
БЯЛА СЛАТИНА,Основно училище Св св Кирил и Методий,14.0,46.46,14.0,36.75,10.0,61.7,10.0,52.95,13.0,"55,12",13.0,"40,62",6.0,"61,33",6.0,"45,5"
БЯЛА СЛАТИНА,СУ Христо Ботев,10.0,39.55,10.0,49.45,16.0,42.56,16.0,31.13,10.0,"42,8",10.0,"27,6",13.0,"21,08",13.0,"26,54"
ВРАЦА,Основно училище Васил Левски,33.0,65.09,33.0,55.73,33.0,53.67,31.0,37.27,32.0,"51,2",32.0,"37,09",38.0,"61,63",38.0,"48,42"
ВРАЦА,Основно училище Свeти свети Кирил и Методий,13.0,47.04,14.0,43.79,22.0,44.09,22.0,34.52,,,,,14.0,66,15.0,"49,73"
ВРАЦА,ОУ Свети свети Кирил и Методий,11.0,60.27,11.0,49.09,12.0,46.92,12.0,35.13,15.0,"35,37",15.0,"27,53",16.0,"52,69",16.0,"29,44"
ВРАЦА,ОУ Христо Ботев,11.0,59.77,11.0,79.09,12.0,49.25,12.0,43.71,10.0,"68,15",10.0,"44,7",13.0,"60,38",12.0,"45,08"
КОЗЛОДУЙ,СУ Св Св Кирил и Методий,23.0,47.37,23.0,45.24,22.0,61.23,22.0,54.23,34.0,"44,09",31.0,"27,06",37.0,"64,08",38.0,"43,68"
КОЗЛОДУЙ,Основно училище Васил Евстатиев Априлов,4.0,67.88,4.0,69.5,6.0,26.83,6.0,22.75,8.0,"49,25",8.0,38,10.0,41,10.0,"53,4"
КОЗЛОДУЙ,Основно училище Христо Ботев,23.0,58.07,23.0,48.39,12.0,66.58,12.0,35.92,17.0,"48,15",17.0,"28,24",19.0,"44,63",19.0,"33,95"
КРИВОДОЛ,ОУ Св св Кирил и Методий,9.0,52.67,9.0,50.06,12.0,33.92,12.0,38.58,14.0,"27,32",14.0,"19,79",16.0,"47,38",16.0,"36,25"
КРИВОДОЛ,Основно училище Васил Левски,5.0,33.7,5.0,40.2,10.0,44.6,10.0,47.7,10.0,"43,4",10.0,"31,5",9.0,"36,89",9.0,"32,44"
КРИВОДОЛ,Основно училище Васил Левски,8.0,55.25,8.0,48.06,9.0,55.56,10.0,32.4,7.0,"37,71",7.0,"21,71",9.0,"55,56",10.0,"31,3"
МЕЗДРА,Основно училище Свети Свети Кирил и Методий,22.0,74.77,21.0,60.19,36.0,64.61,34.0,58.69,20.0,"66,23",21.0,"46,76",42.0,"73,83",43.0,"55,07"
МЕЗДРА,Основно училище Христо Ботев,44.0,78.83,44.0,72.0,34.0,74.74,34.0,67.04,54.0,"79,33",54.0,"58,93",67.0,"78,04",67.0,"65,03"
МЕЗДРА,Основно училище Васил Кънчов,,,,,3.0,37.67,3.0,37.67,2.0,"47,25",2.0,35,1.0,30,1.0,48
МИЗИЯ,Основно училище Христо Ботев,4.0,66.5,4.0,52.63,3.0,49.33,3.0,52.33,13.0,"46,85",13.0,"25,15",7.0,65,7.0,"45,29"
МИЗИЯ,Основно училище Цанко Церкoвски,17.0,64.44,17.0,48.06,24.0,70.0,23.0,55.17,31.0,"69,08",31.0,"51,84",7.0,"75,14",7.0,"70,71"
МИЗИЯ,Основно училище Отец Паисий,2.0,54.0,2.0,62.5,4.0,51.5,4.0,49.63,8.0,"47,69",8.0,"22,5",10.0,"57,8",10.0,"49,3"
ОРЯХОВО,Основно училище Никола Йонков Вапцаров,11.0,63.91,11.0,53.41,15.0,55.27,16.0,44.66,16.0,"57,91",16.0,"25,38",18.0,"81,22",18.0,59
РОМАН,Основно училище Свети Свети Кирил и Методий,2.0,72.5,2.0,39.5,7.0,58.71,7.0,54.29,1.0,52,1.0,50,1.0,56,1.0,58
ХАЙРЕДИН,Основно училище Горан Червеняшки,11.0,42.55,11.0,44.59,12.0,49.08,12.0,43.54,11.0,"47,5",12.0,"34,58",15.0,"59,67",12.0,40
БЯЛА СЛАТИНА,СУ Васил Левски,19.0,68.03,19.0,52.97,19.0,70.84,18.0,53.33,22.0,"52,75",22.0,"37,55",21.0,"72,52",21.0,"54,71"
БЯЛА СЛАТИНА,СУ Христо Ботев,7.0,47.43,7.0,44.07,8.0,41.88,9.0,38.89,12.0,"41,58",12.0,"19,58",9.0,"68,33",9.0,"47,44"
ВРАЦА,СУ Отец Паисий,18.0,42.89,18.0,36.22,21.0,57.38,21.0,44.1,19.0,"51,05",19.0,"27,05",16.0,"59,06",16.0,"41,44"
ВРАЦА,СУ Христо Ботев,47.0,84.84,47.0,82.28,44.0,80.36,41.0,73.54,57.0,"80,31",57.0,"63,81",43.0,"88,93",42.0,"76,52"
ВРАЦА,СУ Васил Кънчов,23.0,76.33,23.0,74.8,20.0,76.45,20.0,51.78,17.0,"71,29",16.0,"42,94",16.0,"83,56",16.0,"75,69"
ВРАЦА,СУ Никола Войводов,92.0,76.54,92.0,70.02,90.0,75.41,90.0,58.04,60.0,"71,01",60.0,"44,13",83.0,"78,93",83.0,"60,36"
КОЗЛОДУЙ,СУ Христо Ботев,38.0,74.74,38.0,66.96,45.0,72.93,45.0,61.61,51.0,"69,25",51.0,"58,04",30.0,"71,47",30.0,"57,7"
КОЗЛОДУЙ,СУ Св св Кирил и Методий,64.0,77.41,63.0,70.23,61.0,78.54,59.0,68.86,52.0,"77,33",52.0,"53,31",82.0,"76,46",83.0,"57,01"
КРИВОДОЛ,СУ Св св Кирил и Методий,24.0,45.31,24.0,40.19,30.0,46.07,29.0,34.84,27.0,"51,85",27.0,"27,48",24.0,"53,63",23.0,"38,3"
МЕЗДРА,СУ Иван Вазов,25.0,49.46,25.0,44.42,31.0,62.81,31.0,48.1,23.0,"58,02",23.0,"50,13",24.0,"76,38",24.0,"65,25"
МЕЗДРА,СУ Свети Климент Охридски,12.0,71.71,12.0,66.17,17.0,62.18,16.0,66.97,17.0,"65,97",17.0,"47,82",16.0,"68,75",16.0,"52,5"
ХАЙРЕДИН,СУ Васил Воденичарски,12.0,65.5,11.0,59.36,10.0,61.9,10.0,47.95,11.0,"63,05",11.0,"42,55",8.0,"63,13",8.0,51
ВРАЦА,СУ Мито Орозов,,,,,,,1.0,43.5,,,,,,,,
ГАБРОВО,Начално училище Васил Левски,33.0,80.83,33.0,73.92,37.0,81.08,37.0,71.89,38.0,"69,8",38.0,"56,08",18.0,"74,89",18.0,"59,94"
ГАБРОВО,Основно училище Ран Босилек,74.0,85.58,74.0,85.55,62.0,84.11,62.0,75.28,74.0,"83,19",74.0,"68,46",74.0,"84,03",74.0,"77,16"
ГАБРОВО,Основно училище Неофит Рилски,67.0,79.75,67.0,77.74,65.0,79.28,65.0,74.35,47.0,"80,49",48.0,"65,13",67.0,"84,36",67.0,"69,06"
ГАБРОВО,VI Основно училище Иван Вазов,,,,,13.0,70.0,13.0,56.5,17.0,"59,41",17.0,"34,59",18.0,"62,06",18.0,"48,11"
ГАБРОВО,Основно училище Свети Свети Кирил и Методий,64.0,81.59,64.0,74.41,90.0,74.01,90.0,65.65,102.0,"81,2",102.0,"64,86",87.0,"86,71",87.0,"77,07"
ГАБРОВО,Основно училище Христо Ботев,33.0,68.45,33.0,67.65,27.0,69.19,27.0,57.72,32.0,"69,78",32.0,"45,34",46.0,"66,7",46.0,"52,96"
ГАБРОВО,СУ Отец Паисий,33.0,78.09,33.0,72.26,29.0,72.31,28.0,62.29,35.0,"68,99",35.0,"51,57",57.0,"78,21",56.0,"65,95"
ГАБРОВО,СУ Райчо Каролев,41.0,77.88,41.0,73.35,44.0,82.57,44.0,77.98,65.0,"74,97",65.0,"62,85",76.0,"84,2",76.0,"70,97"
ДРЯНОВО,СУ Максим Райкович,44.0,62.94,44.0,55.6,37.0,65.65,38.0,50.05,50.0,"57,45",50.0,"40,1",39.0,"71,03",39.0,"57,41"
СЕВЛИЕВО,Основно училище Христо Ботев,17.0,28.82,17.0,28.65,18.0,41.83,15.0,44.9,18.0,"46,22",18.0,"28,78",21.0,"43,57",21.0,"32,43"
СЕВЛИЕВО,Основно училище Стефан Пешев,74.0,73.23,74.0,63.64,78.0,69.6,78.0,53.99,82.0,"77,04",82.0,"51,73",97.0,"76,73",97.0,"64,58"
СЕВЛИЕВО,Основно училище Христо Ботев,9.0,37.22,9.0,36.5,3.0,42.67,3.0,36.5,6.0,"30,17",6.0,"10,33",3.0,"38,67",3.0,33
СЕВЛИЕВО,Основно училище Св Св Кирил и Методий,15.0,26.97,15.0,34.07,11.0,30.91,11.0,27.91,15.0,"25,83",15.0,16,15.0,"55,67",15.0,"65,73"
