Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ_2,МАТ-УЧ 21,МАТ_2
ГОЦЕ ДЕЛЧЕВ,Oбединено училище Св Паисий Хилендарски,11.0,65.68,13.0,69.46,18.0,62.72,17.0,60.5,15.0,"66,27",15.0,"61,6",12.0,"75,33",12.0,"61,58"
РАЗЛОГ,СУ Братя Петър и Иван Каназиреви,13.0,73.62,13.0,74.08,14.0,62.5,14.0,61.11,14.0,"85,96",14.0,"63,71",14.0,"75,57",14.0,60
РАЗЛОГ,Основно училище Никола Парапунов,34.0,69.38,32.0,62.45,37.0,80.0,33.0,71.53,44.0,"79,61",44.0,"63,82",41.0,"82,76",41.0,"68,34"
РАЗЛОГ,Основно училище Св Паисий Хилендарски,27.0,68.74,27.0,62.83,19.0,57.68,19.0,46.63,30.0,"74,42",30.0,"53,9",26.0,"74,46",25.0,"57,44"
РАЗЛОГ,Основно училище Св Св Кирил и Методий,10.0,70.15,10.0,67.45,10.0,69.6,10.0,67.35,15.0,"82,53",15.0,"70,6",13.0,"76,54",13.0,"58,62"
РАЗЛОГ,Основно училище Неофит Рилски,10.0,64.95,10.0,55.3,8.0,44.88,8.0,38.19,9.0,"74,78",9.0,"53,33",6.0,"75,33",6.0,"60,83"
РАЗЛОГ,Основно училище Братя Миладинови,10.0,78.15,10.0,78.55,9.0,56.0,9.0,55.33,7.0,"73,5",7.0,"67,29",12.0,"75,58",12.0,"61,25"
РАЗЛОГ,Начално училище Яне Сандански,32.0,82.48,32.0,79.14,23.0,72.0,23.0,59.15,24.0,"67,38",22.0,"52,05",28.0,"65,04",28.0,"47,04"
РАЗЛОГ,Начално училище Св Св Кирил и Методий,32.0,77.89,32.0,75.44,30.0,73.7,30.0,68.4,30.0,"71,47",30.0,"56,93",34.0,"77,41",33.0,"72,18"
ПЕТРИЧ,СУ Антон Попов,37.0,37.57,36.0,37.74,41.0,30.12,41.0,34.98,20.0,"36,05",21.0,"26,48",21.0,"24,81",21.0,"24,24"
ПЕТРИЧ,СУ Васил Левски,18.0,69.03,18.0,71.75,17.0,67.12,17.0,54.29,11.0,"62,27",11.0,"48,36",15.0,"70,27",15.0,"67,87"
ПЕТРИЧ,СУ Св Паисий Хилендарски,42.0,76.19,42.0,71.93,28.0,76.32,28.0,58.09,31.0,"71,42",31.0,55,40.0,"69,33",40.0,"48,4"
ПЕТРИЧ,Основно училище Пейо Крачолов Яворов,14.0,73.04,14.0,64.5,17.0,82.65,17.0,65.06,10.0,"70,6",10.0,"43,1",13.0,"85,08",13.0,"65,77"
ПЕТРИЧ,Първо основно училище Кочо Мавродиев,32.0,70.69,32.0,58.72,32.0,63.03,31.0,70.97,33.0,"75,08",32.0,"68,78",35.0,"74,03",36.0,"56,36"
ПЕТРИЧ,Трето основно училище Гоце Делчев,53.0,76.07,53.0,76.23,55.0,73.58,54.0,68.67,62.0,"75,84",62.0,"58,21",63.0,"79,83",63.0,"61,16"
ПЕТРИЧ,Четвърто основно училище Христо Смирненски,62.0,82.31,62.0,85.1,75.0,76.76,75.0,70.59,77.0,"76,29",76.0,"70,29",86.0,"82,14",89.0,"78,35"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,12.0,37.58,11.0,43.18,10.0,56.9,10.0,54.55,12.0,"33,41",11.0,"30,09",10.0,"45,6",13.0,"38,92"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,11.0,62.23,11.0,55.14,12.0,59.08,12.0,59.46,10.0,"57,3",10.0,"38,8",21.0,"73,14",21.0,"58,62"
ПЕТРИЧ,Основно училище Христо Ботев,,,,,,,,,,,,,9.0,73,8.0,"68,63"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,13.0,52.92,13.0,52.92,14.0,61.5,14.0,50.21,20.0,71,20.0,"63,75",21.0,"61,9",21.0,"59,71"
ПЕТРИЧ,Осноно училище Братя Миладинови,15.0,75.13,15.0,71.73,14.0,67.43,14.0,57.46,14.0,"68,04",14.0,"51,71",13.0,"67,54",13.0,"58,08"
САНДАНСКИ,Първо основно училище Свети Климент Охридски,52.0,80.78,56.0,75.04,48.0,71.71,48.0,64.36,66.0,"78,52",64.0,"59,72",69.0,"82,59",69.0,"70,28"
САНДАНСКИ,Трето основно училище Христо Ботев,93.0,82.88,93.0,77.54,125.0,79.52,124.0,72.01,92.0,"83,61",92.0,"69,55",122.0,"84,87",123.0,"70,09"
САНДАНСКИ,Четвърто основно училище Св Св Козма и Дамян,39.0,69.69,39.0,60.54,47.0,70.64,47.0,53.88,30.0,"76,45",30.0,"53,67",29.0,"71,62",29.0,"49,93"
САНДАНСКИ,Основно училище Братя Миладинови,13.0,53.38,13.0,54.31,14.0,28.71,13.0,35.27,13.0,"40,46",12.0,"29,75",23.0,"51,04",21.0,"46,19"
САНДАНСКИ,Основно училище Св СвКирил и Методий,12.0,46.13,12.0,47.58,15.0,60.93,16.0,56.22,19.0,"32,79",20.0,"22,75",10.0,"41,2",10.0,"35,9"
САНДАНСКИ,Основно училище Христо Ботев,,,,,5.0,60.4,5.0,37.2,4.0,"20,25",4.0,21,6.0,"60,67",6.0,"53,5"
САНДАНСКИ,Начално училище Св Св Кирил и Методий,,,,,,,,,,,,,7.0,"29,71",7.0,"29,71"
БЕЛИЦА,СУ Св Св Кирил и Методий,16.0,59.41,16.0,63.84,26.0,55.04,27.0,50.94,32.0,"63,95",31.0,"47,97",25.0,"73,52",25.0,"56,96"
БЕЛИЦА,Основно училище Св Паисий Хилендарски,26.0,58.21,26.0,78.88,27.0,58.78,27.0,65.89,32.0,"50,2",32.0,"57,88",32.0,"68,56",32.0,"57,06"
БЕЛИЦА,Основно училище Пейо Крачолов Яворов,12.0,66.96,12.0,69.25,9.0,84.33,9.0,81.28,19.0,"78,63",19.0,"67,32",19.0,"85,37",19.0,"70,84"
БЕЛИЦА,Основно училище Св св Кирил и Методий,7.0,49.29,7.0,61.79,18.0,67.94,18.0,74.78,10.0,"70,75",10.0,"60,4",13.0,"75,92",13.0,"74,77"
БЕЛИЦА,Начално училище Петко Р Славейков,5.0,81.4,5.0,69.3,6.0,75.17,6.0,73.08,7.0,"56,71",7.0,"50,86",11.0,"56,73",11.0,"50,64"
КРЕСНА,СУ Св Паисий Хилендарски,37.0,73.09,37.0,68.54,32.0,68.25,32.0,52.39,31.0,"76,02",32.0,"56,47",21.0,"75,95",21.0,"61,43"
БАНСКО,СУ Неофит Рилски,45.0,79.16,45.0,80.27,38.0,70.37,37.0,69.81,43.0,"80,06",43.0,60,29.0,"74,76",28.0,"55,18"
БАНСКО,Основно училище Свети Климент Охридски,22.0,76.45,22.0,70.84,16.0,75.75,16.0,63.5,23.0,"76,87",23.0,"56,57",17.0,"84,41",17.0,"71,18"
БАНСКО,Начално училище Св Паисий Хилендарски,59.0,82.6,58.0,82.4,67.0,80.16,68.0,69.03,39.0,"81,22",39.0,"64,26",68.0,"81,75",68.0,"63,21"
ЯКОРУДА,Основно училище Неофит Рилски,5.0,70.2,5.0,80.9,3.0,78.33,3.0,66.33,5.0,"77,9",5.0,57,7.0,85,7.0,72
ЯКОРУДА,ОУ Гоце Делчев,10.0,58.6,10.0,64.6,14.0,51.5,14.0,35.46,15.0,"49,87",15.0,"35,53",23.0,"66,3",23.0,"52,7"
ЯКОРУДА,СУ Свети Свети Кирил и Методий,41.0,61.33,41.0,60.13,45.0,62.93,46.0,51.51,36.0,"64,72",36.0,"42,72",43.0,"69,84",44.0,"55,77"
ЯКОРУДА,ОУ Братя Миладинови,11.0,53.73,11.0,46.14,15.0,52.8,15.0,44.97,12.0,62,12.0,"42,67",20.0,"74,1",20.0,"55,5"
ЯКОРУДА,ОУ Васил Левски,12.0,60.92,12.0,57.71,9.0,75.0,9.0,61.67,17.0,"77,79",17.0,"57,12",19.0,"82,05",19.0,"69,32"
ХАДЖИДИМОВО,СУ Никола Йонков Вапцаров,20.0,59.58,19.0,56.66,16.0,65.19,17.0,53.59,19.0,"65,61",19.0,"43,16",26.0,"70,31",27.0,"57,74"
ХАДЖИДИМОВО,Основно училище Никола Й Вапцаров,7.0,71.93,7.0,71.14,11.0,69.73,11.0,68.14,9.0,"78,33",9.0,"53,56",6.0,"72,17",6.0,61
ХАДЖИДИМОВО,СУ Св Паисий Хилендарски,22.0,68.75,22.0,64.34,21.0,72.67,21.0,70.4,26.0,"74,48",26.0,"59,5",28.0,79,28.0,"60,79"
ХАДЖИДИМОВО,Основно училище Св Св Кирил и Методий,,,,,11.0,52.36,11.0,40.5,8.0,"48,88",8.0,"39,38",8.0,"78,88",8.0,"73,13"
ХАДЖИДИМОВО,Основно училище Гоце Делчев,8.0,71.88,8.0,65.31,10.0,71.3,10.0,54.3,8.0,"70,63",8.0,"51,25",8.0,"59,25",8.0,"47,5"
СТРУМЯНИ,СУ Св Паисий Хилендарски,35.0,40.91,35.0,45.26,34.0,29.09,34.0,42.41,34.0,"44,56",33.0,"43,82",26.0,"37,04",31.0,"35,1"
САТОВЧА,СУ Христо Ботев,20.0,68.98,20.0,62.0,19.0,66.58,19.0,51.58,24.0,"73,38",24.0,59,17.0,"85,24",17.0,"66,24"
САТОВЧА,СУ Свети Климент Охридски,12.0,74.58,12.0,70.33,10.0,81.0,10.0,76.5,11.0,"73,14",11.0,"45,09",14.0,"68,57",14.0,"51,57"
САТОВЧА,Основно училище Братя Миладинови,2.0,68.0,2.0,72.25,4.0,66.0,4.0,51.75,3.0,"59,67",3.0,"42,67",6.0,"57,33",6.0,"45,5"
САТОВЧА,Основно училище Св св Кирил и Методий,5.0,63.8,5.0,61.1,2.0,43.0,2.0,26.0,5.0,"71,3",5.0,38,6.0,"82,5",6.0,"58,83"
САТОВЧА,СУ Св Св Кирил и Методий,20.0,66.28,20.0,60.73,17.0,81.88,17.0,72.03,14.0,"71,11",14.0,"59,29",20.0,"83,4",20.0,"74,1"
САТОВЧА,Основно училище Светлина,,,,,4.0,47.75,4.0,41.75,1.0,"54,5",1.0,32,3.0,64,3.0,"59,67"
САТОВЧА,Начално училище Пейо Яворов,3.0,73.33,3.0,55.17,3.0,62.67,3.0,57.0,3.0,"76,17",3.0,"62,67",4.0,"76,75",4.0,"61,25"
САТОВЧА,Начално училище Васил Левски,6.0,66.58,6.0,75.75,,,,,9.0,"82,17",9.0,"63,78",,,,
САТОВЧА,ОУ Св Св Кирил и Методий,21.0,68.86,21.0,73.98,14.0,69.86,14.0,63.43,11.0,"66,14",11.0,48,11.0,"79,55",11.0,"63,73"
САТОВЧА,СУ Христо Смирненски,13.0,75.19,13.0,72.69,22.0,74.18,22.0,62.64,20.0,"80,25",20.0,"61,25",9.0,"74,78",9.0,"63,89"
САТОВЧА,Начално училище Яне Сандански,2.0,75.0,2.0,80.25,,,,,2.0,"71,25",2.0,60,,,,
САТОВЧА,Основно училище Стефка Събчева,,,,,5.0,53.2,5.0,47.8,7.0,"68,07",7.0,"49,43",5.0,"52,2",5.0,"66,6"
САТОВЧА,Основно училище Св Св Кирил и Методий,1.0,90.0,1.0,75.5,,,,,3.0,"82,17",3.0,"65,67",1.0,82,1.0,64
СИМИТЛИ,СУ Св св Кирил и Методий,17.0,61.97,15.0,60.87,14.0,61.14,14.0,57.5,26.0,"74,46",27.0,"45,93",19.0,"67,63",20.0,"49,2"
СИМИТЛИ,ОУ Св Паисий Хилендарски,11.0,74.45,11.0,72.95,24.0,61.58,24.0,55.04,22.0,"56,66",22.0,30,23.0,"81,7",23.0,"55,96"
АЙТОС,Основно училище Атанас Манчев,36.0,22.78,36.0,38.08,30.0,13.67,29.0,21.19,40.0,"19,01",39.0,"16,82",36.0,"32,22",36.0,"36,22"
АЙТОС,Основно училище Св Св Кирил и Методий,9.0,56.0,9.0,60.06,,,,,12.0,"50,83",12.0,"52,67",10.0,"54,2",10.0,"54,8"
АЙТОС,Основно училище Христо Ботев,12.0,37.54,13.0,40.77,13.0,31.62,13.0,27.62,27.0,"35,98",27.0,"25,44",16.0,"24,63",17.0,36
АЙТОС,Основно училище Христо Ботев,19.0,49.39,19.0,67.76,16.0,39.75,16.0,52.84,24.0,"49,25",24.0,"59,67",15.0,"49,73",15.0,"61,07"
АЙТОС,Основно училище Светлина,13.0,73.35,13.0,75.35,12.0,53.83,10.0,69.1,11.0,"64,27",11.0,"59,82",8.0,"71,5",8.0,"71,38"
АЙТОС,СУ Христо Ботев,77.0,79.24,77.0,76.39,86.0,73.5,87.0,65.54,105.0,"71,4",105.0,"58,03",110.0,"80,62",110.0,"69,25"
АЙТОС,СУ Никола Йонков Вапцаров,64.0,71.43,64.0,74.33,36.0,55.53,36.0,52.94,42.0,"65,56",43.0,"48,95",50.0,"78,62",50.0,"66,22"
БУРГАС,ЧНУ Селестен Френе,11.0,80.55,11.0,83.41,,,,,,,,,,,,
БУРГАС,Начално базово училище Михаил Лъкатник,99.0,86.53,99.0,84.15,97.0,85.12,98.0,76.81,107.0,"85,17",107.0,"77,83",114.0,"87,91",113.0,"79,15"
БУРГАС,Частно основно училище Д-р Мария Монтесори,6.0,92.67,6.0,87.08,13.0,82.38,13.0,70.54,8.0,"84,13",8.0,"85,38",5.0,"89,2",5.0,"75,4"
БУРГАС,Основно училище Петко Рачев Славейков,74.0,81.97,74.0,76.85,71.0,84.32,71.0,76.84,74.0,"82,03",74.0,"68,35",69.0,"86,86",69.0,"75,35"
БУРГАС,Основно училище Свети княз Борис І,87.0,82.02,88.0,77.31,83.0,81.42,82.0,72.72,72.0,"81,83",69.0,"68,03",94.0,"84,37",94.0,"73,34"
БУРГАС,Основно училище Любен Каравелов,76.0,83.45,76.0,77.75,91.0,82.07,91.0,75.82,87.0,"75,08",87.0,"58,72",79.0,"82,65",79.0,"69,61"
БУРГАС,Основно училище Найден Геров,74.0,75.12,73.0,73.38,81.0,79.22,79.0,70.55,70.0,"81,72",68.0,"64,59",77.0,"77,53",76.0,"67,26"
БУРГАС,Основно училище Антон Страшимиров,114.0,82.53,113.0,80.84,116.0,85.12,116.0,74.04,114.0,"77,15",114.0,"63,11",145.0,"85,86",145.0,"76,41"
БУРГАС,Основно училище Свети Климент Охридски,70.0,89.09,70.0,86.69,64.0,79.58,63.0,73.0,68.0,"82,81",68.0,"70,84",71.0,"83,7",70.0,"71,64"
БУРГАС,Основно училище Георги Бенковски,88.0,82.18,87.0,80.99,69.0,79.64,69.0,72.51,73.0,"81,04",72.0,"67,11",52.0,"81,1",52.0,"67,33"
БУРГАС,Основно училище Пейо Крачолов Яворов,70.0,77.74,70.0,77.2,72.0,80.44,72.0,72.6,57.0,"73,37",57.0,60,72.0,"86,13",71.0,"73,24"
БУРГАС,Основно училище Васил Априлов,92.0,90.39,93.0,90.99,77.0,89.39,76.0,82.57,96.0,"85,75",95.0,"78,92",100.0,"88,57",98.0,"79,1"
БУРГАС,Основно училище Братя Миладинови,109.0,84.61,110.0,82.94,139.0,84.76,136.0,77.26,142.0,"80,9",143.0,"68,91",165.0,"86,21",164.0,"77,43"
БУРГАС,Основно училище Елин Пелин,136.0,83.92,132.0,76.55,121.0,85.78,122.0,77.36,149.0,"79,14",148.0,"65,87",155.0,"84,86",155.0,"72,7"
БУРГАС,ОУ Васил Левски - кв Горно Езерово,28.0,36.64,27.0,52.93,34.0,37.5,34.0,65.87,32.0,"34,25",33.0,"36,36",35.0,"35,83",35.0,"55,74"
БУРГАС,Основно училище Христо Ботев - кв Сарафово,34.0,85.18,31.0,83.6,24.0,83.79,24.0,73.52,23.0,"75,67",23.0,"60,17",41.0,"85,22",41.0,"69,71"
БУРГАС,Основно училище Христо Ботев - кв Победа,78.0,17.37,77.0,23.88,64.0,17.77,63.0,20.44,91.0,"17,38",93.0,"12,96",67.0,"25,72",72.0,"26,06"
БУРГАС,Основно училище Христо Ботев - кв Долно Езерово,38.0,76.38,38.0,65.99,28.0,72.68,28.0,57.27,26.0,"71,58",26.0,"49,96",27.0,"79,26",27.0,"59,11"
БУРГАС,Основно училище Васил Левски,7.0,51.86,7.0,49.43,12.0,58.5,12.0,39.54,10.0,"77,8",10.0,46,9.0,"77,56",9.0,"63,67"
БУРГАС,СУ Христо Ботев - кв Черно море,11.0,65.5,11.0,75.45,11.0,51.36,11.0,44.95,7.0,"49,43",7.0,"47,43",14.0,"68,64",14.0,"53,07"
БУРГАС,Основно училище Иван Вазов - кв Банево,6.0,70.33,6.0,67.17,9.0,72.11,12.0,70.46,13.0,"76,58",13.0,"59,69",10.0,"67,4",10.0,"57,9"
БУРГАС,Основно училище Христо Ботев - кв Ветрен,12.0,78.75,12.0,74.25,17.0,78.71,17.0,76.44,20.0,"71,63",20.0,"62,95",19.0,"78,37",19.0,"67,53"
БУРГАС,Основно училище Христо Ботев,14.0,56.07,14.0,43.68,8.0,66.63,8.0,63.13,10.0,"56,25",10.0,35,9.0,"69,67",9.0,"46,33"
БУРГАС,Основно училище Св Св Кирил и Методий,16.0,56.38,15.0,53.53,13.0,40.54,12.0,56.83,12.0,"64,63",12.0,"58,75",15.0,"74,87",15.0,"66,67"
БУРГАС,ОУ Св Климент Охридски - кв Рудник,16.0,36.63,16.0,55.78,13.0,51.31,14.0,53.39,25.0,"40,38",25.0,"26,4",14.0,"43,64",12.0,"39,92"
БУРГАС,СУ Иван Вазов,24.0,74.04,24.0,72.42,,,,,,,,,,,,
БУРГАС,СУ Йордан Йовков,48.0,85.4,48.0,78.64,39.0,81.21,39.0,74.67,53.0,"84,4",53.0,"80,74",37.0,"86,57",37.0,"76,43"
БУРГАС,СУ Епископ Константин Преславски,67.0,78.2,67.0,75.05,47.0,78.43,47.0,80.3,46.0,"86,82",46.0,"82,22",57.0,"78,75",57.0,"63,67"
БУРГАС,СУ Димчо Дебелянов,54.0,79.78,54.0,77.24,57.0,86.74,54.0,78.62,48.0,"83,9",48.0,"74,06",72.0,"87,63",72.0,"78,72"
БУРГАС,СУ Добри Чинтулов,22.0,80.77,22.0,84.82,22.0,81.59,22.0,74.66,17.0,"68,35",17.0,"54,94",25.0,"85,68",25.0,"82,64"
БУРГАС,СУ Константин Петканов,69.0,73.96,69.0,72.53,75.0,74.69,72.0,69.21,40.0,"73,14",40.0,"55,75",55.0,"79,18",54.0,"67,24"
БУРГАС,СУ Петко Росен,67.0,72.87,68.0,67.4,70.0,77.2,71.0,69.76,76.0,"71,46",76.0,"56,68",93.0,"75,58",92.0,"60,5"
БУРГАС,СУ Св св Кирил и Методий,91.0,87.82,91.0,82.13,99.0,83.96,99.0,78.05,90.0,"85,63",90.0,"74,2",95.0,"86,36",95.0,"78,76"
БУРГАС,Основно училище Александър Георгиев-Коджакафалията,49.0,89.38,49.0,86.99,52.0,85.33,52.0,83.62,72.0,"86,15",72.0,"75,03",74.0,"88,64",74.0,"83,81"
КАМЕНО,Начално училище Братя Миладинови,7.0,45.36,7.0,58.5,,,,,11.0,"37,59",11.0,49,12.0,"41,33",12.0,"31,92"
КАМЕНО,Основно училище Иван Вазов,11.0,44.5,11.0,45.68,12.0,49.17,12.0,48.29,9.0,"47,22",9.0,"35,22",15.0,"52,93",15.0,"36,73"
КАМЕНО,Основно училище Христо Ботев,8.0,60.81,8.0,77.56,11.0,67.55,11.0,79.32,11.0,"63,86",11.0,"43,09",8.0,"49,88",8.0,"36,38"
КАМЕНО,СУ Христо Ботев,24.0,58.08,23.0,56.98,16.0,54.0,16.0,45.72,20.0,"61,73",21.0,"41,24",25.0,"64,24",24.0,"45,67"
КАРНОБАТ,Основно училище Христо Смирненски,21.0,72.95,21.0,74.07,42.0,74.83,42.0,71.24,29.0,"67,76",29.0,"57,59",50.0,"71,78",50.0,"57,28"
КАРНОБАТ,Основно училище Петко Рачев Славейков,20.0,23.4,20.0,37.55,16.0,16.81,16.0,40.0,18.0,"29,17",18.0,"22,67",21.0,"14,05",20.0,"23,8"
КАРНОБАТ,Основно училище Христо Ботев,15.0,44.3,15.0,55.6,20.0,47.75,19.0,65.5,17.0,"47,76",16.0,42,16.0,"43,69",15.0,"36,73"
КАРНОБАТ,Основно училище Христо Ботев,5.0,41.6,5.0,58.5,2.0,45.5,2.0,34.75,2.0,55,1.0,60,8.0,"63,25",8.0,"60,38"
КАРНОБАТ,СУ Св Св Кирил и Методий,32.0,73.06,32.0,68.44,49.0,63.16,49.0,66.92,40.0,"76,8",40.0,"64,98",58.0,"70,91",59.0,"58,66"
КАРНОБАТ,СУ Христо Ботев,52.0,65.54,52.0,68.98,55.0,67.38,55.0,65.71,52.0,"59,45",52.0,"59,96",43.0,"80,77",43.0,"67,7"
МАЛКО ТЪРНОВО,СУ Васил Левски,14.0,61.93,15.0,70.43,11.0,55.18,11.0,67.77,19.0,"66,79",19.0,"57,05",21.0,"51,52",21.0,"39,9"
НЕСЕБЪР,ОУ Св Св Кирил и Методий,26.0,72.5,26.0,67.83,20.0,85.45,20.0,66.7,16.0,"64,56",16.0,"43,81",15.0,"71,13",15.0,"56,07"
НЕСЕБЪР,Основно училище Св Св Кирил и Методий,10.0,62.1,10.0,67.5,8.0,32.5,9.0,48.94,9.0,"50,61",9.0,"44,78",7.0,"41,71",7.0,"33,86"
