Община,Училище,БЕЛ 24,ДЗИ II 24,БЕЛ-УЧ. 24,ДЗИ II-УЧ. 24,БЕЛ 23,ДЗИ II 23,БЕЛ-УЧ. 23,ДЗИ II-УЧ. 23,БЕЛ 22,ДЗИ II 22,БЕЛ-УЧ. 22,ДЗИ II-УЧ. 22,БЕЛ 21,ДЗИ II 21,БЕЛ-УЧ. 21,ДЗИ II-УЧ. 21,БЕЛ 20,ДЗИ II 20,БЕЛ-УЧ. 20,ДЗИ II-УЧ. 20
РАДНЕВО,ПГ Св. Иван Рилски,2.87,4.53,36.0,19.0,2.49,4.192,45.0,25.0,2.63,5.33,44.0,34.0,3.22,4.09,80.0,5.0,3.32,3.0,78.0,7.0
РАДНЕВО,СУ Гео Милев,3.69,4.382,36.0,34.0,3.59,3.849,37.0,37.0,3.99,4.191,41.0,40.0,4.05,4.46,23.0,25.0,4.05,4.22,24.0,26.0
РАДОМИР,ПГ по транспорт,2.71,4.52,13.0,10.0,2.75,4.245,13.0,11.0,2.62,4.41,11.0,8.0,2.97,2.93,24.0,11.0,3.14,3.43,26.0,13.0
РАДОМИР,СУ Св. Св. Кирил и Методий,4.4,4.383,44.0,42.0,3.57,3.95,31.0,31.0,4.04,4.313,40.0,40.0,4.35,4.78,28.0,28.0,4.56,4.73,37.0,37.0
РАДОМИР,Техническа ПГ Никола Вапцаров,3.75,4.46,21.0,21.0,2.91,4.41,20.0,18.0,3.11,4.45,24.0,20.0,3.62,3.34,28.0,30.0,3.53,3.43,31.0,33.0
РАКОВСКИ,ПГ Петър Парчевич,2.91,4.117,52.0,44.0,2.17,3.697,29.0,17.0,2.35,2.55,50.0,41.0,3.2,3.69,57.0,27.0,3.26,3.37,57.0,25.0
САМОКОВ,ПГ Константин Фотинов,4.86,4.834,61.0,60.0,4.51,4.525,58.0,58.0,4.6,4.568,50.0,47.0,4.85,5.19,46.0,46.0,4.72,5.01,70.0,70.0
САМОКОВ,ПГ по туризъм,3.18,3.836,18.0,18.0,2.87,4.737,23.0,19.0,2.6,3.75,6.0,4.0,3.14,3.46,22.0,22.0,3.45,3.6,17.0,17.0
САМОКОВ,ПТГ Никола Вапцаров,4.28,4.92,60.0,59.0,3.72,4.37,70.0,70.0,3.94,4.55,58.0,56.0,4.38,4.63,56.0,58.0,4.19,4.38,76.0,76.0
САМОКОВ,Спортно у-ще Никола Велчев,3.74,5.24,15.0,15.0,3.15,5.54,15.0,13.0,3.34,4.6,14.0,13.0,3.82,4.61,16.0,5.0,3.07,3.97,12.0,5.0
САМОКОВ,СУ Отец Паисий,4.19,4.147,25.0,25.0,3.72,3.91,49.0,48.0,3.86,3.759,28.0,28.0,4.08,4.47,43.0,42.0,3.91,3.67,27.0,27.0
