Община,Училище,БЕЛ 24,ДЗИ II 24,БЕЛ-УЧ. 24,ДЗИ II-УЧ. 24,БЕЛ 23,ДЗИ II 23,БЕЛ-УЧ. 23,ДЗИ II-УЧ. 23,БЕЛ 22,ДЗИ II 22,БЕЛ-УЧ. 22,ДЗИ II-УЧ. 22,БЕЛ 21,ДЗИ II 21,БЕЛ-УЧ. 21,ДЗИ II-УЧ. 21,БЕЛ 20,ДЗИ II 20,БЕЛ-УЧ. 20,ДЗИ II-УЧ. 20
СОФИЯ,85 СУ Отец Паисий,3.2,3.311,17.0,18.0,2.7,2.711,30.0,26.0,2.77,2.697,24.0,21.0,3.33,3.65,22.0,18.0,3.11,3.34,16.0,16.0
СОФИЯ,88 СУ Димитър Попниколов,3.99,3.581,24.0,23.0,3.79,3.598,25.0,25.0,3.61,3.889,36.0,36.0,3.97,4.45,36.0,36.0,4.33,4.57,46.0,46.0
СОФИЯ,90 СУ Ген. Хосе де Сан Мартин,3.65,3.32,16.0,18.0,3.55,3.882,17.0,18.0,3.75,3.142,16.0,15.0,3.99,3.85,14.0,14.0,3.64,3.88,19.0,19.0
СОФИЯ,91 немска ЕГ,5.7,5.819,183.0,157.0,5.43,5.715,192.0,176.0,5.5,5.739,184.0,159.0,5.63,5.63,187.0,167.0,5.7,5.75,192.0,167.0
СОФИЯ,93 СУ Ал. Теодоров - Балан,4.44,3.805,46.0,46.0,3.71,3.711,44.0,44.0,3.64,3.701,39.0,39.0,3.69,3.96,18.0,18.0,3.56,3.64,15.0,18.0
СОФИЯ,94 СУ Д. Страшимиров,2.7,3.217,31.0,37.0,2.28,3.113,35.0,38.0,2.39,3.86,32.0,30.0,3.24,3.52,33.0,23.0,3.09,3.23,29.0,16.0
СОФИЯ,95 СУ Проф. Иван Шишманов,3.98,3.706,57.0,66.0,3.48,3.303,49.0,50.0,3.96,3.734,38.0,36.0,4.01,4.36,49.0,49.0,3.91,3.99,49.0,50.0
СОФИЯ,96 СУ Лев Николаевич Толстой,4.6,4.263,26.0,26.0,3.3,3.207,24.0,24.0,3.91,3.762,34.0,35.0,4.31,4.35,45.0,46.0,4.41,4.52,42.0,42.0
СОФИЯ,97 СУ Братя Миладинови,4.02,3.913,54.0,55.0,3.59,3.896,48.0,47.0,3.63,3.823,36.0,36.0,3.76,4.38,38.0,38.0,3.97,4.13,50.0,51.0
СОФИЯ,101 СУ Бачо Киро,3.84,3.887,46.0,47.0,3.42,3.699,35.0,33.0,3.69,3.913,27.0,26.0,3.93,4.33,41.0,41.0,4.15,4.23,44.0,44.0
СОФИЯ,105 СУ Атанас Далчев,4.67,4.513,76.0,81.0,4.0,4.436,72.0,74.0,4.24,4.314,69.0,69.0,4.23,4.41,63.0,63.0,4.16,4.4,54.0,55.0
СОФИЯ,108 СУ Никола Беловеждов,4.18,4.273,49.0,50.0,3.39,3.61,25.0,25.0,3.66,3.363,24.0,24.0,3.89,4.06,18.0,18.0,3.95,4.0,44.0,44.0
СОФИЯ,113 СУ Сава Филаретов,2.57,2.822,7.0,5.0,2.0,2.0,6.0,7.0,2.17,2.0,6.0,6.0,3.16,2.99,6.0,6.0,2.76,2.84,2.0,1.0
СОФИЯ,117 СУ Св. Св. Кирил и Методий,3.58,3.232,24.0,28.0,2.71,2.475,13.0,20.0,3.12,2.373,23.0,23.0,3.58,3.84,22.0,21.0,3.75,3.79,20.0,20.0
СОФИЯ,118 СУ Акад. Людмил Стоянов,4.15,3.536,44.0,50.0,3.4,3.057,22.0,28.0,3.69,3.429,20.0,20.0,4.01,4.59,24.0,24.0,4.26,4.19,14.0,14.0
СОФИЯ,119 СУ Акад. Михаил Арнаудов,4.88,4.655,108.0,110.0,4.17,4.305,107.0,107.0,4.64,4.545,105.0,105.0,4.58,4.87,93.0,93.0,4.59,4.84,92.0,92.0
СОФИЯ,121 СУ Георги Измирлиев,4.12,3.877,45.0,47.0,3.54,3.014,20.0,20.0,3.51,,1.0,,3.49,4.01,18.0,17.0,3.77,4.1,16.0,16.0
СОФИЯ,123 СУ Стефан Стамболов,3.43,3.399,27.0,26.0,2.46,4.25,9.0,6.0,2.95,2.818,14.0,16.0,3.26,3.26,16.0,17.0,3.44,3.34,9.0,7.0
СОФИЯ,125 СУИЧЕ Боян Пенев,4.59,4.565,42.0,42.0,4.26,4.638,33.0,32.0,4.78,4.988,38.0,38.0,,,,,,,,
СОФИЯ,127 СУ Иван Николаевич Денкоглу,4.99,4.929,150.0,154.0,4.53,4.596,129.0,129.0,4.6,4.808,118.0,117.0,4.74,4.84,131.0,131.0,4.97,5.01,132.0,132.0
СОФИЯ,128 СУ Алберт Айнщайн,3.96,4.86,56.0,52.0,3.56,4.436,41.0,40.0,3.93,4.569,42.0,42.0,4.02,4.34,50.0,51.0,3.97,4.23,42.0,42.0
СОФИЯ,130 СУ Стефан Караджа,2.36,2.556,3.0,3.0,2.44,2.5,14.0,10.0,2.44,2.68,13.0,13.0,3.41,3.58,13.0,13.0,3.52,3.52,16.0,16.0
СОФИЯ,131 СУ Климент Аркад. Тимирязев,3.81,4.059,2.0,1.0,,,,,2.87,3.239,11.0,11.0,3.9,4.02,19.0,17.0,3.92,3.85,15.0,15.0
СОФИЯ,132 СУ Ваня Войнова,3.7,3.572,64.0,61.0,3.33,3.412,53.0,56.0,3.25,3.432,48.0,46.0,3.95,4.24,62.0,63.0,4.06,4.19,51.0,51.0
СОФИЯ,133 СУ Александър Сергеевич Пушкин,5.37,5.426,102.0,103.0,4.96,5.126,102.0,102.0,5.18,5.146,100.0,101.0,5.25,5.22,105.0,105.0,5.34,5.27,105.0,105.0
СОФИЯ,134 СУ Димчо Дебелянов,5.23,5.181,74.0,75.0,4.66,4.788,73.0,73.0,5.0,5.056,78.0,77.0,4.84,5.37,78.0,78.0,4.9,5.14,75.0,76.0
СОФИЯ,135 СУ Ян Амос Коменски,3.82,5.14,21.0,21.0,3.39,4.6,9.0,9.0,3.68,5.13,14.0,14.0,4.14,4.23,19.0,18.0,4.11,4.26,21.0,20.0
СОФИЯ,137 СУ Ангел Кънчев,4.26,3.736,85.0,98.0,3.75,3.359,66.0,77.0,3.92,3.263,59.0,59.0,4.39,4.85,42.0,42.0,4.23,4.45,70.0,71.0
СОФИЯ,138 СУ Проф. Васил Златарски,5.07,5.168,104.0,104.0,4.41,4.899,101.0,104.0,4.48,4.693,97.0,96.0,4.37,4.43,103.0,104.0,4.47,4.55,92.0,93.0
СОФИЯ,140 СУ Иван Богоров,3.82,3.327,36.0,36.0,3.48,4.096,24.0,23.0,2.87,2.788,21.0,18.0,3.56,3.74,30.0,28.0,3.64,3.7,31.0,31.0
СОФИЯ,144 СУ Народни будители,4.15,4.45,80.0,78.0,3.74,4.19,67.0,68.0,3.92,4.065,63.0,63.0,4.1,4.23,67.0,68.0,4.3,4.21,45.0,45.0
СОФИЯ,149 СУ Иван Хаджийски,3.83,3.473,26.0,32.0,3.34,2.979,27.0,30.0,3.38,2.852,13.0,13.0,3.42,3.35,19.0,20.0,3.82,3.66,15.0,16.0
СОФИЯ,157 СУ Сесар Вайехо,4.85,5.199,114.0,114.0,4.37,5.004,95.0,95.0,4.54,5.052,93.0,93.0,4.88,4.87,95.0,95.0,5.07,4.94,98.0,98.0
СОФИЯ,164 СУ Мигел де Сервантес,5.66,5.453,134.0,133.0,5.37,5.356,169.0,169.0,5.4,5.302,178.0,178.0,5.62,5.67,149.0,149.0,5.56,5.55,138.0,138.0
СОФИЯ,170 СУ Васил Левски,3.92,4.405,46.0,46.0,3.76,3.564,38.0,36.0,3.85,3.781,29.0,29.0,4.13,4.34,38.0,38.0,4.03,3.95,39.0,41.0
СОФИЯ,192 СУ Христо Ботев,3.35,2.856,32.0,29.0,2.9,3.501,18.0,18.0,,,,,3.48,4.22,12.0,12.0,3.81,4.32,12.0,12.0
СОФИЯ,203 Профилирана ЕГ Свети Методий,3.85,3.861,72.0,74.0,3.45,3.64,40.0,37.0,3.59,3.775,47.0,47.0,4.05,4.3,20.0,21.0,4.26,4.47,23.0,26.0
СОФИЯ,Софийска гимназия по хлебни/сладкарски технологии,3.54,5.044,28.0,24.0,3.15,4.412,24.0,19.0,3.03,4.53,26.0,23.0,3.35,3.44,27.0,23.0,3.67,3.71,48.0,38.0
СОФИЯ,Гимназия за приложни изкуства Св. Лука,4.74,5.18,96.0,96.0,4.36,4.93,97.0,98.0,4.47,4.73,90.0,89.0,4.52,4.95,98.0,38.0,4.6,4.85,91.0,46.0
СОФИЯ,"Гимназия по строителство, архитектура и геодезия",4.92,4.477,187.0,187.0,4.32,4.38,168.0,170.0,4.63,4.424,182.0,182.0,4.94,4.79,178.0,168.0,4.88,4.45,178.0,169.0
СОФИЯ,Софийска духовна семинария,3.73,3.48,11.0,11.0,3.26,3.24,13.0,13.0,3.23,3.32,11.0,11.0,4.03,4.67,9.0,9.0,3.89,3.95,9.0,10.0
СОФИЯ,Специално училище за ученици с нарушено зрение Луи Брайл,,3.19,,1.0,3.79,3.3,6.0,6.0,4.03,3.405,6.0,6.0,5.31,4.58,3.0,3.0,5.6,5.71,2.0,2.0
СОФИЯ,Национално СУ София,3.94,3.76,42.0,41.0,3.65,3.522,31.0,32.0,3.43,3.256,19.0,18.0,3.7,4.27,29.0,29.0,4.04,4.24,37.0,37.0
СОФИЯ,Национална гимназия за древни езици и култури,5.59,5.063,73.0,73.0,5.06,4.561,78.0,78.0,5.07,5.083,75.0,75.0,5.36,5.24,70.0,70.0,5.3,5.23,73.0,73.0
СОФИЯ,Национално музикално училище,4.36,4.52,76.0,79.0,4.21,4.66,73.0,72.0,4.27,4.96,80.0,78.0,4.74,5.07,62.0,32.0,4.62,4.64,68.0,31.0
СОФИЯ,НПМГ Акад. Любомир Чакалов,5.43,5.283,240.0,241.0,5.0,4.888,246.0,248.0,5.24,4.86,244.0,244.0,5.17,5.4,237.0,238.0,5.28,5.49,234.0,234.0
СОФИЯ,НУКК (Италиански лицей),5.11,5.355,51.0,51.0,4.6,4.745,54.0,54.0,4.86,4.754,49.0,49.0,5.17,5.22,50.0,50.0,5.2,5.38,49.0,49.0
СОФИЯ,ПГ за изобразителни изкуства,4.56,5.21,26.0,26.0,4.1,5.21,26.0,26.0,4.04,4.902,38.0,39.0,4.34,4.18,29.0,2.0,4.28,,26.0,
СОФИЯ,Софийска ПГ Княгиня Евдокия,3.73,4.54,94.0,85.0,3.1,4.356,51.0,53.0,3.1,4.59,27.0,25.0,3.45,3.81,39.0,3.0,3.52,3.44,42.0,11.0
СОФИЯ,"ПГ по аудио, видое и телекомуникация",3.91,4.754,155.0,144.0,3.52,4.822,157.0,149.0,3.65,4.368,105.0,98.0,3.79,4.12,123.0,77.0,3.97,4.12,98.0,92.0
СОФИЯ,ПГ по дизайн Елисавета Вазова,4.63,5.29,121.0,121.0,4.04,5.268,91.0,94.0,4.13,5.07,91.0,92.0,4.19,4.82,50.0,5.0,4.21,4.03,62.0,25.0
СОФИЯ,ПГ по екология и биотехнологии,4.21,3.88,74.0,72.0,3.73,4.53,50.0,51.0,4.24,4.56,47.0,46.0,4.21,4.09,50.0,36.0,4.29,4.43,49.0,48.0
СОФИЯ,ПГ по електроника Джон Атанасов,4.85,5.205,201.0,201.0,4.3,5.366,234.0,236.0,4.37,4.97,249.0,247.0,4.58,4.67,225.0,223.0,4.58,4.85,186.0,187.0
СОФИЯ,ПГ по електротехника и автоматика,4.19,4.92,114.0,112.0,3.74,4.72,108.0,104.0,4.0,5.018,83.0,82.0,4.09,4.52,132.0,75.0,4.18,4.58,134.0,102.0
СОФИЯ,ПГ по механоелектротехника,3.04,2.98,41.0,35.0,2.72,3.54,49.0,38.0,2.74,3.58,29.0,27.0,3.47,3.87,46.0,46.0,3.23,3.38,29.0,31.0
СОФИЯ,ПГ по облекло,4.22,5.32,64.0,60.0,3.69,5.05,61.0,59.0,3.74,5.26,53.0,52.0,4.02,3.62,42.0,9.0,3.87,4.58,42.0,5.0
СОФИЯ,"ПГ по подемна, строителна и транспортна техника",2.82,3.28,33.0,26.0,2.14,4.04,15.0,11.0,2.39,3.52,8.0,6.0,3.18,3.82,32.0,8.0,3.09,2.8,27.0,6.0
СОФИЯ,ПГ по полиграфия и фотография,4.65,5.39,107.0,105.0,4.44,5.3,101.0,101.0,4.37,4.9,103.0,103.0,4.57,3.14,135.0,1.0,4.36,,108.0,
СОФИЯ,ПГ по прецизна техника и оптика,4.45,4.65,172.0,171.0,4.18,4.79,180.0,177.0,4.13,4.62,182.0,181.0,4.42,4.65,181.0,166.0,4.52,4.56,195.0,177.0
СОФИЯ,ПГ по селско стопанство,3.25,4.3,5.0,5.0,2.0,2.985,8.0,7.0,2.37,2.0,4.0,5.0,3.12,3.67,13.0,2.0,2.92,2.57,6.0,1.0
СОФИЯ,ПГ по текстилни и кожени изделия,3.73,5.28,9.0,13.0,2.52,4.288,19.0,20.0,2.65,3.884,18.0,18.0,3.08,3.26,13.0,2.0,2.72,2.85,17.0,4.0
СОФИЯ,ПГ по телекомуникации,4.54,4.725,184.0,182.0,3.74,4.78,175.0,176.0,4.13,4.62,156.0,159.0,4.25,4.67,181.0,165.0,4.33,4.66,157.0,149.0
СОФИЯ,ПГ по транспорт и енергетика,3.55,3.267,239.0,242.0,3.19,3.189,187.0,169.0,3.38,3.03,133.0,137.0,3.6,3.87,126.0,72.0,3.81,3.99,114.0,84.0
СОФИЯ,ПГ по транспорт Макгахан,3.51,3.621,70.0,71.0,3.09,3.617,54.0,54.0,3.27,4.08,35.0,36.0,3.54,3.68,52.0,48.0,3.49,3.72,62.0,50.0
СОФИЯ,ПГ по транспорт,3.92,5.61,21.0,18.0,3.17,4.54,42.0,34.0,3.39,4.34,37.0,28.0,3.36,3.67,41.0,35.0,3.37,3.56,40.0,34.0
СОФИЯ,Софийска ПГ по туризъм,4.22,5.2,183.0,179.0,3.74,5.19,170.0,168.0,3.98,5.052,172.0,170.0,4.22,4.7,174.0,39.0,4.26,4.57,167.0,40.0
СОФИЯ,ПГ по хранително-вкусови технологии,3.83,4.48,39.0,36.0,2.81,4.31,49.0,37.0,2.75,3.87,43.0,43.0,3.56,3.92,60.0,20.0,3.34,3.68,41.0,16.0
СОФИЯ,ПГ по туризъм А. Константинов,3.49,4.79,85.0,74.0,3.12,4.801,86.0,73.0,3.13,4.374,78.0,75.0,3.71,4.38,91.0,9.0,3.65,4.3,83.0,24.0
СОФИЯ,Румънска гимназия Михай Еминеску,4.25,4.692,27.0,26.0,3.83,4.81,30.0,30.0,4.22,4.639,40.0,39.0,4.72,4.82,26.0,26.0,4.71,4.68,24.0,24.0
СОФИЯ,СМГ Паисий Хилендарски,5.76,5.757,161.0,161.0,5.36,5.188,166.0,167.0,5.38,5.558,176.0,176.0,5.42,5.68,169.0,169.0,5.48,5.74,165.0,165.0
СОФИЯ,IV сменно-вечерна гимназия,3.68,3.913,59.0,53.0,3.54,3.678,57.0,52.0,3.67,3.824,47.0,45.0,3.76,3.91,96.0,97.0,3.84,3.98,72.0,73.0
СОФИЯ,166 спортно у-ще Васил Левски,4.05,5.195,82.0,75.0,3.6,5.363,95.0,86.0,3.22,4.875,74.0,69.0,3.69,4.29,91.0,9.0,3.85,3.84,83.0,28.0
СОФИЯ,Спортно у-ще ген. Владимир Стойчев,3.69,5.111,101.0,96.0,3.46,5.12,77.0,78.0,3.55,4.845,89.0,89.0,3.77,4.12,99.0,53.0,3.88,4.2,98.0,47.0
СОФИЯ,153 спортно у-ще Неофит Рилски,3.61,4.98,44.0,38.0,2.97,4.552,58.0,54.0,3.01,4.601,65.0,64.0,3.4,3.69,50.0,6.0,3.55,3.15,51.0,2.0
СОФИЯ,57 спортно у-ще Св. Наум Охридски,3.39,3.61,58.0,49.0,2.96,4.672,60.0,52.0,2.87,4.62,71.0,70.0,3.5,4.03,75.0,18.0,3.49,3.67,80.0,37.0
СОФИЯ,ТУЕС към Технически Университет,5.2,5.17,94.0,94.0,4.76,4.81,105.0,106.0,4.95,4.89,88.0,86.0,5.11,5.22,92.0,91.0,5.06,5.27,98.0,98.0
СОФИЯ,Търговско-банкова гимназия,5.12,5.77,260.0,260.0,4.63,5.7,272.0,273.0,4.76,5.69,286.0,287.0,4.87,4.85,256.0,70.0,5.0,5.0,236.0,74.0
СОФИЯ,Училище за изящни изкуства,4.92,5.262,54.0,57.0,4.35,5.139,53.0,53.0,4.63,4.44,51.0,51.0,4.64,4.03,53.0,5.0,4.62,4.88,51.0,2.0
СОФИЯ,Училище за танцово изкуство,4.3,5.1,84.0,79.0,3.87,4.97,58.0,57.0,4.13,5.06,56.0,56.0,4.45,,65.0,,4.37,,57.0,
СОФИЯ,Специално училище за ученици с увреден слух,,3.549,,6.0,2.92,4.27,7.0,10.0,2.84,3.95,2.0,4.0,2.35,,4.0,,,,,
СОФИЯ,Финансово-стопанска гимназия,5.04,5.024,191.0,189.0,4.57,4.834,159.0,158.0,4.77,5.28,175.0,175.0,4.85,4.94,207.0,150.0,5.05,4.97,196.0,174.0
СОФИЯ,ЧСУ с чуждоезиков профил Абрахам Линкълн,5.61,5.73,5.0,5.0,4.78,5.54,2.0,2.0,4.07,4.66,6.0,6.0,,,,,4.67,5.49,3.0,3.0
СОФИЯ,Американски колеж,5.55,5.701,185.0,185.0,5.16,5.354,178.0,178.0,5.33,5.582,152.0,152.0,5.52,5.67,161.0,162.0,5.59,5.74,154.0,154.0
СОФИЯ,ЧСУ Артис,4.71,5.22,1.0,1.0,3.93,4.273,5.0,5.0,4.62,4.83,6.0,6.0,,,,,,,,
СОФИЯ,ЧПГ Банкер,,,,,4.7,5.88,8.0,8.0,4.86,5.84,6.0,6.0,4.63,,12.0,,4.64,,13.0,
СОФИЯ,ЧПГ по банково дело търговия и финанси,3.97,4.99,10.0,10.0,3.89,5.16,13.0,13.0,,,,,,,,,4.07,4.46,7.0,2.0
СОФИЯ,ЧСЕУ Британика,5.11,5.45,29.0,28.0,4.36,4.96,13.0,13.0,4.83,5.02,11.0,11.0,4.74,4.78,13.0,13.0,4.51,5.27,15.0,15.0
СОФИЯ,ЧЕГ Проф. д-р В. Златарски,5.07,5.29,58.0,59.0,4.53,5.21,38.0,38.0,4.62,5.08,44.0,44.0,4.91,5.54,41.0,41.0,5.09,5.64,44.0,44.0
СОФИЯ,ЧСУ с немски език Веда,5.44,5.9,4.0,4.0,4.57,5.9,8.0,8.0,5.85,5.834,5.0,5.0,5.15,5.42,11.0,11.0,4.7,5.16,8.0,8.0
СОФИЯ,ЧЕСУ Дорис Тенеди,5.44,5.581,31.0,31.0,4.94,5.504,36.0,36.0,5.0,5.44,27.0,26.0,5.15,5.44,27.0,27.0,5.3,5.73,22.0,22.0
СОФИЯ,ЧСУ Дружба,4.54,4.789,21.0,21.0,4.24,4.388,20.0,21.0,4.28,4.86,27.0,27.0,4.48,4.87,30.0,30.0,4.62,4.93,23.0,23.0
СОФИЯ,ЧПГ с чуждоезиково обучение Езиков свят,4.07,4.062,14.0,14.0,3.8,4.118,15.0,15.0,4.26,4.575,6.0,6.0,4.63,4.96,14.0,14.0,4.01,4.21,7.0,7.0
СОФИЯ,ЧНГ Ерих Кестнер,5.19,5.643,16.0,16.0,4.44,5.79,11.0,11.0,4.73,5.459,14.0,14.0,5.1,5.33,15.0,15.0,5.39,5.46,10.0,10.0
СОФИЯ,ЧЕГ Проф. Иван Апостолов,5.2,5.63,75.0,75.0,4.71,5.229,53.0,53.0,4.73,5.33,43.0,43.0,5.14,5.67,38.0,38.0,4.89,5.54,37.0,38.0
СОФИЯ,"ЧПГ по икономика, туризъм и информатика",3.96,5.41,34.0,33.0,3.54,5.47,22.0,22.0,3.55,5.828,5.0,8.0,3.66,,12.0,,3.91,,10.0,
СОФИЯ,ЧПГ Меридиан 22,5.06,5.33,8.0,9.0,4.66,4.82,16.0,16.0,4.93,5.07,15.0,15.0,5.04,5.46,24.0,24.0,5.37,5.61,10.0,10.0
СОФИЯ,ЧСУ Проф. Николай Райнов,4.21,4.55,9.0,9.0,,,,,4.02,4.84,4.0,4.0,,,,,,,,
СОФИЯ,ЧПГ Образователни технологии,4.77,5.188,37.0,37.0,4.3,4.982,36.0,36.0,4.47,4.881,34.0,34.0,4.44,4.89,39.0,39.0,4.59,4.71,45.0,45.0
СОФИЯ,ЧСУ Орфей,4.14,3.693,3.0,3.0,4.19,5.06,3.0,4.0,4.42,4.578,7.0,7.0,4.13,4.75,4.0,4.0,3.74,4.84,6.0,5.0
СОФИЯ,ЧСУ Петко Рачов Славейков,4.3,4.41,6.0,6.0,,,,,,,,,,,,,,,,
СОФИЯ,ЧГ по прир. науки и предпр. Асен Йорданов,4.86,5.34,8.0,8.0,,,,,4.8,5.73,1.0,1.0,,,,,,,,
СОФИЯ,Първа частна английска гимназия,4.41,4.82,21.0,21.0,4.29,4.912,17.0,17.0,4.38,4.932,20.0,20.0,4.37,5.06,28.0,28.0,4.49,5.17,16.0,15.0
СОФИЯ,Първа Частна Математическа Гимназия,5.39,5.64,26.0,26.0,5.17,4.834,19.0,19.0,5.37,5.414,23.0,23.0,5.45,5.78,14.0,14.0,5.55,5.78,18.0,18.0
СОФИЯ,ЧСУ Рьорих,5.15,4.61,3.0,3.0,4.46,4.88,3.0,3.0,4.34,5.36,5.0,5.0,4.06,4.41,5.0,5.0,4.47,4.55,9.0,9.0
СОФИЯ,ЧСУ Свети Георги,4.93,5.83,20.0,20.0,4.54,5.796,15.0,15.0,4.76,5.92,9.0,11.0,4.45,5.86,3.0,3.0,,,,
СОФИЯ,ЧПСУ Свети Наум,4.38,4.583,7.0,6.0,3.24,3.95,6.0,6.0,,,,,3.73,3.26,3.0,3.0,4.55,4.61,4.0,5.0
СОФИЯ,ЧПГ по дигитални науки СофтУни Светлина,4.65,4.906,73.0,73.0,4.29,4.82,60.0,57.0,,,,,,,,,,,,
СОФИЯ,ЧСУ Увекинд,4.85,5.551,37.0,36.0,4.51,5.32,26.0,26.0,4.75,5.44,22.0,23.0,4.83,5.63,12.0,12.0,5.15,5.65,21.0,21.0
ПЛОВДИВ,Пловдивска духовна семинария,3.97,3.35,11.0,11.0,4.32,3.26,2.0,3.0,3.75,4.37,4.0,4.0,3.8,3.45,9.0,10.0,4.17,3.73,8.0,11.0
ПЛОВДИВ,ЕГ Иван Вазов,5.47,5.086,234.0,234.0,5.06,4.843,227.0,227.0,5.18,5.03,236.0,236.0,5.3,5.18,235.0,235.0,5.4,5.2,237.0,237.0
ПЛОВДИВ,ЕГ Пловдив,5.55,5.594,263.0,263.0,5.21,5.465,273.0,275.0,5.32,5.475,267.0,267.0,5.34,5.47,270.0,270.0,5.43,5.62,266.0,266.0
ПЛОВДИВ,МГ Акад. Кирил Попов,5.43,5.305,210.0,210.0,5.08,4.823,214.0,215.0,5.17,5.109,202.0,202.0,5.18,5.17,212.0,209.0,5.26,5.25,212.0,210.0
ПЛОВДИВ,НУМТИ Добрин Петков,4.99,4.93,32.0,33.0,4.17,4.48,23.0,23.0,4.44,4.65,20.0,20.0,4.57,4.37,26.0,2.0,4.58,4.73,26.0,9.0
ПЛОВДИВ,ПГ по архитектура строителство и геодезия,4.48,4.293,193.0,192.0,3.9,3.946,182.0,201.0,4.01,3.437,170.0,170.0,4.25,4.2,190.0,166.0,4.27,4.2,188.0,170.0
ПЛОВДИВ,ПГ по битова техника,3.97,4.652,116.0,113.0,3.51,4.559,101.0,98.0,3.57,3.43,59.0,57.0,3.65,4.03,81.0,70.0,3.64,3.99,78.0,66.0
ПЛОВДИВ,ПГ по вътрешна архитектура и дървообработване,3.81,4.879,86.0,74.0,3.43,4.959,59.0,57.0,2.96,4.77,34.0,24.0,3.53,3.79,24.0,8.0,3.56,3.43,41.0,12.0
ПЛОВДИВ,ПГ по електротехника и електроника,4.43,4.87,233.0,231.0,3.93,4.64,212.0,210.0,4.0,5.3,179.0,162.0,4.31,4.44,202.0,180.0,4.02,4.31,169.0,151.0
ПЛОВДИВ,ПГ по кожени изделия и текстил Д-р Иван Богоров,3.65,3.976,11.0,13.0,3.04,3.828,6.0,7.0,2.35,3.35,13.0,12.0,3.47,3.52,14.0,10.0,2.72,3.29,15.0,10.0
ПЛОВДИВ,ПГ по машиностроене,2.42,4.12,19.0,14.0,2.39,3.989,13.0,14.0,2.6,4.1,20.0,17.0,3.05,3.01,21.0,4.0,3.12,2.84,29.0,1.0
ПЛОВДИВ,ПГ по механотехника,3.54,4.589,127.0,114.0,2.79,4.533,98.0,95.0,3.16,3.759,88.0,89.0,3.65,4.0,93.0,47.0,3.62,3.8,89.0,77.0
ПЛОВДИВ,ПГ по облекло Ана Май,3.99,4.18,37.0,34.0,3.26,4.36,27.0,26.0,3.27,4.9,36.0,34.0,3.81,3.75,47.0,12.0,3.56,3.49,41.0,4.0
ПЛОВДИВ,ПГ по транспорт и строителни технологии,2.75,3.11,71.0,58.0,2.35,3.0,62.0,62.0,2.42,2.18,58.0,52.0,3.2,3.33,77.0,75.0,3.16,3.33,86.0,88.0
ПЛОВДИВ,ПГ по туризъм Проф д-р Асен Златаров,4.13,5.285,151.0,148.0,3.64,5.236,133.0,133.0,4.03,5.396,100.0,99.0,4.04,4.04,146.0,45.0,4.17,4.12,177.0,81.0
ПЛОВДИВ,ПГ по хранителни технологии и техника,4.01,5.15,152.0,149.0,3.26,5.14,120.0,108.0,3.44,5.03,124.0,120.0,4.02,3.8,130.0,34.0,4.05,4.16,104.0,30.0
ПЛОВДИВ,Спортно у-ще Васил Левски,3.84,4.904,74.0,62.0,3.38,5.176,75.0,66.0,3.27,4.875,69.0,62.0,3.74,4.92,70.0,10.0,3.82,4.23,78.0,15.0
ПЛОВДИВ,СУ Братя Миладинови,2.97,2.989,26.0,22.0,2.0,2.473,12.0,11.0,2.52,2.541,21.0,18.0,3.45,3.48,26.0,25.0,3.17,3.47,27.0,25.0
ПЛОВДИВ,СУ Димитър Матевски,3.9,3.876,25.0,25.0,3.34,3.15,26.0,24.0,2.0,,2.0,,3.71,3.95,21.0,23.0,3.81,3.65,12.0,14.0
ПЛОВДИВ,СУ Константин Величков,4.02,3.718,17.0,19.0,3.36,2.46,11.0,11.0,3.86,2.919,14.0,14.0,3.93,3.95,16.0,17.0,3.97,4.24,31.0,30.0
ПЛОВДИВ,СУ Св. Св. Кирил и Методий,4.29,4.69,40.0,40.0,3.64,4.08,46.0,42.0,3.5,4.39,37.0,37.0,3.7,3.95,33.0,33.0,4.11,4.16,46.0,46.0
ПЛОВДИВ,СУ Св. Климент Охридски,4.41,3.958,53.0,56.0,3.62,3.58,61.0,62.0,3.69,3.48,53.0,51.0,4.2,4.26,75.0,73.0,4.01,4.25,69.0,68.0
ПЛОВДИВ,СУ Любен Каравелов,4.09,4.331,29.0,29.0,3.77,4.575,27.0,23.0,3.74,3.531,19.0,19.0,4.27,3.96,18.0,18.0,3.73,3.7,13.0,13.0
ПЛОВДИВ,СУ Найден Геров,3.87,4.45,2.0,2.0,2.28,2.31,11.0,12.0,3.43,2.206,2.0,6.0,3.19,3.4,20.0,17.0,2.73,2.97,18.0,13.0
ПЛОВДИВ,СУ Никола Вапцаров,3.72,4.74,41.0,36.0,2.74,4.44,16.0,16.0,2.94,4.404,19.0,20.0,3.56,3.7,18.0,18.0,3.2,3.1,17.0,17.0
ПЛОВДИВ,СУ Пейо Крачолов Яворов,4.24,3.986,45.0,47.0,3.89,3.91,44.0,43.0,3.47,3.444,42.0,36.0,3.86,4.15,73.0,72.0,3.91,3.99,59.0,61.0
ПЛОВДИВ,СУ Св. К. Кирил Философ,4.69,3.676,45.0,46.0,3.5,3.732,24.0,28.0,3.74,3.512,24.0,24.0,3.79,4.14,21.0,23.0,3.96,4.24,25.0,26.0
