Община,Училище,"БЕЛ-УЧ 24""",БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21,БЕЛ-УЧ 20,БЕЛ 20,МАТ-УЧ 20,МАТ 20,БЕЛ-УЧ 19,БЕЛ 19,МАТ-УЧ 19,МАТ 19
СИМИТЛИ,СУ Св Св Кирил и Методий,67.0,49.91,67.0,31.87,68.0,55.54,68.0,30.34,71.0,"47,62",71.0,"25,16",68.0,"49,4",67.0,"30,4",70.0,"52,95",69.0,"31,46",78.0,"51,14",78.0,"23,92"
ПЕТРИЧ,СУ Никола Йонков Вапцаров,91.0,51.11,92.0,34.52,81.0,48.46,79.0,25.25,81.0,"56,15",81.0,"28,94",99.0,"49,26",97.0,"30,03",95.0,"52,10",95.0,"28,89",73.0,"58,29",72.0,"36,6"
ГОЦЕ ДЕЛЧЕВ,СУ Св Св Кирил и Методий,31.0,43.97,31.0,31.35,37.0,45.26,37.0,22.99,34.0,"51,53",34.0,"33,01",31.0,"45,16",31.0,"26,33",43.0,"42,16",43.0,"26,12",39.0,"48,54",39.0,"21,52"
ГОЦЕ ДЕЛЧЕВ,Първо основно училище Св Св Кирил и Методий,76.0,61.88,76.0,44.75,82.0,62.82,82.0,33.4,87.0,"59,21",87.0,"33,23",77.0,"59,66",77.0,"36,91",85.0,"57,60",85.0,"35,16",69.0,"57,1",69.0,"35,8"
ГОЦЕ ДЕЛЧЕВ,Второ основно училище Гоце Делчев,55.0,58.35,54.0,32.84,77.0,55.71,77.0,31.53,81.0,"59,8",81.0,"29,98",71.0,"60,82",71.0,"38,31",47.0,"50,23",47.0,"32,26",56.0,"59,96",56.0,"27,94"
ГОЦЕ ДЕЛЧЕВ,Трето основно училище Братя Миладинови,30.0,60.75,30.0,37.68,41.0,55.55,40.0,31.93,32.0,"51,7",32.0,"27,61",41.0,"51,06",41.0,"32,57",36.0,"47,47",37.0,"28,41",33.0,"58,26",33.0,"27,59"
ГОЦЕ ДЕЛЧЕВ,Основно училище Христо Ботев,8.0,60.31,8.0,39.16,12.0,52.42,12.0,23.77,24.0,"50,98",24.0,"31,77",15.0,"61,8",15.0,"35,4",15.0,"51,13",15.0,"32,60",15.0,"59,33",15.0,"30,28"
ГОЦЕ ДЕЛЧЕВ,Основно училище Св Климент Охридски,17.0,47.26,17.0,25.5,9.0,43.67,9.0,17.39,8.0,"48,56",8.0,"21,81",9.0,"51,67",9.0,"18,56",9.0,"43,11",9.0,"34,06",10.0,"52,05",10.0,"32,1"
ГОЦЕ ДЕЛЧЕВ,Основно училище Иван Вазов,7.0,51.5,7.0,31.11,10.0,48.6,10.0,29.78,17.0,"49,18",17.0,"21,97",15.0,"57,43",15.0,"40,88",12.0,"51,38",12.0,"23,35",11.0,"59,73",11.0,"34,41"
ГОЦЕ ДЕЛЧЕВ,Основно училище Свети Паисий Хилендарски,,,,,5.0,38.9,5.0,23.2,6.0,"29,5",6.0,"8,33",8.0,"37,94",8.0,"29,22",3.0,"44,33",3.0,"39,00",9.0,"33,22",9.0,"38,33"
ГОЦЕ ДЕЛЧЕВ,ОУ Петър Берон,15.0,55.47,15.0,55.23,34.0,50.26,34.0,24.36,20.0,"37,73",20.0,"29,43",20.0,"47,3",20.0,"37,44",22.0,"45,55",22.0,"31,32",16.0,"52,31",16.0,"28,61"
ГОЦЕ ДЕЛЧЕВ,Oбединено училище Св Паисий Хилендарски,11.0,50.91,11.0,26.0,22.0,46.2,22.0,32.63,16.0,"50,28",16.0,"40,52",10.0,"53,9",10.0,"30,2",19.0,"43,79",19.0,"33,72",16.0,"43,53",16.0,"24,83"
РАЗЛОГ,СУ Братя Петър и Иван Каназиреви,49.0,55.6,49.0,32.97,66.0,57.6,64.0,34.59,59.0,"48,39",59.0,"33,02",47.0,"41,31",45.0,"29,59",67.0,"58,19",65.0,"39,93",49.0,"54,54",49.0,"30,19"
РАЗЛОГ,Основно училище Никола Парапунов,74.0,57.13,74.0,38.19,66.0,52.7,64.0,28.75,84.0,"49,86",84.0,"28,78",78.0,"50,51",78.0,"33,29",51.0,"49,30",52.0,"27,64",82.0,"57,01",82.0,"34,97"
РАЗЛОГ,Основно училище Св Паисий Хилендарски,26.0,55.85,26.0,36.19,36.0,40.92,33.0,25.05,35.0,"40,71",34.0,"22,45",27.0,"55,09",28.0,"39,13",39.0,"49,05",39.0,"25,42",28.0,"35,91",28.0,"18,88"
РАЗЛОГ,Основно училище Св Св Кирил и Методий,14.0,47.61,14.0,37.75,10.0,52.35,10.0,32.03,9.0,"32,11",9.0,"24,56",12.0,"22,96",11.0,"16,8",11.0,"44,45",11.0,"33,41",13.0,"38,08",13.0,"17,88"
РАЗЛОГ,Основно училище Неофит Рилски,8.0,46.0,8.0,19.38,13.0,53.5,13.0,31.29,,,,,11.0,47,10.0,"38,45",6.0,"47,17",6.0,"35,00",10.0,"55,05",10.0,"29,05"
РАЗЛОГ,Основно училище Братя Миладинови,16.0,44.94,16.0,35.63,13.0,57.27,13.0,29.5,14.0,"44,71",13.0,"28,17",14.0,"44,68",14.0,"30,43",12.0,"44,29",11.0,"21,52",15.0,"42,5",15.0,"33,93"
ПЕТРИЧ,СУ Антон Попов,28.0,13.32,28.0,15.54,22.0,23.27,23.0,15.41,18.0,"36,53",18.0,"21,32",41.0,"22,84",38.0,"18,8",19.0,"23,47",17.0,"16,84",31.0,"49,42",33.0,"32,51"
ПЕТРИЧ,СУ Васил Левски,20.0,46.33,20.0,35.03,16.0,48.22,16.0,31.78,29.0,"46,9",29.0,"38,58",17.0,"55,56",17.0,"33,22",21.0,"39,57",21.0,"23,45",23.0,"49,39",23.0,"18,43"
ПЕТРИЧ,СУ Св Паисий Хилендарски,40.0,49.31,40.0,39.2,33.0,56.85,33.0,31.33,34.0,"52,71",34.0,"32,23",38.0,"60,34",38.0,"37,95",38.0,"58,09",38.0,"35,28",47.0,"60,8",47.0,"38,84"
ПЕТРИЧ,Основно училище Пейо Крачолов Яворов,13.0,61.19,13.0,46.85,20.0,56.95,20.0,29.61,15.0,"69,07",15.0,"36,18",22.0,"62,95",22.0,"37,74",17.0,"60,56",17.0,"38,19",17.0,"47,82",17.0,"25,26"
ПЕТРИЧ,Първо основно училище Кочо Мавродиев,39.0,50.96,39.0,44.03,44.0,48.42,43.0,32.73,45.0,"42,16",45.0,"28,47",34.0,"51,74",33.0,"40,25",50.0,"41,63",49.0,"27,22",42.0,"63,98",42.0,"41,34"
ПЕТРИЧ,Трето основно училище Гоце Делчев,64.0,50.88,63.0,35.28,53.0,56.98,53.0,29.88,70.0,"58,02",70.0,"33,56",62.0,"52,9",62.0,"27,59",62.0,"55,24",62.0,"32,69",67.0,"55,63",65.0,"37,77"
ПЕТРИЧ,Четвърто основно училище Христо Смирненски,84.0,62.18,86.0,41.13,79.0,60.19,79.0,34.21,46.0,"57,8",46.0,"31,11",65.0,"60,17",64.0,"33,97",57.0,"49,01",56.0,"29,41",50.0,"61,29",50.0,"38,9"
