Община,Училище,"БЕЛ-УЧ 24""",БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21,БЕЛ-УЧ 20,БЕЛ 20,МАТ-УЧ 20,МАТ 20,БЕЛ-УЧ 19,БЕЛ 19,МАТ-УЧ 19,МАТ 19
ГАБРОВО,Основно училище Свети Свети Кирил и Методий,78.0,60.92,79.0,48.15,91.0,59.16,89.0,33.4,71.0,"56,88",71.0,"35,2",78.0,"61,16",78.0,"40,44",104.0,"60,50",104.0,"37,52",71.0,"62,87",71.0,"33,11"
ГАБРОВО,Основно училище Христо Ботев,42.0,45.68,42.0,30.29,29.0,46.69,29.0,29.17,19.0,"49,16",19.0,"22,24",42.0,"50,51",42.0,"29,22",29.0,"46,48",29.0,"24,26",22.0,"44,84",22.0,"15,86"
ГАБРОВО,СУ Отец Паисий,51.0,51.49,51.0,31.93,44.0,50.56,44.0,27.12,40.0,"48,14",41.0,"25,28",46.0,"48,67",46.0,"27,21",31.0,"41,31",31.0,"18,05",46.0,"44,07",44.0,"22,26"
ГАБРОВО,СУ Райчо Каролев,73.0,58.88,73.0,34.65,70.0,61.24,70.0,29.24,76.0,"53,16",77.0,"30,08",68.0,"62,94",68.0,"31,44",76.0,"60,07",76.0,"35,07",85.0,"62,92",85.0,"27,22"
ГАБРОВО,Природоматематическа гимназия Академик Иван Гюзелев,27.0,80.54,27.0,80.69,29.0,83.93,29.0,72.66,52.0,"80,01",52.0,"62,64",28.0,"78,59",28.0,"81,02",52.0,"77,26",52.0,"72,42",52.0,"76,64",52.0,"71,08"
ДРЯНОВО,СУ Максим Райкович,43.0,49.33,43.0,30.06,45.0,36.49,44.0,23.06,56.0,"43,24",56.0,"19,84",44.0,"47,53",44.0,"25,49",51.0,"45,61",51.0,"29,50",47.0,"51,02",47.0,"28,05"
СЕВЛИЕВО,Основно училище Христо Ботев,17.0,32.06,16.0,20.56,19.0,32.71,17.0,13.47,13.0,27,13.0,"12,77",14.0,"28,57",14.0,"14,43",33.0,"23,42",36.0,"13,78",19.0,"22,21",17.0,"15,43"
СЕВЛИЕВО,Основно училище Стефан Пешев,88.0,59.88,88.0,37.46,67.0,56.4,67.0,28.66,84.0,"58,29",84.0,"32,51",87.0,"56,12",87.0,"30,07",83.0,"53,69",83.0,"34,02",105.0,"56,82",105.0,"29,91"
СЕВЛИЕВО,Основно училище Христо Ботев,8.0,21.56,7.0,12.29,5.0,16.2,5.0,11.2,3.0,"32,17",3.0,"11,67",8.0,"22,88",8.0,"11,25",7.0,"20,86",7.0,"11,43",13.0,"18,46",14.0,"12,82"
СЕВЛИЕВО,Основно училище Св Св Кирил и Методий,13.0,32.35,12.0,20.71,14.0,18.61,14.0,14.07,17.0,"18,03",17.0,"13,79",18.0,"24,56",18.0,"14,54",21.0,"11,79",21.0,"12,38",14.0,"12,57",14.0,"12,36"
СЕВЛИЕВО,Основно училище Свети Свети Кирил и Методий,13.0,25.38,13.0,25.92,13.0,26.69,14.0,14.93,16.0,"13,78",16.0,"12,69",11.0,"15,95",11.0,"9,91",6.0,"23,83",6.0,"28,50",11.0,"16,77",11.0,"12,64"
СЕВЛИЕВО,Основно училище Свети Солунски братя,5.0,34.9,5.0,22.6,5.0,29.9,5.0,13.9,2.0,31,2.0,10,9.0,"47,39",9.0,"16,78",4.0,"48,50",4.0,"9,75",6.0,"45,67",6.0,"12,5"
СЕВЛИЕВО,Основно училище Св Св Кирил и Методий,4.0,21.25,4.0,21.75,7.0,23.07,6.0,20.08,12.0,"31,17",12.0,"9,63",6.0,"25,25",6.0,"16,54",9.0,"27,06",9.0,"15,83",11.0,"23,41",11.0,"17,09"
СЕВЛИЕВО,ОУ Ем Станев -С Ряховците,,,,,,,,,,,,,,,,,,,,,9.0,"35,39",9.0,"22,47"
СЕВЛИЕВО,Основно училище Васил Левски,17.0,25.5,17.0,17.59,15.0,20.83,15.0,12.03,16.0,"24,84",16.0,"13,23",14.0,"27,71",14.0,"11,07",21.0,"13,12",22.0,"16,82",14.0,"13,21",15.0,"17,3"
СЕВЛИЕВО,СУ Васил Левски,94.0,58.13,94.0,39.11,101.0,63.38,101.0,36.02,99.0,"59,16",99.0,"30,98",128.0,"61,42",128.0,"37,64",95.0,"59,65",95.0,"39,09",94.0,"64,77",94.0,"36,93"
ТРЯВНА,Основно училище Професор Пенчо Николов Райков,9.0,44.56,9.0,24.14,6.0,48.33,6.0,25.79,7.0,"63,29",7.0,44,14.0,"51,29",14.0,"24,09",11.0,"62,82",11.0,"30,93",12.0,"64,96",12.0,"25,4"
ТРЯВНА,Основно училище Васил Левски,8.0,62.0,8.0,36.31,11.0,64.55,10.0,32.7,9.0,"62,22",9.0,"27,86",11.0,"56,86",11.0,"29,2",5.0,"38,20",5.0,"17,40",6.0,"60,58",6.0,"25,18"
ТРЯВНА,СУ Петко Рачев Славейков,34.0,57.44,34.0,36.21,44.0,57.1,44.0,24.27,45.0,"55,19",45.0,"29,46",46.0,"55,4",46.0,"29,45",46.0,"54,24",46.0,"31,43",36.0,"60,36",36.0,"26,76"
ДОБРИЧ,ОУ Йордан Йовков,17.0,13.94,14.0,18.14,21.0,18.45,21.0,11.7,13.0,"12,15",13.0,"14,46",20.0,"16,6",20.0,"14,65",15.0,"17,37",15.0,"11,33",17.0,"25,97",18.0,"15,42"
ДОБРИЧ,Основно училище Никола Йонков Вапцаров,12.0,20.75,12.0,18.67,11.0,22.32,10.0,12.45,15.0,"17,87",15.0,"9,2",15.0,"23,87",15.0,"16,65",13.0,"20,08",15.0,"15,85",10.0,"30,4",9.0,"15,08"
ДОБРИЧ,Основно училище Панайот Волов,10.0,16.45,10.0,16.1,11.0,12.91,11.0,10.55,14.0,"13,75",14.0,"10,71",14.0,"23,43",14.0,"26,07",19.0,"10,74",19.0,"20,32",15.0,"29,1",15.0,"26,72"
ДОБРИЧ,Основно училище Стефан Караджа,19.0,54.26,19.0,30.51,25.0,46.62,25.0,26.84,29.0,"41,74",29.0,"23,9",24.0,"49,71",24.0,"29,65",26.0,"36,19",26.0,"24,00",23.0,"48,63",23.0,"19,93"
ДОБРИЧ,Основно училище Хан Аспарух,41.0,70.07,41.0,54.43,53.0,65.47,53.0,40.84,52.0,"59,05",52.0,"38,85",48.0,"65,77",48.0,"52,27",36.0,"64,72",36.0,"37,28",43.0,"68,5",42.0,"34,51"
ДОБРИЧ,Основно училище Христо Смирненски,18.0,21.5,18.0,19.28,38.0,30.07,38.0,16.76,35.0,"18,29",35.0,"14,41",35.0,"34,69",35.0,"19,58",28.0,"27,98",28.0,"15,63",43.0,"42,86",43.0,"20,11"
ДОБРИЧ,Основно училище Христо Ботев,50.0,66.14,50.0,49.36,41.0,66.88,41.0,35.2,61.0,"57,44",59.0,"39,14",58.0,"61,13",58.0,"41,97",61.0,"58,69",61.0,"44,89",49.0,"60,43",49.0,"36,9"
ДОБРИЧ,Спортно училище Георги Стойков Раковски,23.0,20.87,24.0,16.21,23.0,16.54,23.0,13.43,19.0,"27,05",19.0,"14,91",25.0,29,25.0,"16,9",24.0,"31,29",25.0,"15,94",19.0,"29,05",19.0,"18,51"
ДОБРИЧ,СУ Димитър Талев,59.0,50.21,59.0,33.82,64.0,62.73,64.0,31.98,67.0,"60,41",67.0,"35,69",72.0,"58,9",71.0,"32,46",60.0,"54,26",60.0,"30,27",66.0,"56,46",66.0,"28,75"
ДОБРИЧ,СУ Свети Климент Охридски,102.0,61.02,102.0,33.01,97.0,63.46,97.0,30.49,116.0,"60,64",116.0,"35,07",128.0,"61,03",128.0,"34,47",102.0,"58,79",102.0,"38,62",112.0,"56,1",112.0,"26,6"
ДОБРИЧ,СУ Любен Каравелов,37.0,55.91,37.0,37.18,54.0,51.94,54.0,26.03,43.0,"47,81",42.0,"23,01",70.0,"49,67",70.0,"25,2",62.0,"45,23",62.0,"24,40",57.0,"63,74",58.0,"28,96"
ДОБРИЧ,СУ Петко Рачов Славейков,109.0,72.33,109.0,57.31,114.0,74.93,114.0,51.55,99.0,"70,48",99.0,"50,88",106.0,"71,08",106.0,"47,31",96.0,"73,13",96.0,"54,76",111.0,"66,6",111.0,"38,74"
ДОБРИЧ,СУ Свети свети Кирил и Методий,76.0,63.51,76.0,40.26,103.0,66.26,103.0,34.2,98.0,"64,04",98.0,"31,84",93.0,"64,17",93.0,"39,58",97.0,"59,51",97.0,"36,83",80.0,"62,21",80.0,"32,88"
ДОБРИЧ,Природоматематическа гимназия Иван Вазов,27.0,55.93,27.0,35.52,25.0,62.96,25.0,42.24,22.0,"47,75",22.0,"35,56",26.0,"65,65",26.0,"45,84",29.0,"59,98",29.0,"46,82",28.0,"75,63",28.0,"49,68"
ДОБРИЧ,Основно училище Васил Левски,6.0,34.5,6.0,35.0,6.0,36.83,6.0,34.33,8.0,"38,25",8.0,"37,66",2.0,"27,5",2.0,30,3.0,"15,33",3.0,"10,67",6.0,"13,92",6.0,"17,63"
ДОБРИЧ,Основно училище Васил Левски,5.0,27.0,5.0,29.3,2.0,29.0,2.0,38.5,7.0,"35,79",7.0,"27,57",5.0,"22,3",5.0,"25,6",4.0,"11,50",4.0,"10,25",7.0,"36,79",7.0,24
ДОБРИЧ,ОУ Добри Войников,11.0,18.0,11.0,17.91,10.0,21.85,10.0,12.33,13.0,"21,38",14.0,"12,61",13.0,"18,5",13.0,"15,54",13.0,"12,65",14.0,"12,57",13.0,"38,85",13.0,"35,33"
ДОБРИЧ,СУ Никола Вапцаров,10.0,15.8,10.0,18.13,12.0,15.25,11.0,16.05,15.0,"16,1",14.0,"10,14",15.0,"14,43",15.0,"12,53",22.0,"10,93",22.0,"11,55",16.0,"22,59",16.0,"17,77"
ДОБРИЧ,Основно училище Неофит Рилски,2.0,21.0,2.0,16.25,9.0,32.28,10.0,16.85,8.0,"14,25",8.0,10,5.0,"10,1",5.0,"10,4",8.0,"14,94",8.0,"13,38",2.0,"22,5",2.0,"30,75"
ДОБРИЧ,Основно училище Отец Паисий,10.0,42.0,10.0,19.8,21.0,28.86,21.0,13.8,7.0,"34,5",7.0,"11,29",14.0,"28,25",14.0,"15,79",13.0,"27,31",13.0,"13,46",8.0,"39,19",8.0,"9,81"
ДОБРИЧ,Основно училище Отец Паисий,2.0,54.75,2.0,48.63,3.0,37.33,3.0,23.92,2.0,"12,5",2.0,"13,5",7.0,"25,57",7.0,"15,57",7.0,"24,29",7.0,"21,75",4.0,"30,13",4.0,"37,5"
ДОБРИЧ,ОУ Пейо Крачолов Яворов,4.0,24.25,4.0,13.13,8.0,21.13,8.0,18.47,6.0,"14,5",7.0,"12,14",12.0,"21,25",12.0,"13,5",3.0,"18,33",3.0,"12,33",14.0,"11,39",14.0,"12,71"
ДОБРИЧ,Основно училище Климент Охридски,1.0,18.0,1.0,9.0,5.0,43.7,5.0,32.15,7.0,"38,71",7.0,"20,93",4.0,"40,88",4.0,"14,5",2.0,"18,50",3.0,"20,92",11.0,"52,41",11.0,"44,64"
ДОБРИЧ,Основно училище Свети Свети Кирил и Методий,3.0,25.67,3.0,17.83,1.0,12.0,1.0,11.0,5.0,"11,2",5.0,11,5.0,"24,3",5.0,"16,95",2.0,"37,00",2.0,"20,63",4.0,"38,13",4.0,"14,75"
ДОБРИЧ,Основно училище Св св Кирил и Методий,2.0,29.5,2.0,16.0,2.0,53.75,2.0,15.75,3.0,"49,67",3.0,"10,17",2.0,"16,25",2.0,9,1.0,"34,50",1.0,"9,00",3.0,41,3.0,"11,42"
ДОБРИЧ,Основно училище Стефан Караджа,5.0,6.2,5.0,16.0,10.0,24.35,10.0,19.68,9.0,"15,33",9.0,"12,89",8.0,"41,81",7.0,"21,39",10.0,"15,90",10.0,"19,50",9.0,"36,61",9.0,"28,55"
ДОБРИЧ,Основно училище Христо Ботев,14.0,26.86,13.0,17.37,11.0,27.91,11.0,16.02,15.0,"28,23",15.0,"14,07",8.0,"34,81",8.0,"12,63",19.0,"22,18",19.0,"15,16",11.0,"32,95",11.0,"12,09"
БАЛЧИК,Основно училище Васил Левски,9.0,29.17,9.0,21.44,11.0,31.45,11.0,17.18,8.0,"27,88",8.0,"14,41",8.0,"22,25",8.0,"14,63",7.0,"20,86",7.0,"14,14",8.0,"24,44",8.0,"15,41"
БАЛЧИК,Основно училище Георги Раковски,7.0,36.29,7.0,18.5,9.0,18.67,9.0,14.0,12.0,"23,96",9.0,"13,67",8.0,"28,19",8.0,14,8.0,"35,38",9.0,"15,67",7.0,"35,57",7.0,"21,69"
БАЛЧИК,Основно училище Свети Свети Кирил и Методий,22.0,56.57,22.0,34.24,11.0,65.32,11.0,24.39,16.0,"49,41",16.0,"26,38",24.0,"53,65",24.0,"25,21",20.0,"46,20",20.0,"28,38",18.0,"63,14",18.0,"38,95"
БАЛЧИК,Основно училище Антим,40.0,54.29,40.0,37.35,44.0,64.45,44.0,37.95,50.0,"57,51",49.0,"37,19",39.0,"59,09",39.0,"33,08",44.0,"61,66",44.0,"32,39",43.0,"51,22",43.0,"16,57"
БАЛЧИК,СУ Христо Ботев,13.0,34.85,13.0,23.48,20.0,38.75,21.0,22.4,26.0,"38,65",26.0,19,15.0,"31,8",14.0,"18,14",26.0,"42,56",26.0,"26,46",30.0,"33,62",30.0,"17,14"
БАЛЧИК,СУ Христо Смирненски,21.0,30.0,21.0,21.13,20.0,40.23,20.0,18.71,19.0,"20,63",19.0,"8,74",13.0,"34,23",13.0,"15,44",23.0,"34,48",23.0,"21,84",20.0,"36,75",20.0,"13,51"
ГЕНЕРАЛ ТОШЕВО,Основно училище Йордан Йовков,6.0,14.0,6.0,13.5,11.0,16.18,10.0,11.65,9.0,"13,56",10.0,"11,2",10.0,"12,55",10.0,"14,6",14.0,"11,07",12.0,"10,00",11.0,"15,91",11.0,"16,5"
ГЕНЕРАЛ ТОШЕВО,Основно училище Васил Левски,5.0,13.6,5.0,18.0,3.0,5.33,3.0,14.33,3.0,"11,17",3.0,"14,67",8.0,21,8.0,"22,25",10.0,"9,85",10.0,"26,88",2.0,"31,75",2.0,"21,75"
ГЕНЕРАЛ ТОШЕВО,Основно училище Йордан Йовков,5.0,25.3,4.0,22.88,3.0,30.5,3.0,17.0,3.0,"35,67",3.0,"8,75",7.0,"25,43",7.0,"15,89",4.0,"34,13",4.0,"16,25",3.0,"43,5",4.0,"12,75"
ГЕНЕРАЛ ТОШЕВО,Основно училище Христо Ботев,9.0,18.28,9.0,19.0,3.0,17.5,3.0,11.5,9.0,"33,61",9.0,"12,11",6.0,"32,25",6.0,"19,17",7.0,"28,00",7.0,"12,11",10.0,"19,45",10.0,"10,2"
ГЕНЕРАЛ ТОШЕВО,Основно училище Христо Смирненски,17.0,38.82,17.0,29.63,31.0,32.48,30.0,24.45,32.0,"45,28",29.0,"33,06",19.0,"35,45",17.0,"22,32",33.0,"33,38",34.0,"21,53",20.0,"22,18",18.0,"11,78"
ГЕНЕРАЛ ТОШЕВО,Средно училищe Никола Йонков Вапцаров,38.0,50.78,37.0,33.46,39.0,50.42,39.0,25.3,26.0,"46,71",26.0,"20,93",37.0,"62,01",37.0,"26,33",28.0,"42,71",28.0,"24,03",36.0,"66,28",36.0,"30,89"
КАВАРНА,ОСНОВНО УЧИЛИЩЕ ЙОРДАН ЙОВКОВ,47.0,39.05,45.0,27.16,35.0,44.1,36.0,22.09,28.0,"45,55",28.0,"28,41",46.0,"51,54",46.0,"31,21",31.0,"39,82",31.0,"27,06",46.0,"42,39",45.0,"22,69"
КАВАРНА,СУ Стефан Караджа,33.0,47.47,33.0,28.17,49.0,48.69,49.0,33.31,46.0,"61,25",46.0,"51,91",32.0,"50,39",32.0,"25,41",53.0,"53,95",53.0,"35,88",46.0,"63,93",46.0,"38,08"
КАВАРНА,Основно училище Свети Свети Кирил и Методий,5.0,15.3,5.0,18.8,4.0,25.38,4.0,29.38,6.0,"20,67",6.0,"12,17",6.0,"30,75",6.0,"26,33",2.0,"24,25",2.0,"22,00",5.0,"33,7",5.0,"25,8"
КРУШАРИ,Основно училище Васил Левски,3.0,32.67,3.0,11.33,5.0,26.6,5.0,14.6,1.0,12,1.0,23,2.0,28,2.0,"15,5",4.0,"20,25",4.0,"13,50",5.0,"13,1",5.0,"16,5"
КРУШАРИ,Основно училище Отец Паисий,4.0,15.25,4.0,29.0,7.0,20.0,7.0,15.46,5.0,"20,6",5.0,"12,6",4.0,"25,75",4.0,17,7.0,"18,29",7.0,"12,96",5.0,"18,4",5.0,"10,8"
КРУШАРИ,СУ Христо Смирненски,13.0,16.85,13.0,19.94,17.0,17.82,17.0,12.06,10.0,31,11.0,"11,3",21.0,"17,4",21.0,"12,46",24.0,"18,46",22.0,"13,24",19.0,"24,08",19.0,"15,05"
ТЕРВЕЛ,СУ Йордан Йовков,50.0,39.88,50.0,25.25,49.0,38.42,49.0,22.01,45.0,"40,66",45.0,"26,79",40.0,"42,08",40.0,"25,47",58.0,"44,03",59.0,"27,61",57.0,"49,96",57.0,"37,43"
ТЕРВЕЛ,ОУ Д-р Петър Берон,9.0,27.56,9.0,23.61,5.0,27.6,5.0,14.5,7.0,"29,5",7.0,"12,93",10.0,"32,5",10.0,"15,1",6.0,"17,25",6.0,"16,33",10.0,"43,35",10.0,"20,7"
ТЕРВЕЛ,Основно училище Отец Паисий,10.0,28.65,11.0,23.0,10.0,22.4,10.0,21.83,13.0,"9,77",13.0,"7,77",11.0,"16,82",11.0,"16,18",14.0,"18,00",14.0,"17,29",22.0,"12,73",21.0,"14,49"
ТЕРВЕЛ,Основно училище Паисий Хилендарски,10.0,28.45,9.0,22.22,5.0,16.0,5.0,17.6,17.0,"14,88",17.0,"10,56",13.0,"21,73",13.0,"26,83",10.0,"25,75",10.0,"24,73",11.0,"35,14",13.0,"21,19"
ТЕРВЕЛ,Основно училище Христо Ботев,9.0,34.11,9.0,26.94,10.0,35.2,10.0,22.0,10.0,"24,85",10.0,"14,1",9.0,"32,89",9.0,"37,28",12.0,"33,88",12.0,"26,60",10.0,"32,45",10.0,"14,8"
ТЕРВЕЛ,ОУ Васил Друмев,8.0,28.38,6.0,38.17,5.0,6.6,4.0,11.75,10.0,"13,4",10.0,"10,7",11.0,"18,27",11.0,"29,36",8.0,"17,38",8.0,"22,38",9.0,"16,89",9.0,"12,33"
ШАБЛА,Основно училище Свети Климент Охридски,4.0,49.25,4.0,30.69,7.0,46.57,7.0,27.61,1.0,37,1.0,"22,25",6.0,"56,67",6.0,"31,5",3.0,"45,83",3.0,"32,92",2.0,45,2.0,"30,75"
ШАБЛА,СУ Асен Златаров,21.0,50.17,20.0,28.09,21.0,43.0,21.0,19.58,20.0,"43,95",20.0,"24,4",21.0,"45,79",21.0,"21,85",26.0,"48,85",25.0,"25,36",17.0,"44,85",17.0,"20,47"
ДОБРИЧ,Частно основно училище Мария Монтесори,20.0,56.65,20.0,40.56,15.0,71.87,15.0,47.93,20.0,"66,7",20.0,"42,95",18.0,"70,61",18.0,"43,22",8.0,"66,75",8.0,"43,94",8.0,"57,19",8.0,"31,28"
ДОБРИЧ,Частно СУ с профилирана подготовка по чужди езици и математика Леонардо да Винчи,2.0,72.5,2.0,58.75,11.0,57.36,11.0,37.66,6.0,"65,75",6.0,"44,21",12.0,"59,71",12.0,"50,5",8.0,"57,31",8.0,"39,00",11.0,"62,05",11.0,"29,73"
КЪРДЖАЛИ,СУ Владимир Димитров - Майстора,34.0,43.21,35.0,32.9,41.0,49.54,41.0,27.05,40.0,"38,33",38.0,"23,91",30.0,"48,85",30.0,"36,63",29.0,"33,55",29.0,"26,52",20.0,"47,28",20.0,"40,94"
КЪРДЖАЛИ,СУ Йордан Йовков,86.0,48.37,86.0,35.53,111.0,51.34,111.0,30.64,91.0,"43,13",91.0,"25,09",76.0,"48,7",76.0,"31,77",73.0,"33,29",73.0,"23,86",72.0,"35,75",72.0,"25,51"
КЪРДЖАЛИ,Основно училище Свети Климент Охридски,16.0,34.06,17.0,31.76,23.0,27.35,22.0,16.44,21.0,"35,31",21.0,"24,01",17.0,"38,62",17.0,"22,47",16.0,"51,09",17.0,"50,09",15.0,"56,5",15.0,"39,02"
КЪРДЖАЛИ,СУ Отец Паисий с природоматематическа насоченост,108.0,58.38,108.0,41.31,100.0,58.13,100.0,34.34,120.0,"60,94",120.0,"40,83",123.0,"57,11",123.0,"39,46",121.0,"55,80",121.0,"40,10",126.0,"63,86",126.0,"47,25"
КЪРДЖАЛИ,СУ Петко Рачов Славейков,180.0,50.79,180.0,41.17,181.0,52.35,179.0,28.82,161.0,"60,23",161.0,"33,34",178.0,"51,31",178.0,"36,09",170.0,"48,92",170.0,"36,43",158.0,"59,8",158.0,"45,41"
КЪРДЖАЛИ,Основно училище Васил Левски,21.0,17.69,19.0,23.32,19.0,20.61,19.0,16.0,19.0,"26,45",19.0,"14,09",26.0,"16,75",26.0,"17,36",12.0,"19,71",12.0,"10,46",23.0,"52,33",23.0,"29,71"
КЪРДЖАЛИ,Основно училище Свети Свети Кирил и Методий,58.0,40.79,58.0,24.9,66.0,35.62,66.0,22.73,57.0,"41,75",57.0,"27,41",71.0,"45,34",71.0,30,67.0,"36,22",67.0,"21,52",48.0,"42,8",48.0,"25,14"
КЪРДЖАЛИ,Основно училище Пейо Крачолов Яворов,19.0,8.45,19.0,12.29,23.0,11.7,22.0,14.68,41.0,"13,8",39.0,"15,82",32.0,"16,66",33.0,"16,3",27.0,"16,26",26.0,"18,12",38.0,"18,71",36.0,"28,89"
КЪРДЖАЛИ,Основно училище Христо Ботев,2.0,15.0,2.0,20.5,5.0,16.0,5.0,13.2,1.0,"31,5",1.0,"11,25",7.0,17,7.0,"14,57",4.0,"16,50",4.0,"20,44",,,,
КЪРДЖАЛИ,Основно училище Свети Свети Кирил и Методий,5.0,13.4,5.0,32.6,7.0,32.86,7.0,24.0,6.0,"54,25",6.0,"36,79",7.0,"14,71",7.0,"15,57",5.0,"6,80",5.0,"13,80",10.0,"30,25",10.0,"32,38"
КЪРДЖАЛИ,Основно училище Св св Кирил и Методий,6.0,37.33,6.0,56.67,2.0,57.5,2.0,44.0,1.0,32,1.0,38,10.0,"23,7",10.0,"42,25",6.0,"27,75",6.0,"19,79",10.0,"33,2",10.0,"24,2"
КЪРДЖАЛИ,Основно училище Иван Вазов,6.0,32.0,6.0,49.33,2.0,42.5,2.0,42.0,5.0,"40,5",5.0,"40,2",6.0,"39,08",6.0,"43,33",5.0,"58,80",5.0,"55,60",3.0,43,3.0,"34,33"
КЪРДЖАЛИ,Основно Училище Гео Милев,,,,,7.0,20.07,7.0,38.57,,,,,4.0,"34,38",4.0,"38,94",,,,,5.0,"29,1",5.0,"13,46"
КЪРДЖАЛИ,Основно училище Христо Ботев,,,,,2.0,24.5,2.0,9.5,,,,,6.0,"13,83",6.0,"31,29",2.0,"24,00",2.0,"23,13",5.0,14,5.0,"34,5"
КЪРДЖАЛИ,Основно училище Христо Смирненски,5.0,43.3,5.0,62.5,19.0,47.53,19.0,37.46,8.0,"40,19",8.0,"48,66",12.0,"48,29",12.0,"41,77",11.0,"21,86",11.0,"27,18",,,,
КЪРДЖАЛИ,Основно училище Паисий Хилендарски,7.0,20.57,7.0,26.43,9.0,18.56,9.0,25.78,2.0,"27,5",2.0,26,12.0,"15,71",11.0,"22,55",6.0,"15,33",8.0,"15,63",11.0,"19,32",11.0,"15,95"
КЪРДЖАЛИ,Основно училище Никола Йонков Вапцаров,7.0,29.14,7.0,35.86,9.0,39.94,8.0,38.19,10.0,"42,2",10.0,"43,03",6.0,"45,17",9.0,"25,06",10.0,"30,45",10.0,"33,78",10.0,40,10.0,"48,5"
КЪРДЖАЛИ,ОУ Свети свети Кирил и Методий,8.0,37.44,8.0,51.88,14.0,36.43,13.0,49.81,12.0,"37,75",12.0,"40,85",20.0,"32,08",20.0,"41,15",15.0,"25,13",15.0,"26,90",14.0,"26,39",14.0,"24,73"
КЪРДЖАЛИ,Основно училище Максим Горки,5.0,19.4,5.0,34.0,4.0,17.13,4.0,29.5,2.0,"43,75",2.0,"41,5",3.0,"30,83",3.0,"12,17",1.0,"10,00",1.0,"25,00",2.0,"37,5",2.0,"28,5"
КЪРДЖАЛИ,Основно училище Иван Вазов,2.0,25.75,2.0,22.5,3.0,13.0,3.0,19.33,4.0,"21,5",4.0,"41,25",4.0,"14,25",4.0,"33,63",5.0,"32,10",5.0,"39,75",3.0,"20,33",3.0,"27,58"
АРДИНО,СУ Васил Левски,32.0,48.59,32.0,38.63,44.0,54.13,44.0,26.96,45.0,"51,82",45.0,"29,52",31.0,"51,81",31.0,"31,53",46.0,"55,45",46.0,"36,89",35.0,56,35.0,"41,63"
АРДИНО,Основно училище Христо Смирненски,1.0,74.5,1.0,31.5,6.0,44.5,6.0,19.0,2.0,"54,75",2.0,37,5.0,"41,5",5.0,"17,65",4.0,"28,38",4.0,"14,94",7.0,"62,07",7.0,"37,43"
АРДИНО,Основно училище Антон Семьонович Макаренко,2.0,16.25,2.0,12.5,1.0,11.0,1.0,31.0,,,,,2.0,"31,75",2.0,"26,75",3.0,"29,00",3.0,"23,67",2.0,"53,75",2.0,"29,38"
АРДИНО,Основно училище Св Св Кирил и Методий,2.0,15.0,2.0,31.5,1.0,32.5,1.0,19.0,,,,,3.0,44,3.0,"38,25",4.0,"44,50",4.0,"26,88",4.0,"34,75",4.0,"17,05"
АРДИНО,Основно училище Отец Паисий,3.0,45.83,3.0,21.42,4.0,67.5,4.0,30.63,1.0,19,1.0,8,2.0,"50,5",2.0,"27,25",1.0,"91,00",1.0,"75,75",6.0,"52,75",6.0,"38,22"
АРДИНО,Основно училище Св Св Кирил и Методий,1.0,71.5,1.0,64.5,6.0,64.08,6.0,45.04,4.0,"62,88",4.0,"39,81",5.0,"63,8",5.0,"46,85",2.0,"57,75",2.0,"45,63",7.0,"70,07",7.0,"39,32"
ДЖЕБЕЛ,СУ Христо Ботев,36.0,51.03,36.0,49.45,45.0,38.83,45.0,29.82,48.0,"45,74",48.0,"26,24",47.0,"42,52",47.0,"30,12",33.0,"45,35",33.0,"32,78",52.0,"45,66",52.0,"28,47"
ДЖЕБЕЛ,Основно училище Христо Смирненски,1.0,45.5,1.0,38.0,6.0,29.58,6.0,38.08,,,,,5.0,"23,7",5.0,"19,6",3.0,"24,50",3.0,"17,33",8.0,"40,38",8.0,"31,56"
ДЖЕБЕЛ,Основно училище Васил Левски,1.0,24.0,1.0,46.0,2.0,58.25,2.0,54.13,3.0,"26,67",3.0,33,1.0,41,1.0,"29,5",3.0,"20,33",3.0,"7,92",3.0,"16,33",3.0,34
ДЖЕБЕЛ,СУ Паисий Хилендарски,4.0,56.25,4.0,48.38,5.0,76.8,5.0,36.4,10.0,"53,65",10.0,"11,35",10.0,"61,5",10.0,"41,45",5.0,"56,50",5.0,"34,25",8.0,50,8.0,"29,44"
КИРКОВО,СУ Отец Паисий,17.0,65.12,17.0,29.22,29.0,49.38,29.0,30.63,23.0,"41,5",23.0,"24,04",18.0,"70,03",18.0,33,19.0,"45,68",19.0,"39,87",12.0,"56,25",12.0,"26,06"
КИРКОВО,СУ Никола Йонков Вапцаров,41.0,49.48,41.0,45.71,36.0,29.89,36.0,31.81,43.0,"32,36",43.0,"34,05",45.0,"39,23",45.0,"33,22",41.0,"46,76",41.0,"39,51",40.0,"35,19",40.0,"31,26"
КИРКОВО,СУ Христо Ботев,25.0,22.78,25.0,22.4,21.0,34.36,21.0,30.55,26.0,"36,96",26.0,"28,03",25.0,"23,94",25.0,"22,44",25.0,"24,22",25.0,"22,91",30.0,"33,97",30.0,"39,97"
