Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
ГОЦЕ ДЕЛЧЕВ,СУ Св Св Кирил и Методий,23.0,35.93,23.0,28.22,34.0,39.41,34.0,29.1,34.0,"32,62",34.0,"34,35",29.0,"33,17",29.0,"22,34"
ГОЦЕ ДЕЛЧЕВ,ОУ Петър Берон,,,,,,,,,,,,,14.0,"45,43",14.0,"34,21"
ГОЦЕ ДЕЛЧЕВ,Oбединено училище Св Паисий Хилендарски,,,,,,,,,,,,,9.0,"51,33",9.0,"47,44"
РАЗЛОГ,СУ Братя Петър и Иван Каназиреви,52.0,61.48,52.0,43.08,59.0,65.74,59.0,46.58,72.0,"50,18",72.0,"45,26",65.0,"63,38",65.0,"42,88"
ПЕТРИЧ,Профилирана гимназия Пейо Крачолов Яворов,135.0,54.6,134.0,35.84,119.0,52.83,118.0,33.18,128.0,"44,45",128.0,"51,46",125.0,"45,21",125.0,"33,78"
ПЕТРИЧ,СУ Антон Попов,15.0,12.63,16.0,17.37,18.0,20.17,18.0,15.56,11.0,"7,91",12.0,"17,33",14.0,"13,64",14.0,"8,86"
ПЕТРИЧ,СУ Васил Левски,12.0,46.5,12.0,32.42,18.0,33.28,18.0,18.17,18.0,"30,61",18.0,"31,24",16.0,"31,25",16.0,"33,06"
ПЕТРИЧ,СУ Св Паисий Хилендарски,28.0,52.16,28.0,48.27,25.0,49.66,25.0,46.63,30.0,"48,2",29.0,"53,9",21.0,42,21.0,"32,38"
САНДАНСКИ,Профилирана гимназия Яне Сандански,114.0,50.17,110.0,37.03,117.0,45.26,110.0,36.44,82.0,"45,2",82.0,"40,35",104.0,"46,65",104.0,"31,07"
БЕЛИЦА,СУ Св Св Кирил и Методий,46.0,48.52,46.0,58.86,54.0,40.3,55.0,53.63,43.0,"35,12",42.0,"51,2",49.0,"37,55",48.0,"39,79"
БЕЛИЦА,ПГ Никола Йонков Вапцаров,35.0,32.23,34.0,55.99,26.0,40.87,26.0,53.43,35.0,"31,4",35.0,"37,59",20.0,"36,25",20.0,60
КРЕСНА,СУ Св Паисий Хилендарски,16.0,42.47,16.0,19.84,23.0,43.52,22.0,26.48,18.0,"31,78",17.0,"23,81",18.0,"43,94",18.0,"20,22"
БАНСКО,СУ Неофит Рилски,15.0,49.63,15.0,37.43,20.0,64.03,21.0,50.88,24.0,"61,5",24.0,"52,06",20.0,"49,9",20.0,"47,95"
ЯКОРУДА,СУ Свети Свети Кирил и Методий,37.0,31.58,34.0,37.51,21.0,43.17,20.0,28.68,35.0,"29,74",35.0,"36,8",36.0,"34,75",36.0,"33,17"
ЯКОРУДА,ОУ Братя Миладинови,,,,,8.0,26.31,8.0,30.0,16.0,"26,5",16.0,"34,89",,,,
ХАДЖИДИМОВО,СУ Никола Йонков Вапцаров,18.0,38.67,18.0,25.22,29.0,50.83,29.0,54.63,31.0,"33,29",31.0,"29,81",36.0,"32,78",36.0,"23,61"
ХАДЖИДИМОВО,СУ Св Паисий Хилендарски,30.0,53.63,29.0,32.14,23.0,62.8,23.0,43.38,33.0,"50,45",33.0,"51,13",23.0,"48,91",23.0,"32,09"
САНДАНСКИ,Вечерна профилирана гимназия,,,,,,,,,13.0,"12,15",12.0,20,13.0,"20,38",12.0,"17,33"
СТРУМЯНИ,СУ Св Паисий Хилендарски,16.0,13.84,17.0,15.82,8.0,10.38,8.0,11.0,10.0,10,10.0,"18,4",13.0,"13,08",13.0,"14,15"
САТОВЧА,СУ Христо Ботев,24.0,47.96,24.0,41.77,34.0,56.03,33.0,60.33,25.0,"38,32",25.0,"45,9",34.0,"47,41",34.0,"43,47"
САТОВЧА,СУ Свети Климент Охридски,26.0,54.31,26.0,42.6,22.0,46.45,22.0,22.53,17.0,"50,47",17.0,"46,13",35.0,"44,91",35.0,"34,54"
САТОВЧА,СУ Св Св Кирил и Методий,37.0,39.68,37.0,24.96,16.0,45.44,16.0,23.58,25.0,"33,64",25.0,"32,35",34.0,"47,82",34.0,"29,09"
САТОВЧА,ОУ Св Св Кирил и Методий,11.0,37.77,11.0,22.68,11.0,40.0,11.0,39.27,,,,,,,,
САТОВЧА,СУ Христо Смирненски,22.0,45.84,22.0,48.14,29.0,52.07,29.0,54.91,36.0,"45,08",35.0,"55,81",21.0,"47,43",21.0,45
СИМИТЛИ,СУ Св св Кирил и Методий,16.0,24.09,14.0,14.0,18.0,30.56,18.0,14.46,13.0,"23,31",13.0,"23,12",6.0,"26,83",6.0,"15,67"
СИМИТЛИ,ОУ Св Паисий Хилендарски,13.0,38.58,13.0,25.15,12.0,30.5,12.0,20.44,7.0,"31,14",7.0,"11,89",9.0,"31,67",9.0,"15,33"
САНДАНСКИ,Спортно училище,20.0,26.9,20.0,16.88,18.0,31.58,18.0,18.25,23.0,"23,96",23.0,"20,43",16.0,"27,81",16.0,16
АЙТОС,СУ Христо Ботев,51.0,54.6,51.0,34.98,53.0,47.13,53.0,38.82,49.0,"45,65",49.0,"36,71",56.0,"46,68",56.0,"40,11"
АЙТОС,СУ Никола Йонков Вапцаров,78.0,41.46,78.0,38.84,81.0,40.81,81.0,37.28,77.0,"40,65",77.0,"31,85",72.0,"39,1",72.0,"21,5"
АЙТОС,ПГ по селско стопанство Златна нива,46.0,34.65,46.0,43.59,50.0,15.33,48.0,15.28,53.0,"12,75",52.0,"20,46",57.0,"16,37",56.0,"13,64"
БУРГАС,ПГ по компютърно програмиране и иновации,97.0,64.09,97.0,59.26,101.0,68.1,103.0,68.63,98.0,"59,42",98.0,"67,86",95.0,"60,34",95.0,"44,24"
БУРГАС,ОУ Васил Левски - кв Горно Езерово,17.0,22.18,15.0,34.5,12.0,37.92,12.0,46.67,,,,,,,,
БУРГАС,СУ Христо Ботев - кв Черно море,10.0,27.4,7.0,32.57,,,,,,,,,7.0,"16,57",7.0,"12,86"
БУРГАС,ОУ Св Климент Охридски - кв Рудник,12.0,27.21,12.0,23.71,7.0,14.86,8.0,16.0,6.0,"9,33",6.0,30,15.0,"15,4",15.0,"14,93"
БУРГАС,СУ Иван Вазов,48.0,38.34,48.0,18.76,24.0,40.04,24.0,21.53,26.0,"31,69",25.0,"17,58",26.0,"33,04",26.0,"13,35"
БУРГАС,СУ Йордан Йовков,25.0,45.84,24.0,24.67,,,,,,,,,,,,
БУРГАС,СУ Епископ Константин Преславски,72.0,45.22,71.0,21.7,42.0,39.75,36.0,20.56,21.0,"32,95",21.0,"24,46",21.0,"41,05",21.0,"17,29"
БУРГАС,СУ Димчо Дебелянов,23.0,42.89,23.0,22.17,23.0,37.65,23.0,22.5,,,,,,,,
БУРГАС,СУ Добри Чинтулов,25.0,42.06,18.0,16.0,,,,,22.0,"26,91",20.0,"21,4",18.0,"32,83",18.0,"16,44"
БУРГАС,СУ Константин Петканов,39.0,43.09,39.0,23.01,23.0,28.26,20.0,16.73,17.0,"46,06",18.0,"32,06",16.0,26,16.0,"15,5"
БУРГАС,СУ Петко Росен,22.0,25.57,21.0,14.52,11.0,19.95,11.0,13.84,9.0,"18,11",9.0,"14,22",17.0,"15,82",17.0,"14,35"
БУРГАС,СУ Св св Кирил и Методий,74.0,50.61,56.0,22.74,70.0,43.78,54.0,21.22,73.0,"35,49",72.0,"21,38",61.0,"39,46",60.0,"19,7"
БУРГАС,Профилирана гимназия за романски езици Георги Стойков Раковски,185.0,63.48,183.0,35.61,177.0,64.88,177.0,35.69,180.0,"58,49",180.0,"34,23",174.0,"56,71",176.0,"26,77"
БУРГАС,Английска езикова гимназия Гео Милев,158.0,65.53,156.0,39.74,161.0,66.27,154.0,46.6,126.0,"61,49",123.0,"45,66",156.0,"62,04",156.0,"28,49"
БУРГАС,Немска езикова гимназия Гьоте,157.0,69.16,157.0,66.75,158.0,78.47,157.0,63.85,152.0,"69,9",150.0,"66,92",149.0,"70,61",147.0,"42,48"
БУРГАС,Профилирана гимназия за чужди езици Васил Левски,154.0,54.03,131.0,26.25,154.0,56.86,153.0,23.32,158.0,"48,7",154.0,"24,76",148.0,"51,85",143.0,"21,02"
БУРГАС,Профилирана ПМГ Академик Никола Обрешков,154.0,78.61,154.0,86.23,160.0,73.28,160.0,88.53,156.0,"70,07",156.0,"90,31",159.0,"74,69",159.0,"73,71"
БУРГАС,Спортно училище Юрий Гагарин,34.0,34.51,32.0,19.53,43.0,34.07,41.0,22.74,37.0,"26,64",35.0,"23,25",32.0,"29,56",32.0,"15,69"
БУРГАС,ПГ по туризъм Проф д-р Асен Златаров,174.0,43.09,172.0,17.15,186.0,44.99,184.0,18.97,176.0,"36,88",177.0,"17,37",176.0,"40,43",175.0,"18,25"
