Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
СВИЩОВ,СУ Цветан Радославов,22.0,46.02,22.0,25.64,23.0,44.59,23.0,18.09,19.0,"29,68",19.0,"16,61",16.0,"39,31",16.0,"15,38"
СВИЩОВ,СУ Николай Катранов,40.0,61.85,40.0,44.56,48.0,69.94,48.0,46.6,47.0,"58,45",47.0,"33,6",50.0,"55,58",50.0,"27,1"
СВИЩОВ,СУ Димитър Благоев,47.0,44.91,47.0,22.86,56.0,54.79,56.0,37.64,72.0,"45,36",72.0,"34,21",57.0,"47,74",57.0,"29,46"
СВИЩОВ,Професионална държавна търговска гимназия Димитър Хадживасилев,51.0,50.55,50.0,22.05,34.0,47.01,34.0,22.76,24.0,"35,5",24.0,"22,66",16.0,"45,94",16.0,"18,31"
СВИЩОВ,Свищовска професионална гимназия Алеко Константинов,43.0,28.16,43.0,15.6,49.0,32.58,49.0,15.51,51.0,"25,18",50.0,"19,39",62.0,"26,37",62.0,"16,23"
СТРАЖИЦА,СУ Ангел Каралийчев,36.0,35.06,34.0,16.85,32.0,40.14,31.0,20.71,40.0,"26,85",39.0,"20,96",27.0,"30,74",26.0,"18,46"
СТРАЖИЦА,ПГ по транспорт Васил Друмев,18.0,28.53,15.0,38.37,13.0,45.27,13.0,12.62,28.0,"22,75",28.0,"51,31",34.0,"28,24",34.0,"35,41"
СТРАЖИЦА,СУ Св Климент Охридски,19.0,20.18,20.0,17.85,14.0,16.36,14.0,16.57,9.0,"19,89",9.0,"17,33",9.0,"27,11",8.0,"15,5"
СУХИНДОЛ,СУ Св Климент Охридски,6.0,17.92,6.0,12.67,12.0,29.54,12.0,13.33,15.0,"18,4",15.0,"19,02",8.0,25,7.0,"18,29"
ВАРНА,Седмо СУ Найден Геров,49.0,59.73,49.0,37.48,52.0,56.8,51.0,39.75,51.0,"44,2",50.0,"23,41",50.0,"43,02",50.0,"24,7"
ВАРНА,СУ с езиково обучение Ал С Пушкин,105.0,67.39,102.0,45.44,106.0,65.31,103.0,56.59,103.0,"59,93",100.0,"48,46",107.0,"59,93",106.0,"35,86"
ВАРНА,Спортно училище Георги Бенковски,79.0,40.9,75.0,19.63,51.0,41.37,44.0,18.61,65.0,"34,38",67.0,"16,13",53.0,"33,96",52.0,19
ВАРНА,СУ Гео Милев,55.0,55.77,55.0,21.6,53.0,52.82,52.0,22.01,49.0,"44,84",49.0,"23,47",42.0,"42,29",43.0,"16,79"
ВАРНА,СУ Елин Пелин,17.0,30.71,17.0,47.06,23.0,20.46,23.0,48.0,15.0,"12,33",15.0,16,17.0,"19,53",17.0,"15,18"
ВАРНА,СУ Любен Каравелов,21.0,29.33,21.0,17.93,15.0,19.33,15.0,15.73,17.0,"23,24",16.0,"17,59",20.0,"16,3",20.0,"13,4"
ВАРНА,СУ Пейо Крачолов Яворов,22.0,45.7,22.0,18.73,32.0,38.19,31.0,17.71,20.0,"33,35",20.0,"17,56",19.0,"29,89",19.0,"15,21"
ВАРНА,СУ Свети Климент Охридски,,,,,48.0,60.55,49.0,43.17,49.0,"50,88",49.0,"44,53",48.0,"57,69",46.0,"32,87"
ВАРНА,Трета ПМГ Академик Методий Попов,131.0,70.35,131.0,44.11,131.0,68.88,131.0,58.51,132.0,"62,11",132.0,"47,38",134.0,"59,07",133.0,"29,55"
ВАРНА,ІV Езикова гимназия Фредерик Жолио - Кюри,220.0,67.64,216.0,48.24,219.0,70.61,215.0,52.65,215.0,"66,16",214.0,"62,79",212.0,"65,92",211.0,"42,03"
ВАРНА,Гимназия с преподаване на чужди езици Йоан Екзарх,157.0,70.88,158.0,56.46,187.0,73.93,184.0,65.0,184.0,"68,76",183.0,"70,76",182.0,"68,86",177.0,"46,37"
ВАРНА,ПГ по икономика Д-р Иван Богоров,156.0,59.12,154.0,27.81,158.0,58.13,157.0,34.08,156.0,"48,13",155.0,"24,99",140.0,"43,94",138.0,"19,4"
ВАРНА,Първа езикова гимназия,233.0,75.87,232.0,77.47,234.0,75.71,232.0,74.47,237.0,"70,65",238.0,"76,56",237.0,"73,22",236.0,"57,42"
ВАРНА,Математическа гимназия Д-р Петър Берон,210.0,74.37,210.0,90.21,212.0,74.94,213.0,91.06,185.0,"70,18",185.0,"95,32",184.0,"71,55",185.0,"84,43"
ВАРНА,СУ за хуманитарни науки и изкуства Константин Преславски,209.0,62.22,206.0,29.42,231.0,62.21,232.0,36.11,226.0,"50,93",223.0,"28,78",221.0,"53,98",216.0,"23,3"
ВАРНА,Специално училище за ученици с нарушено зрение Проф д-р Иван Шишманов,,,,,,,,,,,,,1.0,63,,
ВАРНА,Професионална техническа гимназия,207.0,49.25,207.0,22.74,212.0,43.34,212.0,24.7,208.0,"38,71",208.0,"24,47",178.0,"38,62",178.0,"19,13"
ВАРНА,ПГ по химични и хранително-вкусови технологии Дм Ив Менделеев,87.0,47.06,39.0,38.71,87.0,43.03,72.0,25.2,49.0,"37,18",40.0,"30,53",40.0,"37,78",39.0,"29,1"
ВАРНА,Частно СУ Аз съм българче,8.0,39.63,2.0,42.0,8.0,42.69,5.0,29.15,,,,,2.0,"50,5",2.0,32
ВАРНА,ПГ по строителство архитектура и геодезия Васил Левски,146.0,44.01,144.0,19.84,126.0,36.92,123.0,18.38,87.0,"30,26",88.0,"21,19",70.0,"33,87",68.0,"17,75"
ВАРНА,Частна Търговска Гимназия Конто Трейд ЕООД,5.0,46.0,5.0,28.1,2.0,53.0,2.0,26.75,,,,,2.0,47,2.0,"45,5"
ВАРНА,Частна профилирана гимназия Антоан дьо Сент-Екзюпери,26.0,58.54,18.0,49.89,26.0,55.35,17.0,43.71,30.0,"55,53",26.0,"54,9",23.0,"58,65",21.0,"37,76"
ВАРНА,Частна езикова гимназия с изучаване на чужди езици Джордж Байрон,7.0,40.14,7.0,17.43,16.0,42.91,16.0,17.89,15.0,"43,73",15.0,"21,9",7.0,"44,14",8.0,"18,5"
АВРЕН,СУ Св Св Кирил и Методий,16.0,23.47,16.0,20.03,22.0,24.45,20.0,14.61,17.0,"27,41",16.0,"20,75",18.0,"23,33",20.0,"11,2"
АКСАКОВО,СУ Свети Климент Охридски,26.0,40.92,26.0,22.04,27.0,46.61,27.0,16.79,26.0,"37,54",26.0,"18,97",20.0,"38,65",20.0,"16,3"
АКСАКОВО,СУ Свети Свети Кирил и Методий,20.0,17.1,20.0,23.8,17.0,14.53,16.0,16.25,16.0,"8,44",16.0,"17,25",19.0,"16,58",16.0,16
АКСАКОВО,ОУ Иван Вазов,16.0,30.84,16.0,28.88,,,,,,,,,,,,
БЕЛОСЛАВ,СУ Св св Кирил и Методий,34.0,46.31,33.0,17.91,42.0,37.21,42.0,20.89,22.0,"37,41",22.0,"21,35",28.0,"38,89",28.0,"20,61"
БЕЛОСЛАВ,ПГ Свети Димитър Солунски,22.0,22.05,24.0,29.06,24.0,21.46,24.0,24.83,35.0,"11,54",35.0,"23,02",26.0,"20,54",25.0,"20,32"
ВАРНА,ПГ по компютърно моделиране и компютърни системи,127.0,59.26,128.0,51.34,127.0,64.57,126.0,53.59,76.0,43,75.0,"28,34",41.0,"44,46",41.0,"25,9"
БЯЛА,ПГ по селско стопанство и туризъм,22.0,25.91,21.0,16.79,15.0,29.63,14.0,15.63,23.0,"20,87",23.0,"18,43",15.0,"22,93",15.0,"13,2"
ВЕТРИНО,СУ Христо Ботев,22.0,40.45,22.0,17.93,20.0,31.5,20.0,18.2,18.0,"41,06",18.0,"22,56",18.0,"39,17",18.0,"14,5"
ВЪЛЧИ ДОЛ,СУ Васил Левски,20.0,39.35,19.0,31.18,31.0,33.58,31.0,38.21,26.0,"29,85",25.0,"21,27",28.0,"36,32",27.0,"25,7"
ВЪЛЧИ ДОЛ,ПГ по земеделие и горско стопанство,20.0,19.83,17.0,29.41,24.0,21.79,24.0,18.65,14.0,19,14.0,"20,29",14.0,"7,71",15.0,16
ВЪЛЧИ ДОЛ,ОУ Васил Левски,8.0,33.06,8.0,35.31,8.0,31.38,8.0,35.84,9.0,"40,89",9.0,"55,61",11.0,"30,64",11.0,"38,55"
ВЪЛЧИ ДОЛ,ОУ Св Иван Рилски,7.0,13.0,6.0,16.0,8.0,10.38,8.0,38.0,7.0,"18,43",7.0,"30,86",6.0,"30,83",7.0,"44,57"
ДЕВНЯ,Среднo училище Васил Левски,36.0,25.14,36.0,15.71,27.0,31.54,27.0,19.69,33.0,"27,09",33.0,"15,27",21.0,"22,86",21.0,"15,67"
ДОЛНИ ЧИФЛИК,СУ Васил Левски,50.0,30.87,49.0,16.47,46.0,39.65,46.0,17.33,44.0,"35,36",44.0,"21,49",42.0,"33,6",42.0,"16,07"
ДОЛНИ ЧИФЛИК,ПГ по селско стопанствo Иван Владимирович Мичурин,58.0,18.56,56.0,31.95,52.0,25.24,52.0,41.38,43.0,"26,07",43.0,"47,45",47.0,"25,32",47.0,"32,68"
ДЪЛГОПОЛ,СУ Свети Климент Охридски,58.0,34.43,57.0,19.8,36.0,26.07,37.0,14.82,41.0,"26,41",41.0,"22,38",44.0,"27,55",42.0,"16,6"
ДЪЛГОПОЛ,СУ Назъм Хикмет,14.0,28.5,14.0,26.64,15.0,37.1,15.0,37.07,13.0,"14,85",11.0,"17,14",18.0,"19,22",17.0,"15,65"
ДЪЛГОПОЛ,ОУ Христо Ботев,13.0,19.77,13.0,24.12,13.0,19.65,14.0,15.45,12.0,"19,67",11.0,"26,18",20.0,"22,75",20.0,"23,2"
ПРОВАДИЯ,СУ Димитър Благоев,43.0,47.17,43.0,26.57,45.0,50.56,45.0,23.77,45.0,"37,62",45.0,"26,74",51.0,"51,8",51.0,"34,2"
ПРОВАДИЯ,ПГ по хотелиерство ресторантьорство и туризъм Цар Симеон Велики,37.0,14.77,36.0,14.92,28.0,16.05,28.0,18.18,41.0,"11,41",40.0,"16,12",31.0,"20,61",31.0,"12,52"
ПРОВАДИЯ,ПГ по селско стопанство Земя,40.0,35.48,39.0,35.53,42.0,18.79,41.0,13.27,37.0,"21,84",40.0,"37,51",35.0,"17,74",32.0,"12,13"
ПРОВАДИЯ,ОУ Св Св Кирил и Методий,10.0,38.1,11.0,42.18,10.0,28.65,11.0,51.27,14.0,31,13.0,"50,46",18.0,"26,33",18.0,"25,67"
СУВОРОВО,СУ Никола Йонков Вапцаров,20.0,45.93,20.0,22.05,25.0,51.14,25.0,27.17,28.0,"42,39",28.0,"29,16",17.0,"42,88",17.0,"18,71"
СУВОРОВО,ПГ по селско стопанство Свети Георги Победоносец,40.0,29.65,36.0,30.18,39.0,25.85,37.0,32.11,32.0,"23,16",32.0,"45,88",34.0,"16,71",35.0,"34,51"
ВАРНА,Варненска търговска гимназия Георги Стойков Раковски,132.0,65.27,131.0,43.48,131.0,61.01,131.0,49.75,133.0,"55,77",132.0,"36,36",157.0,57,156.0,"26,01"
ВАРНА,ПГ по текстил и моден дизайн,83.0,40.95,83.0,17.63,82.0,35.34,82.0,18.44,46.0,"24,09",44.0,"19,68",72.0,"28,14",71.0,"13,73"
ВАРНА,ПГ по горско стопанство и дървообработване Николай Хайтов,70.0,38.42,66.0,35.8,59.0,33.68,59.0,27.09,78.0,"23,76",81.0,"33,39",63.0,"24,9",63.0,"30,46"
ВАРНА,Варненска морска гимназия Свети Николай Чудотворец,127.0,41.88,126.0,20.3,100.0,40.82,98.0,22.82,70.0,"30,57",69.0,"21,93",68.0,"32,13",68.0,"16,6"
ВАРНА,ПГ по електротехника,165.0,40.95,163.0,21.5,151.0,42.5,150.0,25.72,123.0,"36,55",122.0,"25,95",118.0,"40,07",118.0,"23,08"
ВАРНА,ПГ по туризъм Професор д-р Асен Златаров,193.0,55.89,190.0,21.28,189.0,53.9,187.0,21.15,192.0,"44,82",193.0,"25,77",163.0,"47,26",161.0,"18,14"
ВАРНА,СУ Димчо Дебелянов,49.0,50.7,48.0,21.51,53.0,48.05,53.0,21.83,52.0,"45,17",51.0,"20,78",43.0,"37,7",45.0,"17,69"
ВАРНА,СУ Неофит Бозвели,41.0,36.41,41.0,20.23,44.0,32.91,44.0,18.92,31.0,"30,23",35.0,"19,8",21.0,"30,57",21.0,"12,81"
ВАРНА,Частно СУ Мечтатели,,,,,,,,,,,,,3.0,"58,33",3.0,"29,67"
АВРЕН,Частно СУ Юрий Гагарин,,,,,9.0,48.72,9.0,34.42,10.0,"46,1",10.0,"23,95",10.0,"50,6",10.0,27
ВАРНА,Частно СУ Монтесори Варна ООД,2.0,58.5,2.0,29.25,3.0,27.83,3.0,27.42,,,,,,,,
ВИДИН,ППМГ Екзарх Антим I,77.0,61.01,77.0,49.05,77.0,64.29,78.0,43.99,77.0,"51,3",77.0,"45,49",74.0,"56,05",74.0,"40,2"
ДИМОВО,СУ Св св Кирил и Методий,,,,,,,,,10.0,"24,4",10.0,"19,73",7.0,"10,57",7.0,"13,14"
ВИДИН,ПТГ Васил Левски,20.0,19.03,19.0,13.89,29.0,16.72,25.0,13.6,18.0,"17,67",18.0,"17,78",38.0,"15,24",36.0,"14,22"
ВИДИН,ПГТ Михалаки Георгиев,44.0,27.67,41.0,17.29,66.0,32.17,67.0,16.1,48.0,"22,15",48.0,"18,26",59.0,"33,02",59.0,"13,49"
ВИДИН,ПГСС Г М Димитров,12.0,19.5,12.0,17.33,10.0,16.1,10.0,17.2,8.0,"11,5",8.0,21,10.0,"15,1",10.0,"13,2"
БЕЛОГРАДЧИК,СУ Христо Ботев,32.0,39.75,30.0,19.58,27.0,34.41,28.0,20.23,21.0,"28,14",20.0,"16,23",32.0,"31,41",32.0,"14,53"
БРЕГОВО,СУ Св св Кирил и Методий,16.0,40.44,16.0,20.38,12.0,35.75,12.0,18.0,14.0,"28,71",13.0,"20,31",12.0,"35,58",12.0,"15,33"
ДИМОВО,СУ Христо Ботев,9.0,34.11,9.0,15.83,11.0,29.77,11.0,14.55,12.0,"18,92",12.0,"17,33",20.0,"27,1",19.0,"15,63"
КУЛА,СУ Васил Левски,15.0,47.93,15.0,19.73,9.0,32.61,8.0,19.38,12.0,"27,17",11.0,"21,91",16.0,"28,75",15.0,"14,8"
НОВО СЕЛО,СУ Св св Кирил и Методий,12.0,24.33,11.0,26.91,11.0,21.18,10.0,26.0,10.0,"22,9",12.0,"16,33",10.0,"15,9",10.0,"10,4"
РУЖИНЦИ,СУ Никола Йонков Вапцаров,16.0,34.59,15.0,23.3,17.0,24.88,17.0,15.06,16.0,"26,94",16.0,"25,58",13.0,"33,31",13.0,"14,77"
РУЖИНЦИ,СУ Никола Й Вапцаров,19.0,13.32,19.0,14.76,12.0,28.08,10.0,42.4,14.0,28,14.0,26,14.0,"22,14",18.0,"40,89"
ВИДИН,ПГ Проф д-р Асен Златаров,80.0,48.91,79.0,19.69,95.0,49.49,93.0,21.13,65.0,"34,88",65.0,"20,4",79.0,"45,18",78.0,"20,74"
ВИДИН,СУ Цар Симеон Велики,51.0,60.81,51.0,27.18,51.0,65.23,50.0,35.98,73.0,"48,92",73.0,"20,22",67.0,"46,85",67.0,"22,88"
ВИДИН,СУ Св св Кирил и Методий,24.0,40.6,23.0,17.17,23.0,40.85,22.0,18.89,18.0,"24,28",18.0,"20,22",24.0,"33,46",23.0,"14,13"
ВИДИН,СУ Петко Рачов Славейков,24.0,31.06,24.0,17.48,25.0,40.98,25.0,19.56,23.0,"32,04",23.0,"19,25",22.0,"32,45",22.0,"14,73"
ВИДИН,ГПЧЕ Йордан Радичков,80.0,63.14,80.0,30.48,78.0,67.66,74.0,32.2,80.0,"55,54",80.0,"27,81",79.0,"64,81",78.0,"26,54"
ВРАЦА,Профилирана езикова гимназия Йоан Екзарх,82.0,62.49,77.0,28.37,79.0,63.08,78.0,29.8,107.0,"49,05",106.0,"29,04",102.0,"52,86",102.0,"22,2"
БЯЛА СЛАТИНА,ПГ по облекло Елисавета Багряна,27.0,23.54,22.0,40.2,26.0,24.44,25.0,16.86,16.0,"22,94",17.0,"26,74",25.0,"23,24",21.0,"13,71"
ВРАЦА,СУ Козма Тричков,26.0,59.65,26.0,24.54,49.0,57.97,48.0,27.83,24.0,49,24.0,"27,07",22.0,"46,14",20.0,"42,8"
ВРАЦА,ОУ Св Климент Охридски,5.0,11.1,5.0,12.0,9.0,16.17,10.0,16.4,8.0,"15,63",8.0,"16,5",7.0,"13,86",8.0,9
БЯЛА СЛАТИНА,СУ Христо Ботев,14.0,26.29,14.0,26.07,18.0,31.39,18.0,43.58,20.0,"24,25",20.0,"37,2",20.0,"36,85",22.0,"35,5"
ВРАЦА,ОУ Свети свети Кирил и Методий,9.0,31.89,9.0,14.39,9.0,31.44,9.0,20.92,,,,,4.0,"29,5",4.0,20
ВРАЦА,ОУ Христо Ботев,4.0,36.75,4.0,36.0,9.0,21.06,9.0,18.22,8.0,19,8.0,32,,,,
ВРАЦА,Профилирана природо-математическа гимназия Академик Иван Ценов,104.0,69.72,103.0,64.49,105.0,71.25,105.0,59.81,126.0,"63,82",125.0,"59,17",131.0,"70,57",131.0,"55,18"
КОЗЛОДУЙ,СУ Св Св Кирил и Методий,19.0,25.79,19.0,22.29,18.0,25.17,18.0,15.0,19.0,"18,79",20.0,"18,05",17.0,16,17.0,"13,53"
КРИВОДОЛ,ОУ Св св Кирил и Методий,7.0,17.93,7.0,9.14,7.0,16.29,7.0,32.0,7.0,"19,43",7.0,"17,71",8.0,"21,88",8.0,"34,38"
БОРОВАН,ПГ по транспорт Коста Петров,23.0,25.8,18.0,12.31,22.0,34.77,22.0,18.01,12.0,"23,25",12.0,18,28.0,"24,46",25.0,"15,24"
БЯЛА СЛАТИНА,СУ Васил Левски,51.0,40.95,50.0,21.2,39.0,42.58,40.0,24.33,39.0,"35,08",39.0,"17,62",43.0,"45,49",43.0,"28,05"
БЯЛА СЛАТИНА,СУ Христо Ботев,7.0,24.79,6.0,32.0,14.0,30.0,13.0,12.92,9.0,"18,22",8.0,29,10.0,"21,5",11.0,"26,91"
БЯЛА СЛАТИНА,Професионална агротехническа гимназия Никола Йонков Вапцаров,71.0,31.92,73.0,17.63,68.0,38.26,69.0,18.34,58.0,"29,19",58.0,"30,28",66.0,"25,41",65.0,"35,48"
ВРАЦА,СУ Отец Паисий,23.0,35.46,22.0,18.25,19.0,43.29,19.0,18.78,22.0,"37,27",22.0,"19,56",18.0,35,17.0,15
ВРАЦА,СУ Христо Ботев,26.0,67.94,25.0,41.9,24.0,67.75,22.0,28.3,50.0,"55,34",49.0,"23,63",49.0,"60,2",48.0,"22,94"
ВРАЦА,СУ Васил Кънчов,26.0,65.63,26.0,26.37,27.0,64.31,26.0,43.61,22.0,"52,64",23.0,"42,97",23.0,"58,09",22.0,"34,64"
ВРАЦА,Професионална техническа гимназия Н Й Вапцаров,97.0,44.18,96.0,20.43,100.0,41.69,100.0,21.29,100.0,"33,49",100.0,"17,14",94.0,"38,56",94.0,"19,15"
ВРАЦА,ПГ по търговия и ресторантьорство,71.0,37.03,70.0,17.77,63.0,31.44,63.0,19.7,71.0,"27,37",70.0,"18,04",82.0,"25,6",82.0,"14,3"
ВРАЦА,СУ Никола Войводов,26.0,59.65,26.0,23.48,26.0,58.48,25.0,24.9,19.0,"41,05",18.0,"18,42",25.0,"51,04",25.0,"23,36"
ВРАЦА,ПГ Димитраки Хаджитошин,77.0,39.12,76.0,18.03,51.0,35.45,47.0,17.77,10.0,"24,2",10.0,"22,8",20.0,"27,5",20.0,"12,15"
КОЗЛОДУЙ,СУ Христо Ботев,45.0,42.57,45.0,20.58,47.0,43.28,47.0,20.76,39.0,"38,56",39.0,"19,06",42.0,"49,31",43.0,"16,16"
КОЗЛОДУЙ,СУ Св св Кирил и Методий,47.0,62.14,47.0,43.16,45.0,63.61,45.0,42.06,37.0,"52,51",37.0,"44,24",42.0,"61,88",41.0,"45,63"
КОЗЛОДУЙ,ПГ по ядрена енергетика Игор Курчатов,59.0,37.67,57.0,18.38,70.0,31.54,70.0,16.28,52.0,"29,42",52.0,"17,89",58.0,"32,76",57.0,"15,51"
КРИВОДОЛ,СУ Св св Кирил и Методий,19.0,27.0,18.0,13.58,19.0,27.47,19.0,14.95,11.0,"16,73",11.0,"14,23",21.0,"19,62",21.0,"10,9"
МЕЗДРА,СУ Иван Вазов,53.0,50.38,53.0,24.06,50.0,46.81,50.0,23.9,48.0,"41,56",48.0,"37,49",51.0,"49,53",51.0,"40,1"
МЕЗДРА,СУ Свети Климент Охридски,8.0,30.56,8.0,31.19,10.0,32.2,10.0,45.6,12.0,"32,83",12.0,"41,17",12.0,28,12.0,"45,42"
МЕЗДРА,ПГ Алеко Константинов,29.0,36.38,30.0,14.25,18.0,27.64,18.0,17.56,22.0,"19,68",22.0,"19,39",27.0,"27,19",28.0,"14,21"
МЕЗДРА,ПГ Васил Левски,16.0,33.78,16.0,19.0,17.0,24.5,17.0,16.31,9.0,"15,89",8.0,"17,03",14.0,"22,43",14.0,"13,71"
МИЗИЯ,ПГ Васил Левски,21.0,26.5,20.0,17.93,9.0,18.61,8.0,17.5,14.0,"21,14",14.0,"14,96",16.0,"30,13",16.0,"12,31"
ОРЯХОВО,СУ Христо Ботев,27.0,40.87,27.0,37.17,26.0,37.06,26.0,23.73,36.0,"27,81",35.0,"19,31",39.0,"36,15",38.0,"17,92"
РОМАН,СУ Васил Левски,19.0,31.11,19.0,20.76,22.0,26.16,22.0,27.2,24.0,"30,67",23.0,"44,42",22.0,"34,05",22.0,"34,55"
ХАЙРЕДИН,СУ Васил Воденичарски,15.0,31.6,11.0,19.05,17.0,27.82,17.0,17.62,18.0,"21,5",18.0,"17,33",18.0,"29,11",17.0,"14,29"
ВРАЦА,СУ Мито Орозов,,,2.0,12.0,5.0,16.0,4.0,10.0,,,,,,,,
ВРАЦА,Спортно училище Св Климент Охридски,25.0,41.38,24.0,19.83,23.0,39.26,24.0,19.05,19.0,"31,16",19.0,"15,26",22.0,"32,18",22.0,"18,59"
ГАБРОВО,СУ Отец Паисий,18.0,45.78,18.0,21.56,19.0,36.16,16.0,17.78,27.0,"29,44",23.0,"21,41",28.0,"33,68",26.0,"17,5"
ГАБРОВО,СУ Райчо Каролев,,,,,,,,,13.0,"23,08",12.0,"18,08",17.0,"29,65",19.0,"14,58"
ГАБРОВО,НАЦИОНАЛНА АПРИЛОВСКА ГИМНАЗИЯ,127.0,62.93,126.0,33.65,128.0,66.45,128.0,45.0,130.0,"61,15",130.0,"46,72",132.0,"62,14",132.0,"31,88"
ГАБРОВО,Природоматематическа гимназия Академик Иван Гюзелев,103.0,59.95,103.0,54.27,93.0,66.04,93.0,62.85,101.0,"61,23",100.0,"67,64",99.0,"63,72",100.0,"57,04"
ГАБРОВО,ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ Д-р Никола Василиади,129.0,42.88,127.0,22.16,127.0,46.07,127.0,20.85,115.0,"36,18",114.0,"20,85",90.0,"40,14",90.0,"20,73"
ГАБРОВО,ПГ по туризъм Пенчо Семов,74.0,42.95,74.0,17.94,80.0,41.86,79.0,18.24,77.0,32,76.0,"19,49",76.0,"37,47",75.0,"16,75"
ДРЯНОВО,СУ Максим Райкович,12.0,31.96,12.0,16.58,20.0,53.6,20.0,31.98,22.0,"38,32",22.0,"29,22",18.0,41,18.0,16
ДРЯНОВО,ПГ ПО ИКОНОМИКА И ТЕХНИКА РАЧО СТОЯНОВ,20.0,29.53,20.0,17.05,27.0,28.56,25.0,17.6,18.0,"25,17",18.0,"10,92",21.0,"35,29",21.0,"20,19"
СЕВЛИЕВО,СУ Васил Левски,76.0,58.79,75.0,35.69,74.0,63.57,73.0,42.24,74.0,"54,45",74.0,"31,27",72.0,"56,56",72.0,"24,5"
СЕВЛИЕВО,ПГ по транспорт и машиностроене,26.0,12.6,25.0,13.6,27.0,13.72,26.0,14.0,30.0,"11,63",30.0,"16,67",36.0,"13,69",32.0,"13,5"
СЕВЛИЕВО,ПГ по механоелектротехника Ген Иван Бъчваров,88.0,41.22,87.0,19.27,86.0,39.48,85.0,18.57,86.0,"34,1",86.0,"17,69",89.0,"32,94",90.0,"17,19"
СЕВЛИЕВО,ПГ Марин Попов,31.0,28.69,31.0,17.29,25.0,25.18,26.0,20.49,26.0,"19,27",27.0,"17,78",20.0,"19,35",17.0,"13,65"
ТРЯВНА,СУ Петко Рачев Славейков,21.0,52.29,20.0,16.58,27.0,52.5,27.0,25.39,21.0,"50,67",21.0,"23,07",18.0,"40,28",18.0,"21,28"
ДОБРИЧ,ОУ Йордан Йовков,13.0,19.04,13.0,16.62,7.0,12.5,8.0,14.0,13.0,"14,62",13.0,"22,77",17.0,"13,41",17.0,"16,94"
ДОБРИЧ,Спортно училище Георги Стойков Раковски,23.0,26.83,21.0,14.86,18.0,31.28,18.0,19.11,15.0,"21,47",15.0,"18,17",20.0,"23,4",19.0,"14,32"
ДОБРИЧ,СУ Димитър Талев,23.0,55.98,23.0,22.8,23.0,55.85,23.0,24.13,24.0,"50,5",24.0,"26,36",26.0,"52,38",26.0,"18,27"
ДОБРИЧ,СУ Свети Климент Охридски,52.0,60.2,52.0,24.67,49.0,60.04,49.0,27.87,75.0,"48,49",75.0,"24,06",68.0,"48,34",68.0,"18,65"
ДОБРИЧ,СУ Любен Каравелов,23.0,53.67,24.0,22.54,22.0,49.57,22.0,22.4,25.0,"44,16",25.0,"25,14",26.0,"31,5",26.0,"16,85"
ДОБРИЧ,СУ Петко Рачов Славейков,25.0,58.82,25.0,24.46,26.0,48.92,26.0,27.67,26.0,"46,96",26.0,"25,09",26.0,"46,81",25.0,19
ДОБРИЧ,СУ Свети свети Кирил и Методий,26.0,61.94,26.0,27.38,26.0,59.27,26.0,23.83,50.0,"43,88",50.0,"24,32",27.0,"46,56",27.0,"22,85"
ДОБРИЧ,Природоматематическа гимназия Иван Вазов,77.0,62.0,77.0,34.62,76.0,54.68,74.0,39.94,71.0,"44,34",71.0,"40,27",77.0,"56,31",77.0,"44,91"
ДОБРИЧ,Езикова гимназия Гео Милев,99.0,70.19,99.0,40.19,129.0,70.9,129.0,50.51,127.0,"60,47",127.0,"53,4",149.0,"66,71",150.0,"33,39"
ДОБРИЧ,ПГ по техника и строителство Михаил Василиевич Ломоносов,49.0,32.68,49.0,19.62,36.0,35.14,36.0,20.13,16.0,"32,25",16.0,"20,39",21.0,"30,1",21.0,"17,1"
ДОБРИЧ,ПГ по ветеринарна медицина Проф д-р Георги Павлов,68.0,39.38,68.0,18.74,47.0,37.36,47.0,18.52,36.0,"34,03",36.0,"16,74",27.0,"37,52",27.0,"17,3"
ДОБРИЧ,Финансово-стопанска гимназия Васил Левски,79.0,63.29,77.0,33.54,76.0,55.17,76.0,24.02,78.0,"45,35",77.0,"23,21",102.0,"46,53",102.0,"22,12"
ДОБРИЧ,ПГ по аграрно стопанство,60.0,34.46,59.0,20.48,37.0,31.16,36.0,18.19,27.0,"22,52",29.0,"16,85",36.0,"20,47",36.0,"15,06"
ДОБРИЧ,ПГ по туризъм П К Яворов,95.0,38.97,96.0,19.66,86.0,35.8,86.0,17.03,78.0,"25,55",78.0,"14,72",75.0,"28,2",75.0,"16,57"
ДОБРИЧ,ОУ Добри Войников,5.0,12.0,5.0,19.2,7.0,11.43,7.0,16.57,7.0,"13,57",7.0,"12,57",9.0,"8,78",8.0,"12,5"
ДОБРИЧ,СУ Никола Вапцаров,12.0,28.0,12.0,22.75,7.0,14.79,7.0,16.0,12.0,"9,5",11.0,"15,27",5.0,"8,6",5.0,12
ДОБРИЧ,ОУ Пейо Крачолов Яворов,,,,,,,,,2.0,8,3.0,"10,67",,,,
