ГР.БАНСКО,9268,8229,96,943,8666,8229,36,401
С.ГОСТУН,92,80,7,5,101,80,21,0
С.ДОБРИНИЩЕ,3020,2776,24,220,2900,2776,51,73
С.КРЕМЕН,328,271,10,47,296,271,12,13
С.МЕСТА,281,248,16,17,286,248,19,19
С.ОБИДИМ,148,125,12,11,162,125,18,19
С.ОСЕНОВО,123,95,4,24,101,95,5,1
С.ФИЛИПОВО,665,610,1,54,630,610,8,12
С.БАБЯК,855,758,17,80,813,758,24,31
ГР.БЕЛИЦА,3658,3286,31,341,3411,3286,24,101
С.ЗЛАТАРИЦА,159,129,9,21,157,129,23,5
С.ГЬЛЬБОВО,121,104,9,8,120,104,10,6
С.ДАГОНОВО,726,691,6,29,711,691,13,7
С.КРАИЩЕ,2325,2146,71,108,2236,2146,61,29
С.КУЗЬОВО,292,255,27,10,296,255,36,5
С.ЛЮТОВО,249,226,13,10,235,226,7,2
С.ОРЦЕВО,231,204,12,15,228,204,15,9
С.ПАЛАТИК,243,219,12,12,240,219,11,10
С.ГОРНО КРАИЩЕ,1142,1046,49,47,1101,1046,33,22
С.ЧЕРЕШОВО,292,253,23,16,279,253,22,4
С.ИЗГРЕВ,480,450,17,13,527,450,74,3
С.БЕЛО ПОЛЕ,586,559,15,12,607,559,33,15
С.БИСТРИЦА,61,56,3,2,99,56,39,4
ГР.БЛАГОЕВГРАД,77005,70757,914,5334,76937,70757,415,5765
С.БУЧИНО,88,65,16,7,84,65,19,0
С.БЬЛГАРЧЕВО,253,227,16,10,278,227,47,4
С.ГАБРОВО,55,47,8,0,56,47,8,1
С.ГОРНО ХЬРСОВО,91,86,5,0,188,86,102,0
С.ДЕБОЧИЦА,22,20,1,1,42,20,14,8
С.ДЕЛВИНО,27,24,3,0,69,24,45,0
С.ДРЕНКОВО,89,74,14,1,95,74,19,2
С.ДЬБРАВА,98,63,33,2,83,63,20,0
С.ЕЛЕНОВО,132,118,9,5,137,118,19,0
С.ЗЕЛЕНДОЛ,268,195,65,8,228,195,30,3
С.КЛИСУРА,18,14,4,0,20,14,5,1
С.ЛЕШКО,239,227,8,4,242,227,13,2
С.ЛИСИЯ,21,9,3,9,22,9,11,2
С.МАРУЛЕВО,42,31,10,1,66,31,35,0
С.МОЩАНЕЦ,37,32,5,0,51,32,19,0
С.ОБЕЛ,15,11,4,0,20,11,9,0
С.ПАДЕШ,708,652,43,13,719,652,57,10
С.ПОКРОВНИК,812,715,61,36,802,715,84,3
С.РИЛЦИ,808,729,45,34,805,729,63,13
С.СЕЛИЩЕ,271,259,4,8,375,259,111,5
С.ЛОГОДАЖ,253,205,41,7,279,205,72,2
С.ЦЕРОВО,683,653,25,5,662,653,9,0
С.БАНИЧАН,656,595,10,51,650,595,32,23
С.БОРОВО,1216,1095,50,71,1140,1095,31,14
С.БРЕЗНИЦА,3728,3420,31,277,3468,3420,27,21
С.БУКОВО,966,889,7,70,896,889,1,6
С.ГОСПОДИНЦИ,439,419,6,14,447,419,13,15
ГР.ГОЦЕ ДЕЛЧЕВ,22559,20364,197,1998,21158,20364,142,652
С.ДЕЛЧЕВО,82,69,10,3,75,69,6,0
С.ДОБРОТИНО,51,45,5,1,58,45,12,1
С.ДРАГОСТИН,2,1,0,1,1,1,0,0
С.КОРНИЦА,2184,1687,33,464,1726,1687,14,25
