ГР.БАНСКО,9404,8460,95,849,8784,8460,38,286
С.ГОСТУН,103,87,9,7,110,87,22,1
С.ДОБРИНИЩЕ,3077,2887,22,168,3017,2887,47,83
С.КРЕМЕН,352,309,12,31,338,309,15,14
С.МЕСТА,288,248,15,25,287,248,20,19
С.ОБИДИМ,174,148,16,10,184,148,17,19
С.ОСЕНОВО,134,109,2,23,117,109,6,2
С.ФИЛИПОВО,673,620,1,52,639,620,7,12
С.БАБЯК,855,755,20,80,815,755,16,44
ГР.БЕЛИЦА,3623,3291,24,308,3427,3291,21,115
С.ЗЛАТАРИЦА,182,148,14,20,177,148,21,8
С.ГЬЛЬБОВО,136,111,15,10,128,111,13,4
С.ДАГОНОВО,735,703,8,24,727,703,14,10
С.КРАИЩЕ,2231,2088,54,89,2211,2088,81,42
С.КУЗЬОВО,326,295,22,9,328,295,30,3
С.ЛЮТОВО,256,232,14,10,241,232,7,2
С.ОРЦЕВО,231,207,10,14,223,207,9,7
С.ПАЛАТНИК,249,230,10,9,244,230,7,7
С.ГОРНО КРАИЩЕ,1123,1026,57,40,1082,1026,35,21
С.ЧЕРЕШОВО,297,266,15,16,277,266,9,2
С.ИЗГРЕВ,463,436,18,9,534,436,93,5
С.БЕЛО ПОЛЕ,570,545,16,9,602,545,44,13
С.БИСТРИЦА,62,56,4,2,118,56,54,8
ГР.БЛАГОЕВГРАД,77394,71402,1225,4767,77550,71402,281,5867
С.БУЧИНО,105,75,21,9,95,75,20,0
С.БЬЛГАРЧЕВО,247,226,14,7,295,226,67,2
С.ГАБРОВО,68,60,7,1,73,60,12,1
С.ГОРНО ХЬРСОВО,35,34,1,0,206,34,171,1
С.ДЕБОЧИЦА,26,23,2,1,50,23,16,11
С.ДЕЛВИНО,15,13,2,0,79,13,66,0
С.ДРЕНКОВО,86,75,10,1,102,75,23,4
С.ДЬБРАВА,92,67,23,2,93,67,26,0
С.ЕЛЕНОВО,122,113,4,5,139,113,24,2
