ГР.БАНСКО,9247,7590,113,1544,8248,7590,35,623
ГР.ДОБРИНИЩЕ,2863,2444,34,385,2679,2444,63,172
С.ГОСТУН,46,39,3,4,60,39,21,0
С.КРЕМЕН,206,173,6,27,196,173,15,8
С.МЕСТА,242,203,15,24,234,203,17,14
С.ОБИДИМ,96,70,8,18,113,70,17,26
С.ОСЕНОВО,77,60,2,15,67,60,6,1
С.ФИЛИПОВО,679,605,0,74,627,605,7,15
ГР.БЕЛИЦА,3520,3060,68,392,3216,3060,31,125
С.БАБЯК,820,719,26,75,775,719,33,23
С.ГОРНО КРАИЩЕ,1225,1096,56,73,1164,1096,42,26
С.ГЪЛЪБОВО,59,45,5,9,69,45,18,6
С.ДАГОНОВО,777,698,15,64,730,698,21,11
С.ЗЛАТАРИЦА,95,80,1,14,126,80,39,7
С.КРАИЩЕ,2590,2321,101,168,2429,2321,64,44
С.КУЗЬОВО,271,224,28,19,271,224,38,9
С.ЛЮТОВО,233,214,7,12,239,214,24,1
С.ОРЦЕВО,200,168,16,16,198,168,22,8
С.ПАЛАТИК,236,196,21,19,242,196,39,7
С.ЧЕРЕШОВО,302,236,48,18,260,236,21,3
ГР.БЛАГОЕВГРАД,81296,67912,1027,12357,75351,67912,513,6926
С.БЕЛО ПОЛЕ,6588,589,41,5958,661,589,36,36
С.БИСТРИЦА,39,36,2,1,65,36,27,2
С.БУЧИНО,65,42,9,14,59,42,16,1
С.БЪЛГАРЧЕВО,254,219,20,15,304,219,80,5
С.ГАБРОВО,20,15,5,0,22,15,6,1
С.ГОРНО ХЪРСОВО,78,64,11,3,140,64,75,1
С.ДЕБОЧИЦА,19,10,8,1,22,10,8,4
С.ДЕЛВИНО,32,26,6,0,56,26,30,0
С.ДРЕНКОВО,83,52,29,2,59,52,7,0
С.ДЪБРАВА,68,39,27,2,58,39,17,2
С.ЕЛЕНОВО,394,163,9,222,180,163,10,7
С.ЗЕЛЕН ДОЛ,218,172,30,16,216,172,42,2
С.ИЗГРЕВ,672,463,47,162,549,463,71,15
С.КЛИСУРА,26,12,4,10,19,12,7,0
С.ЛЕШКО,745,153,20,572,254,153,98,3
С.ЛИСИЯ,11,4,0,7,10,4,5,1
С.ЛОГОДАЖ,1784,195,26,1563,330,195,134,1
С.МАРУЛЕВО,38,23,4,11,52,23,29,0
С.МОЩАНЕЦ,28,23,5,0,50,23,27,0
С.ОБЕЛ,43,24,5,14,37,24,13,0
С.ПАДЕШ,640,553,46,41,639,553,66,20
С.ПОКРОВНИК,1816,784,80,952,889,784,92,13
С.РИЛЦИ,3091,728,117,2246,775,728,29,18
С.СЕЛИЩЕ,282,209,11,62,373,209,157,7
С.ЦЕРОВО,724,685,16,23,698,685,10,3
ГР.ГОЦЕ ДЕЛЧЕВ,22177,19449,135,2593,20473,19449,187,837
С.БАНИЧАН,612,515,19,78,577,515,22,40
С.БОРОВО,1206,989,78,139,1040,989,20,31
С.БРЕЗНИЦА,3749,3353,35,361,3397,3353,25,19
С.БУКОВО,1065,911,10,144,937,911,3,23
С.ГОСПОДИНЦИ,493,463,10,20,487,463,10,14
С.ДЕЛЧЕВО,52,42,5,5,44,42,2,0
С.ДОБРОТИНО,36,32,3,1,45,32,12,1
С.КОРНИЦА,2283,1556,49,678,1589,1556,11,22
С.ЛЪЖНИЦА,1952,1483,25,444,1532,1483,26,23
С.МУСОМИЩА,2256,2032,42,182,2269,2032,93,144
С.БАЛДЕВО,195,166,4,25,187,166,9,12
С.ГОРНО ДРЯНОВО,1075,985,21,69,1038,985,47,6
С.ГЪРМЕН,2042,1694,39,309,1810,1694,44,72
С.ДЕБРЕН,2514,2221,55,238,2299,2221,52,26
С.ДОЛНО ДРЯНОВО,1323,1197,12,114,1258,1197,30,31
С.ДЪБНИЦА,2250,1500,55,695,1649,1500,49,100
С.КОВАЧЕВИЦА,47,26,1,20,35,26,3,6
С.КРУШЕВО,272,220,15,37,240,220,15,5
С.ЛЕЩЕН,6,4,0,2,10,4,1,5
С.МАРЧЕВО,151,122,8,21,166,122,11,33
С.ОГНЯНОВО,1705,1399,91,215,1514,1399,53,62
С.ОРЕШЕ,290,218,15,57,247,218,5,24
С.ОСИКОВО,576,462,28,86,498,462,27,9
С.РИБНОВО,2962,2403,21,538,2463,2403,38,22
С.СКРЕБАТНО,294,253,9,32,274,253,10,11
С.ХВОСТЯНЕ,1281,526,41,714,577,526,21,30
ГР.КРЕСНА,3765,3424,27,314,3712,3424,20,268
С.ВЛАХИ,4,3,0,1,6,3,2,1
С.ГОРНА БРЕЗНИЦА,568,485,8,75,618,485,13,120
С.ДОЛНА ГРАДЕШНИЦА,667,585,9,73,713,585,4,124
С.ОЩАВА,72,54,0,18,84,54,1,29
С.СЛИВНИЦА,627,566,4,57,637,566,8,63
С.СТАРА КРЕСНА,62,50,0,12,92,50,0,42
ГР.ПЕТРИЧ,38534,30238,334,7962,31289,30238,345,706
С.БАСКАЛЦИ,76,68,5,3,72,68,3,1
С.БЕЛАСИЦА,1192,1043,50,99,1088,1043,35,10
С.БОГОРОДИЦА,18,17,1,0,26,17,8,1
С.БОРОВИЧЕНЕ,62,55,7,0,63,55,6,2
С.ВИШЛЕНЕ,54,50,4,0,55,50,5,0
С.ВОЛНО,21,18,3,0,19,18,1,0
С.ГАБРЕНЕ,876,662,35,179,722,662,41,19
С.ГЕГА,266,236,17,13,254,236,13,5
С.ГЕНЕРАЛ ТОДОРОВ,699,615,25,59,646,615,9,22
С.ГОРЧЕВО,4,4,0,0,5,4,1,0
