С.ГОСТУН,67,61,2,4,83,61,22,0
ГР.ДОБРИНИЩЕ,2917,2605,31,281,2822,2605,57,160
С.КРЕМЕН,268,226,7,35,244,226,12,6
С.МЕСТА,257,223,16,18,261,223,20,18
С.ОБИДИМ,118,94,11,13,137,94,19,24
С.ОСЕНОВО,94,73,2,19,80,73,6,1
С.ФИЛИПОВО,664,599,1,64,619,599,7,13
ГР.БАНСКО,9183,7886,107,1190,8518,7886,34,598
С.ЗЛАТАРИЦА,121,97,7,17,135,97,34,4
С.ГЪЛЪБОВО,89,69,7,13,89,69,15,5
С.ДАГОНОВО,754,690,11,53,718,690,19,9
С.КРАИЩЕ,2459,2239,90,130,2336,2239,67,30
С.КУЗЬОВО,284,241,27,16,280,241,33,6
С.ЛЮТОВО,239,221,8,10,240,221,17,2
С.ОРЦЕВО,218,190,12,16,216,190,19,7
С.ПАЛАТИК,253,224,16,13,257,224,26,7
С.ГОРНО КРАИЩЕ,1214,1096,56,62,1151,1096,35,20
С.ЧЕРЕШОВО,305,250,42,13,276,250,23,3
С.БАБЯК,826,730,19,77,781,730,27,24
ГР.БЕЛИЦА,3583,3193,45,345,3325,3193,25,107
С.ГАБРОВО,35,31,4,0,39,31,7,1
С.ГОРНО ХЪРСОВО,92,79,12,1,155,79,76,0
С.ДЕБОЧИЦА,23,16,6,1,30,16,10,4
С.ДЕЛВИНО,25,19,6,0,49,19,29,1
С.ДРЕНКОВО,98,63,34,1,72,63,8,1
С.ДЪБРАВА,88,48,38,2,64,48,16,0
С.ЕЛЕНОВО,165,150,7,8,162,150,8,4
С.ЗЕЛЕН ДОЛ,270,187,73,10,221,187,31,3
С.КЛИСУРА,41,27,4,10,35,27,8,0
С.ЛЕШКО,204,183,12,9,202,183,18,1
С.ЛИСИЯ,16,7,1,8,16,7,8,1
С.МАРУЛЕВО,36,30,6,0,52,30,21,1
С.МОЩАНЕЦ,30,26,4,0,40,26,14,0
С.ОБЕЛ,40,26,2,12,37,26,11,0
С.ПАДЕШ,691,627,39,25,677,627,39,11
С.ПОКРОВНИК,1252,775,80,397,847,775,65,7
С.РИЛЦИ,1002,744,73,185,787,744,34,9
С.СЕЛИЩЕ,283,246,9,28,423,246,169,8
С.ЛОГОДАЖ,288,197,78,13,258,197,59,2
С.ЦЕРОВО,705,674,24,7,680,674,6,0
С.ИЗГРЕВ,511,445,38,28,497,445,46,6
С.БЕЛО ПОЛЕ,1969,603,20,1346,646,603,31,12
С.БИСТРИЦА,56,51,4,1,84,51,31,2
ГР.БЛАГОЕВГРАД,80069,70279,789,9001,77197,70279,560,6358
С.БУЧИНО,90,62,20,8,79,62,16,1
С.БЪЛГАРЧЕВО,253,227,16,10,309,227,78,4
С.ГОСПОДИНЦИ,475,450,7,18,473,450,9,14
ГР.ГОЦЕ ДЕЛЧЕВ,22252,20143,108,2001,21046,20143,155,748
С.ДЕЛЧЕВО,66,56,7,3,59,56,3,0
С.ДОБРОТИНО,40,35,3,2,48,35,12,1
С.КОРНИЦА,2231,1632,38,561,1665,1632,10,23
С.ЛЪЖНИЦА,1896,1468,20,408,1511,1468,20,23
С.МУСОМИЩА,2295,2114,36,145,2275,2114,62,99
С.БАНИЧАН,628,553,12,63,604,553,20,31
С.БОРОВО,1227,1070,57,100,1098,1070,15,13
С.БРЕЗНИЦА,3737,3411,33,293,3448,3411,21,16
С.БУКОВО,1031,934,9,88,955,934,3,18
С.ГОРНО ДРЯНОВО,1090,1021,24,45,1064,1021,37,6
С.ГЪРМЕН,1982,1704,32,246,1815,1704,36,75
С.ДЕБРЕН,2453,2239,44,170,2306,2239,45,22
