ГР.БАНСКО,9217,7746,109,1362,8453,7746,38,669
ГР.ДОБРИНИЩЕ,2888,2526,34,328,2748,2526,61,161
С.ГОСТУН,58,47,5,6,69,47,22,0
С.КРЕМЕН,233,191,8,34,209,191,12,6
С.МЕСТА,249,212,14,23,245,212,18,15
С.ОБИДИМ,103,82,6,15,123,82,17,24
С.ОСЕНОВО,88,67,2,19,74,67,6,1
С.ФИЛИПОВО,673,604,0,69,623,604,4,15
ГР.БЕЛИЦА,3558,3129,53,376,3274,3129,33,112
С.БАБЯК,826,724,26,76,778,724,31,23
С.ГОРНО КРАИЩЕ,1226,1104,55,67,1167,1104,38,25
С.ГЪЛЪБОВО,79,59,7,13,80,59,15,6
С.ДАГОНОВО,764,688,13,63,718,688,20,10
С.ЗЛАТАРИЦА,109,92,3,14,131,92,35,4
С.КРАИЩЕ,2524,2277,95,152,2376,2277,66,33
С.КУЗЬОВО,269,220,30,19,266,220,37,9
С.ЛЮТОВО,236,220,7,9,241,220,19,2
С.ОРЦЕВО,210,183,12,15,213,183,22,8
С.ПАЛАТИК,245,217,15,13,252,217,28,7
С.ЧЕРЕШОВО,310,244,51,15,270,244,23,3
ГР.БЛАГОЕВГРАД,81236,69125,1087,11024,76571,69125,532,6914
С.БЕЛО ПОЛЕ,3830,609,25,3196,679,609,32,38
С.БИСТРИЦА,47,43,3,1,73,43,28,2
С.БУЧИНО,77,51,17,9,67,51,15,1
С.БЪЛГАРЧЕВО,254,223,17,14,345,223,116,6
С.ГАБРОВО,28,24,4,0,32,24,7,1
С.ГОРНО ХЪРСОВО,84,69,13,2,149,69,79,1
С.ДЕБОЧИЦА,25,14,7,4,26,14,8,4
С.ДЕЛВИНО,33,26,7,0,56,26,30,0
С.ДРЕНКОВО,90,55,34,1,62,55,7,0
С.ДЪБРАВА,74,43,29,2,86,43,43,0
С.ЕЛЕНОВО,172,151,14,7,165,151,9,5
С.ЗЕЛЕН ДОЛ,246,187,49,10,232,187,42,3
С.ИЗГРЕВ,545,465,46,34,539,465,64,10
