ГР.БАНСКО,9754,7711,81,1962,9136,7711,43,1382
ГР.ДОБРИНИЩЕ,2751,2321,34,396,2537,2321,42,174
С.ГОСТУН,22,15,4,3,27,15,9,3
С.КРЕМЕН,127,100,6,21,130,100,17,13
С.МЕСТА,194,142,18,34,190,142,15,33
С.ОБИДИМ,74,55,8,11,80,55,10,15
С.ОСЕНОВО,28,23,0,5,40,23,4,13
С.ФИЛИПОВО,651,577,0,74,603,577,11,15
ГР.БЕЛИЦА,3248,2801,49,398,3046,2801,70,175
С.БАБЯК,722,619,29,74,669,619,26,24
С.ГОРНО КРАИЩЕ,1246,1121,31,94,1175,1121,39,15
С.ГЪЛЪБОВО,30,22,6,2,28,22,6,0
С.ДАГОНОВО,788,693,11,84,728,693,13,22
С.ЗЛАТАРИЦА,83,62,9,12,75,62,13,0
С.КРАИЩЕ,2658,2323,77,258,2454,2323,62,69
С.КУЗЬОВО,252,209,23,20,238,209,26,3
С.ЛЮТОВО,210,184,5,21,203,184,13,6
С.ОРЦЕВО,141,127,13,1,143,127,8,8
С.ПАЛАТИК,214,180,19,15,193,180,10,3
С.ЧЕРЕШОВО,242,206,27,9,219,206,13,0
ГР.БЛАГОЕВГРАД,82221,65177,1747,15297,72731,65177,528,7026
С.БЕЛО ПОЛЕ,14304,540,51,13713,604,540,40,24
С.БИСТРИЦА,628,28,6,594,122,28,91,3
С.БУЧИНО,400,24,8,368,73,24,47,2
С.БЪЛГАРЧЕВО,886,187,27,672,363,187,154,22
С.ГАБРОВО,833,10,6,817,83,10,68,5
С.ГОРНО ХЪРСОВО,606,52,4,550,184,52,130,2
С.ДЕБОЧИЦА,55,5,6,44,14,5,5,4
С.ДЕЛВИНО,623,26,9,588,127,26,96,5
С.ДРЕНКОВО,126,28,14,84,93,28,62,3
С.ДЪБРАВА,640,28,31,581,190,28,156,6
С.ЕЛЕНОВО,572,194,32,346,245,194,28,23
С.ЗЕЛЕНДОЛ,226,159,28,39,213,159,52,2
С.ИЗГРЕВ,799,528,58,213,652,528,110,14
С.КЛИСУРА,18,4,0,14,26,4,21,1
С.ЛЕШКО,2687,107,19,2561,187,107,72,8
С.ЛИСИЯ,8,5,0,3,9,5,3,1
С.ЛОГОДАЖ,7327,135,37,7155,302,135,146,21
С.МАРУЛЕВО,110,17,3,90,59,17,41,1
С.МОЩАНЕЦ,23,20,2,1,64,20,43,1
С.ОБЕЛ,33,12,5,16,43,12,28,3
С.ПАДЕШ,491,383,56,52,503,383,89,31
С.ПОКРОВНИК,3402,761,94,2547,887,761,114,12
С.РИЛЦИ,1401,724,97,580,849,724,89,36
С.СЕЛИЩЕ,305,149,13,143,296,149,133,14
С.ЦЕРОВО,712,648,9,55,672,648,16,8
ГР.ГОЦЕ ДЕЛЧЕВ,21699,18436,178,3085,20064,18436,246,1382
С.БАНИЧАН,561,476,15,70,530,476,30,24
С.БОРОВО,1102,951,53,98,1022,951,33,38
С.БРЕЗНИЦА,3904,3409,48,447,3463,3409,18,36
С.БУКОВО,1120,942,11,167,975,942,7,26
С.ГОСПОДИНЦИ,506,462,9,35,483,462,12,9
С.ДЕЛЧЕВО,29,17,8,4,22,17,4,1
С.ДОБРОТИНО,23,15,7,1,23,15,7,1
С.КОРНИЦА,2363,1608,42,713,1645,1608,13,24
С.ЛЪЖНИЦА,2098,1643,32,423,1676,1643,15,18
С.МОСОМИЩЕ,2115,1808,85,222,2030,1808,103,119
С.ПОПОВИ ЛИВАДИ,1,1,0,0,1,1,0,0
С.БАЛДЕВО,168,142,1,25,162,142,7,13
С.ГОРНО ДРЯНОВО,1053,935,22,96,989,935,32,22
С.ГЪРМЕН,2214,1780,98,336,1911,1780,28,103
С.ДЕБРЕН,2648,2340,57,251,2445,2340,40,65
С.ДОЛНО ДРЯНОВО,1342,1195,18,129,1252,1195,16,41
С.ДЪБНИЦА,2352,1782,23,547,1993,1782,79,132
