С.КРЕМЕН,294,246,9,39,268,246,13,9
С.МЕСТА,255,222,17,16,261,222,20,19
С.ОБИДИМ,130,106,13,11,148,106,19,23
С.ОСЕНОВО,107,85,2,20,91,85,6,0
С.ФИЛИПОВО,660,600,1,59,619,600,8,11
ГР.БАНСКО,9166,8001,104,1061,8567,8001,37,529
С.ГОСТУН,72,68,2,2,90,68,22,0
ГР.ДОБРИНИЩЕ,2949,2653,31,265,2864,2653,54,157
С.КРАИЩЕ,2404,2203,81,120,2303,2203,66,34
С.КУЗЬОВО,292,250,28,14,291,250,36,5
С.ЛЮТОВО,240,221,9,10,238,221,15,2
С.ОРЦЕВО,221,194,13,14,220,194,18,8
С.ПАЛАТИК,247,222,13,12,257,222,26,9
С.ГОРНО КРАИЩЕ,1186,1069,54,63,1124,1069,33,22
С.ЧЕРЕШОВО,306,257,34,15,284,257,23,4
С.БАБЯК,831,735,21,75,789,735,27,27
ГР.БЕЛИЦА,3622,3224,41,357,3340,3224,21,95
С.ЗЛАТАРИЦА,141,118,8,15,149,118,26,5
С.ГЪЛЪБОВО,99,80,9,10,100,80,14,6
С.ДАГОНОВО,742,693,9,40,719,693,15,11
С.ДРЕНКОВО,87,68,18,1,84,68,15,1
С.ДЪБРАВА,93,52,37,4,69,52,17,0
С.ЕЛЕНОВО,162,147,9,6,157,147,10,0
С.ЗЕЛЕН ДОЛ,217,187,23,7,212,187,22,3
С.КЛИСУРА,20,16,4,0,22,16,5,1
С.ЛЕШКО,218,202,10,6,219,202,17,0
С.ЛИСИЯ,16,7,1,8,17,7,9,1
С.МАРУЛЕВО,38,30,8,0,53,30,23,0
С.МОЩАНЕЦ,30,26,4,0,41,26,15,0
С.ОБЕЛ,25,21,4,0,30,21,9,0
С.ПАДЕШ,690,632,41,17,703,632,57,14
С.ПОКРОВНИК,835,728,69,38,812,728,75,9
С.РИЛЦИ,840,728,65,47,786,728,49,9
С.СЕЛИЩЕ,263,249,6,8,353,249,99,5
С.ЛОГОДАЖ,232,184,36,12,247,184,61,2
С.ЦЕРОВО,698,668,24,6,676,668,8,0
С.ИЗГРЕВ,486,427,36,23,488,427,56,5
С.БЕЛО ПОЛЕ,978,578,20,380,619,578,29,12
С.БИСТРИЦА,64,58,5,1,92,58,31,3
ГР.БЛАГОЕВГРАД,78267,70277,747,7243,76764,70277,430,6057
С.БУЧИНО,86,65,15,6,82,65,16,1
С.БЪЛГАРЧЕВО,246,220,15,11,263,220,37,6
С.ГАБРОВО,45,40,5,0,48,40,6,2
С.ГОРНО ХЪРСОВО,89,76,12,1,158,76,82,0
С.ДЕБОЧИЦА,24,18,5,1,32,18,10,4
С.ДЕЛВИНО,25,21,4,0,56,21,35,0
С.ДРАГОСТИН,1,1,0,0,1,1,0,0
С.КОРНИЦА,2205,1651,35,519,1689,1651,12,26
С.ЛЪЖНИЦА,1865,1426,21,418,1458,1426,16,16
С.МУСОМИЩА,2316,2143,34,139,2311,2143,74,94
С.СРЕДНА,7,5,0,2,31,5,26,0
С.БАНИЧАН,631,566,11,54,618,566,25,27
С.БОРОВО,1225,1087,54,84,1117,1087,18,12
С.БРЕЗНИЦА,3722,3406,24,292,3448,3406,24,18
С.БУКОВО,1011,917,6,88,929,917,1,11
С.ГОСПОДИНЦИ,474,451,8,15,471,451,7,13
ГР.ГОЦЕ ДЕЛЧЕВ,22403,20302,154,1947,21166,20302,141,723
С.ДЕЛЧЕВО,73,63,8,2,65,63,2,0
С.ДОБРОТИНО,45,40,3,2,53,40,12,1
С.ДОЛНО ДРЯНОВО,1260,1195,5,60,1246,1195,29,22
С.ДЪБНИЦА,2155,1533,41,581,1669,1533,32,104
С.КОВАЧЕВИЦА,57,33,0,24,42,33,2,7
С.КРУШЕВО,279,232,10,37,249,232,11,6
С.ЛЕЩЕН,7,4,0,3,11,4,1,6
С.МАРЧЕВО,175,145,5,25,165,145,10,10
С.ОГНЯНОВО,1673,1467,66,140,1590,1467,51,72
С.ОРЕШЕ,363,281,12,70,310,281,5,24
С.ОСИКОВО,592,501,17,74,533,501,22,10
С.РИБНОВО,2788,2299,17,472,2340,2299,24,17
С.СКРЕБАТНО,300,277,7,16,291,277,4,10
С.ХВОСТЯНЕ,1193,538,23,632,599,538,16,45
С.БАЛДЕВО,226,201,3,22,217,201,5,11
С.ГОРНО ДРЯНОВО,1097,1032,27,38,1073,1032,30,11
С.ГЪРМЕН,1944,1710,30,204,1835,1710,28,97
С.ДЕБРЕН,2396,2216,39,141,2267,2216,32,19
С.СТАРА КРЕСНА,70,66,0,4,81,66,0,15
С.ОЩАВА,69,60,0,9,79,60,0,19
С.СЛИВНИЦА,657,605,3,49,633,605,8,20
С.ВЛАХИ,8,5,2,1,6,5,0,1
ГР.КРЕСНА,3920,3642,19,259,3788,3642,21,125
С.ГОРНА БРЕЗНИЦА,657,593,7,57,646,593,8,45
С.ДОЛНА ГРАДЕШНИЦА,728,647,9,72,675,647,3,25
С.ДОЛНО СПАНЧЕВО,136,123,2,11,129,123,1,5
С.ДРАГУШ,48,42,3,3,43,42,1,0
С.ДРАНГОВО,543,504,27,12,530,504,23,3
С.ДРЕНОВИЦА,21,19,2,0,20,19,1,0
С.ДРЕНОВО,136,131,4,1,149,131,18,0
С.ЗОЙЧЕНЕ,61,60,1,0,65,60,5,0
С.ИВАНОВО,8,6,1,1,9,6,2,1
С.КАВРАКИРОВО,1552,1488,35,29,1550,1488,47,15
С.КАМЕНА,358,321,16,21,348,321,12,15
С.КАПАТОВО,202,177,1,24,214,177,4,33
С.КЛАДЕНЦИ,47,43,2,2,48,43,4,1
С.КЛЮЧ,1088,953,38,97,987,953,26,8
С.КОЛАРОВО,2208,2031,61,116,2139,2031,71,37
С.КРОМИДОВО,143,127,2,14,160,127,6,27
С.КРЪНДЖИЛИЦА,14,10,4,0,13,10,2,1
С.КУКУРАХЦЕВО,69,68,0,1,75,68,6,1
С.КУЛАТА,873,828,5,40,895,828,21,46
С.КЪРНАЛОВО,1879,1765,44,70,1844,1765,47,32
