ГР.БАНСКО,9663,7694,81,1888,9060,7694,42,1324
ГР.ДОБРИНИЩЕ,2767,2317,34,416,2542,2317,43,182
С.ГОСТУН,24,19,2,3,31,19,9,3
С.КРЕМЕН,130,104,5,21,135,104,17,14
С.МЕСТА,201,150,19,32,199,150,13,36
С.ОБИДИМ,73,52,9,12,82,52,12,18
С.ОСЕНОВО,31,25,0,6,41,25,4,12
С.ФИЛИПОВО,647,577,0,70,601,577,10,14
ГР.БЕЛИЦА,3250,2803,47,400,3017,2803,58,156
С.БАБЯК,730,645,20,65,691,645,23,23
С.ГОРНО КРАИЩЕ,1239,1125,27,87,1172,1125,32,15
С.ГЪЛЪБОВО,33,24,6,3,31,24,7,0
С.ДАГОНОВО,789,697,11,81,727,697,9,21
С.ЗЛАТАРИЦА,86,64,8,14,77,64,13,0
С.КРАИЩЕ,2646,2333,62,251,2461,2333,56,72
С.КУЗЬОВО,254,209,23,22,236,209,25,2
С.ЛЮТОВО,214,189,5,20,207,189,12,6
С.ОРЦЕВО,148,132,12,4,147,132,7,8
С.ПАЛАТИК,214,183,18,13,197,183,11,3
С.ЧЕРЕШОВО,250,210,28,12,224,210,14,0
ГР.БЛАГОЕВГРАД,81984,65220,1765,14999,72808,65220,520,7068
С.БЕЛО ПОЛЕ,13910,550,47,13313,614,550,36,28
С.БИСТРИЦА,625,26,6,593,107,26,79,2
С.БУЧИНО,354,26,8,320,68,26,40,2
С.БЪЛГАРЧЕВО,870,192,25,653,367,192,156,19
С.ГАБРОВО,829,10,6,813,59,10,44,5
С.ГОРНО ХЪРСОВО,596,51,3,542,210,51,155,4
С.ДЕБОЧИЦА,56,8,3,45,19,8,7,4
С.ДЕЛВИНО,620,24,9,587,125,24,95,6
С.ДРЕНКОВО,126,32,12,82,100,32,64,4
С.ДЪБРАВА,639,29,31,579,199,29,164,6
С.ЕЛЕНОВО,569,191,36,342,251,191,25,35
С.ЗЕЛЕНДОЛ,222,157,26,39,216,157,56,3
С.ИЗГРЕВ,793,523,58,212,656,523,116,17
С.КЛИСУРА,17,4,1,12,28,4,23,1
С.ЛЕШКО,2400,106,20,2274,188,106,74,8
С.ЛИСИЯ,8,5,0,3,9,5,3,1
С.ЛОГОДАЖ,6727,139,34,6554,306,139,145,22
С.МАРУЛЕВО,110,14,4,92,62,14,47,1
С.МОЩАНЕЦ,21,19,2,0,66,19,45,2
С.ОБЕЛ,32,12,6,14,45,12,31,2
С.ПАДЕШ,495,387,56,52,507,387,86,34
С.ПОКРОВНИК,3367,759,92,2516,884,759,111,14
С.РИЛЦИ,1440,732,97,611,849,732,83,34
С.СЕЛИЩЕ,305,151,14,140,312,151,146,15
С.ЦЕРОВО,718,653,9,56,681,653,19,9
ГР.ГОЦЕ ДЕЛЧЕВ,21744,18501,170,3073,20052,18501,240,1311
С.БАНИЧАН,563,474,19,70,518,474,23,21
С.БОРОВО,1111,960,53,98,1026,960,32,34
С.БРЕЗНИЦА,3879,3385,47,447,3443,3385,21,37
С.БУКОВО,1113,940,12,161,975,940,7,28
С.ГОСПОДИНЦИ,500,453,12,35,473,453,13,7
С.ДЕЛЧЕВО,31,16,8,7,21,16,4,1
С.ДОБРОТИНО,24,16,7,1,23,16,6,1
С.КОРНИЦА,2346,1607,34,705,1641,1607,11,23
С.ЛЪЖНИЦА,2089,1630,32,427,1665,1630,15,20
С.МОСОМИЩЕ,2125,1827,81,217,2036,1827,103,106
С.БАЛДЕВО,174,148,1,25,165,148,7,10
С.ГОРНО ДРЯНОВО,1043,933,18,92,981,933,31,17
С.ГЪРМЕН,2195,1761,63,371,1887,1761,27,99
С.ДЕБРЕН,2630,2341,48,241,2412,2341,31,40
С.ДОЛНО ДРЯНОВО,1339,1192,17,130,1243,1192,15,36
С.ДЪБНИЦА,2350,1779,22,549,1965,1779,69,117
С.КОВАЧЕВИЦА,50,26,2,22,62,26,4,32
С.КРУШЕВО,247,201,11,35,238,201,11,26
С.ЛЕЩЕН,4,2,1,1,12,2,2,8
С.МАРЧЕВО,131,106,4,21,190,106,34,50
С.ОГНЯНОВО,1734,1451,79,204,1564,1451,36,77
С.ОРЕШЕ,180,139,5,36,216,139,5,72
С.ОСИКОВО,561,472,16,73,507,472,22,13
С.РИБНОВО,3129,2838,19,272,2899,2838,36,25
С.СКРЕБАТНО,262,217,9,36,238,217,4,17
С.ХВОСТЯНЕ,1424,802,36,586,866,802,17,47
ГР.КРЕСНА,3376,2899,45,432,3364,2899,27,438
С.ВЛАХИ,5,2,0,3,10,2,3,5
С.ГОРНА БРЕЗНИЦА,405,326,5,74,540,326,19,195
С.ДОЛНА ГРАДЕШНИЦА,556,461,9,86,570,461,5,104
С.ОЩАВА,40,28,1,11,71,28,8,35
С.СЛИВНИЦА,532,454,13,65,577,454,11,112
С.СТАРА КРЕСНА,36,29,0,7,95,29,0,66
ГР.ПЕТРИЧ,40345,28249,635,11461,29454,28249,374,831
С.БАСКАЛЦИ,52,44,4,4,44,44,0,0
С.БЕЛАСИЦА,1154,909,59,186,977,909,45,23
С.БОГОРОДИЦА,36,5,1,30,9,5,4,0
С.БОРОВИЧЕНЕ,49,38,2,9,44,38,6,0
С.ВИШЛЕНЕ,36,32,3,1,38,32,4,2
С.ВОЛНО,43,7,1,35,8,7,1,0
С.ГАБРЕНЕ,939,585,34,320,687,585,61,41
С.ГЕГА,195,165,14,16,186,165,17,4
С.ГЕНЕРАЛ ТОДОРОВ,647,550,21,76,597,550,15,32
С.ГОРЧЕВО,1,1,0,0,1,1,0,0
С.ДОЛЕНЕ,10,8,0,2,9,8,0,1
С.ДОЛНА КРУШИЦА,154,130,17,7,145,130,12,3
С.ДОЛНА РИБНИЦА,372,262,21,89,289,262,24,3
С.ДОЛНО СПАНЧЕВО,102,61,4,37,93,61,1,31
С.ДРАГУШ,29,27,0,2,34,27,7,0
С.ДРАНГОВО,516,421,38,57,470,421,40,9
С.ДРЕНОВИЦА,10,7,3,0,8,7,1,0
С.ДРЕНОВО,55,46,9,0,60,46,12,2
С.ЗОЙЧЕНЕ,33,30,1,2,33,30,2,1
С.ИВАНОВО,1,1,0,0,2,1,1,0
С.КАВРАКИРОВО,1621,1480,39,102,1552,1480,47,25
С.КАМЕНА,296,230,17,49,254,230,16,8
С.КАПАТОВО,139,114,5,20,167,114,10,43
С.КЛАДЕНЦИ,30,27,0,3,30,27,3,0
С.КЛЮЧ,983,718,40,225,773,718,38,17
С.КОЛАРОВО,2057,1713,58,286,1822,1713,75,34
С.КРОМИДОВО,95,78,1,16,135,78,15,42
С.КРЪНДЖИЛИЦА,4,1,3,0,2,1,0,1
С.КУКУРАХЦЕВО,43,38,4,1,41,38,3,0
С.КУЛАТА,712,607,14,91,674,607,28,39
С.КЪРНАЛОВО,1690,1443,51,196,1541,1443,61,37
С.МАРИКОСТИНОВО,1174,1019,16,139,1172,1019,43,110
С.МАРИНО ПОЛЕ,288,218,5,65,243,218,9,16
С.МЕНДОВО,95,62,10,23,71,62,8,1
С.МИТИНО,401,259,5,137,294,259,23,12
С.МИХНЕВО,996,870,34,92,912,870,34,8
С.НОВО КОНОМЛАДИ,115,87,6,22,127,87,12,28
С.ПРАВО БЪРДО,38,30,7,1,39,30,8,1
С.ПЪРВОМАЙ,3592,3015,118,459,3143,3015,104,24
С.РИБНИК,116,101,5,10,120,101,7,12
С.РУПИТЕ,975,867,21,87,957,867,50,40
С.РЪЖДАК,258,211,10,37,272,211,41,20
С.САМУИЛОВО,867,762,15,90,825,762,49,14
С.СКРЪТ,1430,815,31,584,899,815,53,31
С.СТАРЧЕВО,509,439,14,56,489,439,26,24
С.СТРУМЕШНИЦА,378,288,17,73,301,288,7,6
С.ТОНСКО ДАБЕ,0,0,0,0,8,0,8,0
С.ТОПОЛНИЦА,682,578,37,67,625,578,24,23
С.ЧУРИЛОВО,34,26,7,1,28,26,2,0
С.ЧУРИЧЕНИ,112,98,8,6,109,98,10,1
С.ЧУЧУЛИГОВО,169,142,8,19,212,142,13,57
С.ЯВОРНИЦА,1002,712,41,249,783,712,44,27
С.ЯКОВО,46,40,2,4,63,40,18,5
ГР.РАЗЛОГ,12920,11454,120,1346,12246,11454,138,654
С.БАНЯ,2866,2593,53,220,2817,2593,31,193
С.БАЧЕВО,1552,1394,38,120,1488,1394,33,61
С.ГОДЛЕВО,470,409,12,49,458,409,21,28
С.ГОРНО ДРАГЛИЩЕ,860,767,19,74,813,767,14,32
С.ДОБЪРСКО,553,495,12,46,520,495,10,15
С.ДОЛНО ДРАГЛИЩЕ,594,551,10,33,651,551,32,68
С.ЕЛЕШНИЦА,1271,1117,19,135,1195,1117,4,74
ГР.МЕЛНИК,182,131,29,22,258,131,43,84
ГР.САНДАНСКИ,30166,25028,878,4260,26919,25028,543,1348
С.БЕЛЕВЕХЧЕВО,0,0,0,0,4,0,3,1
С.БЕЛЬОВО,1,0,0,1,0,0,0,0
С.БОЖДОВО,2,2,0,0,5,2,3,0
С.ВИНОГРАДИ,40,29,5,6,38,29,4,5
С.ВИХРЕН,3,0,2,1,0,0,0,0
С.ВРАНЯ,86,67,11,8,87,67,12,8
С.ВЪЛКОВО,407,353,20,34,407,353,40,14
С.ГОЛЕМ ЦАЛИМ,9,6,2,1,13,6,7,0
С.ГОЛЕШОВО,18,13,2,3,34,13,8,13
С.ГОРНА СУШИЦА,16,13,2,1,17,13,3,1
С.ГОРНО СПАНЧЕВО,71,50,4,17,56,50,1,5
С.ДАМЯНИЦА,1248,1103,63,82,1260,1103,73,84
С.ДЕБРЕНЕ,26,20,1,5,34,20,10,4
С.ДЖИГУРОВО,694,583,47,64,702,583,75,44
С.ДОЛЕНИ,4,3,0,1,6,3,1,2
С.ЗЛАТОЛИСТ,7,4,2,1,8,4,0,4
С.ЗОРНИЦА,70,63,1,6,98,63,22,13
С.КАЛИМАНЦИ,152,127,7,18,146,127,6,13
