;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Българска;Турска;Ромска;Друга;Не мога да определя;Не желая да отговоря;Непоказана;
BG33 Североизточен;831953;590289;123505;37000;14645;2347;9107;55060;
VAR Варна;432198;352886;25678;9634;7664;1192;4995;30149;
VAR01 Аврен;8297;5596;770;368;286;98;775;404;
VAR02 Аксаково;19499;16802;190;376;651;24;91;1365;
VAR04 Белослав;9870;8352;820;149;87;10;81;371;
VAR05 Бяла;3006;2299;218;151;155;2;18;163;
VAR06 Варна;319613;276499;8883;1836;5290;766;3191;23148;
VAR08 Ветрино;4508;2957;1052;150;106;20;38;185;
VAR09 Вълчи дол;7608;4627;1438;666;60;59;131;627;
VAR14 Девня;7230;5765;440;426;87;21;70;421;
VAR13 Долни чифлик;15666;9832;3760;467;345;93;147;1022;
VAR16 Дългопол;12208;4899;4944;1823;45;20;35;442;
VAR24 Провадия;18202;11530;1992;2731;127;60;169;1593;
VAR26 Суворово;6491;3728;1171;491;425;19;249;408;
DOB Добрич;150146;109041;18835;10118;2035;265;1039;8813;
DOB03 Балчик;15958;11047;2129;859;568;54;83;1218;
DOB12 Генерал Тошево;11114;7905;1261;1110;258;38;75;467;
DOB15 Добрич-селска;16764;9581;2902;2313;444;20;178;1326;
DOB28 Добрич;73895;62298;5130;1457;461;98;431;4020;
DOB17 Каварна;13308;9077;451;2797;210;25;79;669;
DOB20 Крушари;3146;862;1528;503;7;2;9;235;
DOB27 Тервел;11951;4622;5391;1029;48;18;105;738;
DOB29 Шабла;4010;3649;43;50;39;10;79;140;
TGV Търговище;98144;46455;34729;5980;2828;466;1625;6061;
TGV02 Антоново;4606;1209;2176;957;16;18;19;211;
TGV22 Омуртаг;16144;2226;10387;1526;580;20;236;1169;
TGV23 Опака;5487;994;4331;4;9;5;11;133;
TGV24 Попово;22834;14943;4338;668;942;241;489;1213;
TGV35 Търговище;49073;27083;13497;2825;1281;182;870;3335;
SHU Шумен;151465;81907;44263;11268;2118;424;1448;10037;
SHU23 Велики Преслав;10424;6438;2443;587;307;17;124;508;
SHU07 Венец;6103;225;4852;308;27;65;73;553;
SHU10 Върбица;7724;600;4143;1492;861;12;81;535;
SHU18 Каолиново;10519;446;7571;1389;25;42;81;965;
SHU19 Каспичан;6408;4174;1010;787;69;22;44;302;
SHU21 Никола Козлево;5262;1006;2458;1344;85;16;25;328;
SHU22 Нови пазар;14702;7876;3344;2390;75;41;61;915;
SHU25 Смядово;5502;3427;1195;513;83;16;21;247;
SHU11 Хитрино;5654;589;4231;74;6;12;46;696;
SHU30 Шумен;79167;57126;13016;2384;580;181;892;4988;
BG34 Югоизточен;959176;726498;73667;64085;11154;2623;8445;72704;
BGS Бургас;380286;280388;47286;14893;5992;1369;4436;25922;
BGS01 Айтос;25481;11531;8753;1929;219;84;350;2615;
BGS04 Бургас;196582;172362;5286;1300;2858;400;1943;12433;
BGS08 Камено;9545;7453;349;515;170;15;154;889;
BGS09 Карнобат;20840;15866;1822;1235;353;85;164;1315;
BGS12 Малко Търново;2628;1957;26;441;19;3;12;170;
BGS15 Несебър;23760;18375;848;551;1137;88;460;2301;
BGS17 Поморие;25406;17080;4167;879;548;152;469;2111;
BGS27 Приморско;5618;4575;51;543;77;11;26;335;
BGS18 Руен;26385;1157;21588;2169;48;213;99;1111;
BGS21 Созопол;11984;9001;367;974;161;178;610;693;
