;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Общо;Общо;Работна сила;Работна сила;Работна сила;Заети;Заети;Заети;Безработни;Безработни;Безработни;Лица извън работната сила;Лица извън работната сила;Лица извън работната сила;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Елена;6764;3225;3539;2799;1428;1371;2495;1275;1220;304;153;151;3965;1797;2168;
Златарица;2911;1402;1509;1377;742;635;1052;557;495;325;185;140;1534;660;874;
Лясковец;10216;4838;5378;5172;2692;2480;4795;2471;2324;377;221;156;5044;2146;2898;
Павликени;16609;7921;8688;6951;3800;3151;5938;3222;2716;1013;578;435;9658;4121;5537;
Полски Тръмбеш;9824;4790;5034;3570;2032;1538;2715;1525;1190;855;507;348;6254;2758;3496;
Свищов;24643;11833;12810;10840;5819;5021;9759;5223;4536;1081;596;485;13803;6014;7789;
Стражица;8486;4164;4322;4009;2188;1821;3068;1710;1358;941;478;463;4477;1976;2501;
Сухиндол;1752;844;908;683;378;305;561;305;256;122;73;49;1069;466;603;
Габрово;86868;40752;46116;44330;22842;21488;41158;21074;20084;3172;1768;1404;42538;17910;24628;
Габрово;45960;21400;24560;24103;12321;11782;22496;11461;11035;1607;860;747;21857;9079;12778;
Дряново;6875;3259;3616;3101;1650;1451;2822;1488;1334;279;162;117;3774;1609;2165;
Севлиево;25713;12187;13526;12914;6713;6201;11894;6122;5772;1020;591;429;12799;5474;7325;
Трявна;8320;3906;4414;4212;2158;2054;3946;2003;1943;266;155;111;4108;1748;2360;
Разград;89830;42895;46935;42379;22567;19812;35539;18879;16660;6840;3688;3152;47451;20328;27123;
Завет;7065;3395;3670;2857;1558;1299;2358;1288;1070;499;270;229;4208;1837;2371;
Исперих;16445;7929;8516;7410;4026;3384;5873;3258;2615;1537;768;769;9035;3903;5132;
Кубрат;12527;5961;6566;5681;3034;2647;4197;2200;1997;1484;834;650;6846;2927;3919;
Лозница;6764;3355;3409;2849;1597;1252;2322;1319;1003;527;278;249;3915;1758;2157;
Разград;37772;17725;20047;19871;10340;9531;17902;9247;8655;1969;1093;876;17901;7385;10516;
Самуил;5185;2579;2606;2032;1150;882;1503;873;630;529;277;252;3153;1429;1724;
Цар Калоян;4072;1951;2121;1679;862;817;1384;694;690;295;168;127;2393;1089;1304;
Русе;169660;80183;89477;86582;45231;41351;78336;40748;37588;8246;4483;3763;83078;34952;48126;
Борово;3694;1735;1959;1432;790;642;1126;644;482;306;146;160;2262;945;1317;
Бяла;9229;4402;4827;4036;2159;1877;3232;1724;1508;804;435;369;5193;2243;2950;
Ветово;8672;4188;4484;3626;1983;1643;2811;1572;1239;815;411;404;5046;2205;2841;
Две могили;6258;3085;3173;2627;1467;1160;2121;1188;933;506;279;227;3631;1618;2013;
Иваново;7048;3419;3629;2698;1527;1171;2468;1393;1075;230;134;96;4350;1892;2458;
Русе;123243;57725;65518;67451;34641;32810;62693;31986;30707;4758;2655;2103;55792;23084;32708;
Сливо поле;7555;3654;3901;3087;1737;1350;2693;1522;1171;394;215;179;4468;1917;2551;
Ценово;3961;1975;1986;1625;927;698;1192;719;473;433;208;225;2336;1048;1288;
Силистра;85273;40835;44438;36935;19640;17295;30377;16020;14357;6558;3620;2938;48338;21195;27143;
Алфатар;2044;1026;1018;881;480;401;608;335;273;273;145;128;1163;546;617;
Главиница;7744;3740;4004;2638;1445;1193;1899;1063;836;739;382;357;5106;2295;2811;
Дулово;20505;9892;10613;7752;4123;3629;5742;2997;2745;2010;1126;884;12753;5769;6984;
Кайнарджа;2984;1461;1523;1161;631;530;508;292;216;653;339;314;1823;830;993;
Силистра;37169;17492;19677;18194;9428;8766;16339;8388;7951;1855;1040;815;18975;8064;10911;
