;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Общо;Общо;Работна сила;Работна сила;Работна сила;Заети;Заети;Заети;Безработни;Безработни;Безработни;Лица извън работната сила;Лица извън работната сила;Лица извън работната сила;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Първомай;18902;8949;9953;8316;4465;3851;7242;3855;3387;1074;610;464;10586;4484;6102;
Раковски;21353;10424;10929;11329;5913;5416;10454;5413;5041;875;500;375;10024;4511;5513;
Родопи;28231;13560;14671;14716;7705;7011;13589;7064;6525;1127;641;486;13515;5855;7660;
Садово;12433;6088;6345;5550;3003;2547;4717;2571;2146;833;432;401;6883;3085;3798;
Сопот;7327;3424;3903;3969;2039;1930;3673;1859;1814;296;180;116;3358;1385;1973;
Стамболийски;15184;7207;7977;7608;3995;3613;6704;3502;3202;904;493;411;7576;3212;4364;
Съединение;8114;3962;4152;3605;1929;1676;3205;1713;1492;400;216;184;4509;2033;2476;
Хисаря;9557;4484;5073;4019;2083;1936;3716;1896;1820;303;187;116;5538;2401;3137;
Смолян;85647;40871;44776;42817;22084;20733;38429;19679;18750;4388;2405;1983;42830;18787;24043;
Баните;3115;1440;1675;1242;667;575;1053;547;506;189;120;69;1873;773;1100;
Борино;2304;1119;1185;1176;670;506;917;540;377;259;130;129;1128;449;679;
Девин;8791;4132;4659;4315;2274;2041;3778;1995;1783;537;279;258;4476;1858;2618;
Доспат;6624;3264;3360;3302;1743;1559;3027;1596;1431;275;147;128;3322;1521;1801;
Златоград;8728;4089;4639;3878;1862;2016;3562;1680;1882;316;182;134;4850;2227;2623;
Мадан;8919;4274;4645;4419;2232;2187;3995;2016;1979;424;216;208;4500;2042;2458;
Неделино;4621;2205;2416;2180;1173;1007;1634;911;723;546;262;284;2441;1032;1409;
Рудозем;7527;3687;3840;3765;1907;1858;3513;1770;1743;252;137;115;3762;1780;1982;
Смолян;29650;14104;15546;15942;8180;7762;14586;7408;7178;1356;772;584;13708;5924;7784;
Чепеларе;5368;2557;2811;2598;1376;1222;2364;1216;1148;234;160;74;2770;1181;1589;
Хасково;181592;86835;94757;86435;45221;41214;74899;39081;35818;11536;6140;5396;95157;41614;53543;
Димитровград;38891;18413;20478;17957;9402;8555;16065;8432;7633;1892;970;922;20934;9011;11923;
Ивайловград;4605;2265;2340;1991;1102;889;1608;909;699;383;193;190;2614;1163;1451;
Любимец;7462;3693;3769;3808;2085;1723;2611;1455;1156;1197;630;567;3654;1608;2046;
Маджарово;1311;675;636;479;266;213;379;218;161;100;48;52;832;409;423;
Минерални бани;4851;2416;2435;2416;1320;1096;1766;950;816;650;370;280;2435;1096;1339;
Свиленград;17851;8735;9116;9936;5164;4772;8378;4328;4050;1558;836;722;7915;3571;4344;
Симеоновград;6069;2952;3117;2669;1482;1187;1922;1113;809;747;369;378;3400;1470;1930;
Стамболово;4797;2375;2422;1699;987;712;1323;785;538;376;202;174;3098;1388;1710;
Тополовград;7954;3865;4089;3153;1679;1474;2626;1405;1221;527;274;253;4801;2186;2615;
Харманли;18385;9068;9317;8225;4306;3919;7126;3706;3420;1099;600;499;10160;4762;5398;
Хасково;69416;32378;37038;34102;17428;16674;31095;15780;15315;3007;1648;1359;35314;14950;20364;
