;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Много добро;Добро;Задоволително;Лошо;Много лошо;Не мога да определя;Не желая да отговоря;Непоказано;
Ценово;4350;572;2111;1130;279;56;23;31;148;
Силистра;97770;19320;42443;20159;5715;1036;1012;1702;6383;
Алфатар;2278;344;1024;527;187;32;17;34;113;
Главиница;8864;1484;4171;1971;558;88;62;59;471;
Дулово;24201;4748;11828;3943;1272;207;191;163;1849;
Кайнарджа;3950;1404;1512;562;166;32;16;7;251;
Силистра;41766;8099;16908;9331;2518;489;574;1084;2763;
Ситово;4533;1103;1801;942;295;54;23;37;278;
Тутракан;12178;2138;5199;2883;719;134;129;318;658;
Североизточен;831953;203959;347810;139950;29536;6301;8950;23217;72230;
Варна;432198;117069;169392;68682;13470;3209;5210;14764;40402;
Аврен;8297;2375;3301;1517;288;45;75;169;527;
Аксаково;19499;5065;8309;2873;653;125;181;480;1813;
Белослав;9870;2359;4362;1700;453;90;103;269;534;
Бяла;3006;792;1229;584;102;18;25;38;218;
Варна;319613;90686;121250;48993;8453;2302;4245;12763;30921;
Ветрино;4508;626;1900;1105;409;54;42;107;265;
Вълчи дол;7608;848;3639;1541;427;82;62;125;884;
Девня;7230;1652;3104;1345;257;56;83;123;610;
Долни чифлик;15666;4704;6059;2396;644;89;97;225;1452;
Дългопол;12208;3444;5229;2061;607;110;85;74;598;
Провадия;18202;2912;8365;3365;860;184;151;283;2082;
Суворово;6491;1606;2645;1202;317;54;61;108;498;
Добрич;150146;33803;65004;27654;5650;1130;1497;3604;11804;
Балчик;15958;3270;7364;2625;500;103;154;297;1645;
Генерал Тошево;11114;2285;4966;2325;480;94;111;189;664;
Добрич-селска;16764;3324;7320;3254;813;142;101;175;1635;
Добрич;73895;17272;30709;13997;2795;563;881;2130;5548;
Каварна;13308;3178;5849;2362;417;94;142;376;890;
Крушари;3146;953;1469;316;81;12;10;20;285;
Тервел;11951;2780;5438;1948;400;97;36;333;919;
Шабла;4010;741;1889;827;164;25;62;84;218;
Търговище;98144;18464;47626;17108;3908;671;916;1716;7735;
Антоново;4606;1213;2068;749;228;19;30;32;267;
Омуртаг;16144;1734;9034;2989;677;104;79;168;1359;
Опака;5487;909;3227;903;186;33;34;28;167;
Попово;22834;4801;10235;4252;984;203;278;455;1626;
Търговище;49073;9807;23062;8215;1833;312;495;1033;4316;
Шумен;151465;34623;65788;26506;6508;1291;1327;3133;12289;
Велики Преслав;10424;2440;4508;1970;518;88;87;161;652;
Венец;6103;1572;2290;1161;342;61;24;51;602;
Върбица;7724;2194;3144;1360;351;26;19;19;611;
Каолиново;10519;2696;4883;1377;386;51;17;42;1067;
Каспичан;6408;1289;2835;1288;392;60;46;109;389;
Никола Козлево;5262;1086;2678;763;253;41;18;24;399;
Нови пазар;14702;3204;6784;2531;583;112;86;237;1165;
Смядово;5502;1135;2198;1174;487;95;49;54;310;
Хитрино;5654;679;2745;1013;301;81;37;41;757;
Шумен;79167;18328;33723;13869;2895;676;944;2395;6337;
Югоизточен;959176;225039;407615;155872;29372;6183;11550;28478;95067;
Бургас;380286;90768;166565;58059;10327;2286;4736;13194;34351;
