;процент;процент;процент;процент;процент;процент;процент;процент;процент;
;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на безработица;Коефициенти на безработица;Коефициенти на безработица;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Сухиндол;39.0;44.8;33.6;32.0;36.1;28.2;17.9;19.3;16.1;
Габрово;51.0;56.1;46.6;47.4;51.7;43.6;7.2;7.7;6.5;
Габрово;52.4;57.6;48.0;48.9;53.6;44.9;6.7;7.0;6.3;
Дряново;45.1;50.6;40.1;41.0;45.7;36.9;9.0;9.8;8.1;
Севлиево;50.2;55.1;45.8;46.3;50.2;42.7;7.9;8.8;6.9;
Трявна;50.6;55.2;46.5;47.4;51.3;44.0;6.3;7.2;5.4;
Разград;47.2;52.6;42.2;39.6;44.0;35.5;16.1;16.3;15.9;
Завет;40.4;45.9;35.4;33.4;37.9;29.2;17.5;17.3;17.6;
Исперих;45.1;50.8;39.7;35.7;41.1;30.7;20.7;19.1;22.7;
Кубрат;45.4;50.9;40.3;33.5;36.9;30.4;26.1;27.5;24.6;
Лозница;42.1;47.6;36.7;34.3;39.3;29.4;18.5;17.4;19.9;
Разград;52.6;58.3;47.5;47.4;52.2;43.2;9.9;10.6;9.2;
Самуил;39.2;44.6;33.8;29.0;33.9;24.2;26.0;24.1;28.6;
Цар Калоян;41.2;44.2;38.5;34.0;35.6;32.5;17.6;19.5;15.5;
Русе;51.0;56.4;46.2;46.2;50.8;42.0;9.5;9.9;9.1;
Борово;38.8;45.5;32.8;30.5;37.1;24.6;21.4;18.5;24.9;
Бяла;43.7;49.0;38.9;35.0;39.2;31.2;19.9;20.1;19.7;
Ветово;41.8;47.3;36.6;32.4;37.5;27.6;22.5;20.7;24.6;
Две могили;42.0;47.6;36.6;33.9;38.5;29.4;19.3;19.0;19.6;
Иваново;38.3;44.7;32.3;35.0;40.7;29.6;8.5;8.8;8.2;
Русе;54.7;60.0;50.1;50.9;55.4;46.9;7.1;7.7;6.4;
Сливо поле;40.9;47.5;34.6;35.6;41.7;30.0;12.8;12.4;13.3;
Ценово;41.0;46.9;35.1;30.1;36.4;23.8;26.6;22.4;32.2;
Силистра;43.3;48.1;38.9;35.6;39.2;32.3;17.8;18.4;17.0;
Алфатар;43.1;46.8;39.4;29.7;32.7;26.8;31.0;30.2;31.9;
Главиница;34.1;38.6;29.8;24.5;28.4;20.9;28.0;26.4;29.9;
Дулово;37.8;41.7;34.2;28.0;30.3;25.9;25.9;27.3;24.4;
Кайнарджа;38.9;43.2;34.8;17.0;20.0;14.2;56.2;53.7;59.2;
Силистра;48.9;53.9;44.5;44.0;48.0;40.4;10.2;11.0;9.3;
Ситово;46.0;53.6;38.3;33.2;39.5;26.6;28.0;26.2;30.5;
Тутракан;41.3;47.1;35.9;36.5;41.2;32.2;11.5;12.4;10.3;
Североизточен;52.3;57.4;47.7;46.3;50.6;42.3;11.6;11.9;11.4;
Варна;56.1;60.5;52.0;51.1;54.9;47.6;8.9;9.2;8.6;
Аврен;42.0;46.4;37.6;34.1;37.9;30.4;18.8;18.3;19.3;
Аксаково;51.6;55.7;47.6;46.8;50.4;43.4;9.2;9.5;8.9;
Белослав;55.7;60.3;50.9;50.8;55.7;45.9;8.6;7.6;9.9;
Бяла;54.6;58.2;51.0;45.8;49.4;42.4;16.0;15.2;16.9;
Варна;58.8;63.1;55.0;55.0;58.6;51.7;6.5;7.0;6.1;
Ветрино;49.0;55.8;42.6;37.1;43.8;30.7;24.4;21.5;27.9;
Вълчи дол;45.3;50.1;40.5;31.7;37.0;26.5;29.9;26.1;34.5;
Девня;52.4;58.2;46.7;45.5;51.3;39.7;13.2;11.8;14.8;
Долни чифлик;49.0;55.5;42.9;38.0;42.0;34.2;22.6;24.4;20.3;
Дългопол;44.5;50.3;39.0;30.8;35.6;26.2;30.8;29.1;32.8;
Провадия;43.6;49.1;38.3;38.5;44.0;33.2;11.8;10.6;13.4;
Суворово;50.3;57.1;43.7;42.7;49.6;36.0;15.2;13.2;17.6;
Добрич;48.1;54.0;42.7;41.7;46.8;37.1;13.2;13.4;12.9;
Балчик;46.3;50.4;42.5;40.2;43.2;37.3;13.3;14.2;12.2;
Генерал Тошево;41.4;48.3;35.0;33.7;39.9;28.0;18.6;17.4;20.0;
Добрич-селска;39.0;46.5;31.7;30.9;37.8;24.3;20.7;18.8;23.5;
Добрич;53.4;59.7;47.9;48.7;54.2;43.8;8.9;9.2;8.6;
Каварна;43.6;48.9;38.9;37.8;42.4;33.7;13.3;13.5;13.2;
Крушари;42.6;52.3;32.9;24.3;31.2;17.3;43.1;40.4;47.5;
Тервел;42.8;47.8;37.9;32.2;36.5;28.0;24.7;23.7;26.0;
Шабла;46.4;51.1;41.9;40.9;44.0;37.9;11.8;13.9;9.5;
Търговище;46.6;52.2;41.4;38.5;43.2;34.0;17.4;17.2;17.8;
Антоново;42.2;46.8;37.4;23.4;26.8;19.9;44.5;42.7;46.8;
Омуртаг;39.8;46.0;33.8;31.4;36.6;26.3;21.2;20.4;22.1;
Опака;40.6;45.1;36.1;30.3;34.2;26.3;25.5;24.2;27.1;
Попово;45.6;51.2;40.4;37.3;41.7;33.2;18.2;18.5;17.8;
Търговище;50.5;56.2;45.3;43.8;49.0;39.1;13.2;12.7;13.8;
Шумен;49.9;55.4;44.8;42.3;47.0;37.9;15.2;15.1;15.4;
Велики Преслав;46.9;53.4;40.9;38.7;44.1;33.7;17.5;17.4;17.6;
Венец;36.3;43.4;29.6;29.2;35.6;23.1;19.6;17.9;21.9;
Върбица;39.2;44.5;34.1;24.9;29.2;20.8;36.5;34.4;39.1;
Каолиново;45.1;50.4;39.8;26.0;31.0;21.0;42.3;38.5;47.1;
Каспичан;48.8;54.0;43.9;37.0;41.1;33.1;24.3;24.0;24.6;
Никола Козлево;47.7;54.4;41.1;28.3;34.1;22.7;40.6;37.5;44.7;
Нови пазар;46.3;51.4;41.6;39.8;44.7;35.2;14.1;13.0;15.4;
Смядово;44.5;50.2;39.2;35.9;40.5;31.6;19.3;19.3;19.3;
Хитрино;37.6;45.2;30.0;29.9;37.2;22.7;20.5;17.8;24.5;
Шумен;55.3;60.5;50.5;50.8;55.4;46.7;8.0;8.5;7.5;
Югоизточен;50.9;55.6;46.7;45.1;49.0;41.6;11.4;11.8;10.9;
Бургас;52.5;56.6;48.8;47.2;50.6;44.2;10.1;10.6;9.5;
Айтос;50.4;54.9;46.4;43.4;47.1;40.0;14.0;14.1;13.9;
Бургас;56.8;61.1;53.0;52.8;56.6;49.4;7.0;7.3;6.8;
Камено;46.6;52.5;40.9;39.3;44.6;34.1;15.8;15.1;16.6;
Карнобат;47.6;53.9;42.0;41.3;46.3;36.8;13.3;14.2;12.3;
Малко Търново;39.3;43.6;35.4;33.5;37.0;30.4;14.6;15.1;14.1;
Несебър;53.8;57.5;50.5;49.7;52.3;47.3;7.7;9.1;6.3;
Поморие;50.6;54.3;47.3;44.2;46.2;42.4;12.7;14.9;10.5;
Приморско;50.8;54.7;47.0;46.7;50.4;43.2;8.0;7.9;8.1;
Руен;44.3;47.7;40.9;36.4;38.6;34.2;17.9;19.0;16.5;
Созопол;44.1;46.8;41.5;40.4;42.5;38.4;8.4;9.2;7.5;
Средец;43.9;46.9;40.7;33.8;36.9;30.6;22.9;21.4;24.7;
Сунгурларе;40.8;46.3;35.7;32.0;36.5;27.8;21.6;21.2;22.0;
Царево;50.1;52.5;47.8;42.4;43.6;41.2;15.4;16.9;13.7;
Сливен;46.1;50.8;41.8;38.7;42.2;35.5;16.1;17.0;15.0;
Котел;48.7;53.1;44.5;27.8;30.1;25.5;42.9;43.3;42.6;
Нова Загора;41.9;47.1;37.2;36.3;40.8;32.1;13.5;13.4;13.6;
Сливен;47.8;52.9;43.4;42.0;45.8;38.6;12.2;13.3;10.9;
Твърдица;37.4;38.9;35.9;29.0;29.5;28.5;22.4;24.1;20.6;
Стара Загора;52.4;57.6;47.6;46.7;51.3;42.6;10.8;11.0;10.6;
Братя Даскалови;36.7;41.2;32.3;26.8;30.1;23.6;27.0;27.0;27.1;
Гурково;45.1;50.1;40.4;30.3;34.9;26.0;32.8;30.4;35.7;
Гълъбово;48.7;55.1;42.7;39.0;45.1;33.2;20.0;18.1;22.3;
Казанлък;53.6;59.4;48.3;48.8;53.9;44.3;8.9;9.4;8.4;
Мъглиж;46.7;52.0;41.7;31.0;35.5;26.6;33.7;31.6;36.2;
Николаево;41.2;50.6;32.4;23.5;27.8;19.5;43.0;45.0;39.9;
Опан;36.7;42.5;31.0;28.0;34.0;22.3;23.6;20.0;28.2;
Павел баня;44.6;51.1;38.7;37.2;41.8;33.0;16.6;18.2;14.8;
Раднево;50.6;55.9;45.5;43.8;49.6;38.3;13.4;11.4;15.8;
Стара Загора;55.8;60.5;51.6;51.9;56.2;48.1;6.9;7.1;6.8;
Чирпан;45.1;50.9;39.8;38.4;42.9;34.2;15.0;15.8;14.2;
Ямбол;48.7;54.1;43.7;43.2;48.0;38.7;11.4;11.4;11.5;
Болярово;40.1;46.9;33.8;30.3;34.6;26.4;24.3;26.1;22.0;
Елхово;48.2;52.2;44.2;39.5;43.0;36.2;17.9;17.6;18.2;
Стралджа;39.4;45.9;33.0;32.0;37.3;26.8;18.8;18.9;18.7;
Тунджа;38.4;44.5;32.5;32.7;38.4;27.3;14.7;13.7;16.1;
Ямбол;54.4;59.9;49.6;50.1;55.1;45.6;8.0;7.9;8.1;
Югозападна и Южна централна България;55.5;59.6;51.8;51.1;54.5;48.0;8.0;8.6;7.4;
Югозападен;58.8;62.6;55.5;55.0;58.2;52.2;6.5;7.1;5.9;
Благоевград;50.8;53.5;48.2;44.2;45.7;42.8;13.0;14.6;11.3;
Банско;53.6;57.7;49.8;47.3;50.1;44.8;11.6;13.2;10.0;
Белица;46.8;50.8;43.0;30.3;32.9;27.7;35.3;35.1;35.5;
Благоевград;56.3;59.9;53.2;50.8;53.6;48.2;9.9;10.4;9.3;
Гоце Делчев;53.1;54.7;51.7;47.7;48.0;47.4;10.2;12.2;8.2;
Гърмен;47.2;49.7;44.7;36.2;36.5;35.8;23.4;26.6;19.9;
Кресна;47.3;51.7;42.9;40.5;43.5;37.5;14.4;15.9;12.6;
Петрич;49.1;51.9;46.4;43.5;44.8;42.2;11.4;13.7;9.1;
Разлог;52.9;56.2;49.9;46.2;47.9;44.6;12.7;14.8;10.6;
Сандански;50.2;52.5;48.2;45.6;47.2;44.2;9.2;10.2;8.3;
Сатовча;46.8;47.6;46.1;36.9;34.6;39.1;21.3;27.4;15.2;
Симитли;46.7;48.4;45.1;41.3;42.9;39.7;11.7;11.4;12.0;
Струмяни;32.8;36.6;29.2;29.5;32.5;26.7;10.0;11.3;8.6;
Хаджидимово;48.3;51.5;45.1;37.4;38.2;36.7;22.5;25.8;18.7;
Якоруда;38.5;41.8;35.3;30.0;32.1;27.9;22.1;23.1;20.9;
Кюстендил;44.9;47.6;42.4;40.6;42.5;38.9;9.5;10.6;8.3;
Бобов дол;39.3;35.5;43.3;35.5;31.9;39.2;9.8;10.2;9.4;
Бобошево;39.1;44.1;34.5;34.0;36.3;31.9;13.0;17.8;7.5;
Дупница;46.6;49.5;43.9;42.1;44.0;40.4;9.5;11.1;7.9;
Кочериново;46.9;53.9;40.6;38.6;43.1;34.6;17.7;20.1;14.7;
Кюстендил;45.0;48.0;42.3;41.2;43.7;39.1;8.3;9.0;7.6;
Невестино;26.0;28.1;23.9;24.1;25.6;22.6;7.3;8.8;5.4;
