;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Християнско;Мюсюлманско;Юдейско;Друго;Нямам;Не мога да определя;Не желая да отговоря;Непоказано;
SLS Силистра;97770;45638;35767;4;13;2550;2703;4712;6383;
SLS01 Алфатар;2278;1454;565;-;-;18;64;64;113;
SLS07 Главиница;8864;1724;5706;-;-;160;197;606;471;
SLS10 Дулово;24201;3295;17050;2;2;620;647;736;1849;
SLS15 Кайнарджа;3950;795;2731;-;-;51;79;43;251;
SLS31 Силистра;41766;30100;3991;-;11;1335;1194;2372;2763;
SLS32 Ситово;4533;1432;2391;2;-;85;169;176;278;
SLS34 Тутракан;12178;6838;3333;-;-;281;353;715;658;
BG33 Североизточен;831953;499421;139178;137;748;33252;30801;56186;72230;
VAR Варна;432198;290407;25738;90;549;22905;16520;35587;40402;
VAR01 Аврен;8297;4612;918;-;2;223;538;1477;527;
VAR02 Аксаково;19499;15631;164;-;18;730;329;814;1813;
VAR04 Белослав;9870;6698;686;-;7;575;431;939;534;
VAR05 Бяла;3006;2029;177;3;-;275;178;126;218;
VAR06 Варна;319613;225314;8160;81;504;16010;11869;26754;30921;
VAR08 Ветрино;4508;2615;995;-;1;143;175;314;265;
VAR09 Вълчи дол;7608;3702;1707;1;-;469;334;511;884;
VAR14 Девня;7230;5098;454;-;5;470;191;402;610;
VAR13 Долни чифлик;15666;7415;3378;-;-;1023;811;1587;1452;
VAR16 Дългопол;12208;4906;5071;-;1;917;486;229;598;
VAR24 Провадия;18202;9020;2756;4;6;1690;705;1939;2082;
VAR26 Суворово;6491;3367;1272;1;5;380;473;495;498;
DOB Добрич;150146;96386;26207;21;103;4420;3835;7370;11804;
DOB03 Балчик;15958;10075;2223;7;7;873;464;664;1645;
DOB12 Генерал Тошево;11114;7265;2131;-;46;257;253;498;664;
DOB15 Добрич-селска;16764;8720;4922;4;1;605;307;570;1635;
DOB28 Добрич;73895;54178;5994;6;35;1934;1994;4206;5548;
DOB17 Каварна;13308;8126;3057;3;7;276;343;606;890;
DOB20 Крушари;3146;674;1678;1;-;291;161;56;285;
DOB27 Тервел;11951;4031;6166;-;6;53;218;558;919;
DOB29 Шабла;4010;3317;36;-;1;131;95;212;218;
TGV Търговище;98144;39836;39481;9;31;2081;3148;5823;7735;
TGV02 Антоново;4606;1077;2930;-;-;107;143;82;267;
TGV22 Омуртаг;16144;1877;11934;1;3;99;129;742;1359;
TGV23 Опака;5487;901;3878;-;-;22;92;427;167;
TGV24 Попово;22834;12882;5035;2;5;691;821;1772;1626;
TGV35 Търговище;49073;23099;15704;6;23;1162;1963;2800;4316;
SHU Шумен;151465;72792;47752;17;65;3846;7298;7406;12289;
SHU23 Велики Преслав;10424;5836;2832;5;-;265;377;457;652;
SHU07 Венец;6103;70;4298;1;-;19;587;526;602;
SHU10 Върбица;7724;1040;5433;1;-;59;203;377;611;
SHU18 Каолиново;10519;393;8579;-;1;64;201;214;1067;
SHU19 Каспичан;6408;3812;1577;1;1;108;283;237;389;
SHU21 Никола Козлево;5262;908;2783;-;1;32;928;211;399;
SHU22 Нови пазар;14702;6834;4562;3;6;298;1156;678;1165;
SHU25 Смядово;5502;3273;1077;-;-;258;489;95;310;
SHU11 Хитрино;5654;519;4016;-;-;85;85;192;757;
SHU30 Шумен;79167;50107;12595;6;56;2658;2989;4419;6337;
BG34 Югоизточен;959176;614240;70459;178;550;64489;43387;70806;95067;
BGS Бургас;380286;233008;46320;85;265;23746;13626;28885;34351;
BGS01 Айтос;25481;9900;9255;13;1;569;842;1629;3272;
BGS04 Бургас;196582;140419;4576;33;213;10919;6400;17115;16907;
BGS08 Камено;9545;6134;293;2;1;890;407;683;1135;
BGS09 Карнобат;20840;11939;1726;1;3;2278;1176;1994;1723;
BGS12 Малко Търново;2628;1796;12;-;1;277;198;104;240;
BGS15 Несебър;23760;15589;658;7;16;1762;967;1658;3103;
