;;Събития (опасности);Събития (опасности);Събития (опасности);Загинали лица;Загинали лица;Загинали лица;Пострадали лица;Пострадали лица;Пострадали лица;
България;85820 Други, в т.ч.;41;25;18;0;0;0;0;0;0;
България;85821 Размирици, терористични актове, етнически конфликти, кибератаки;0;1;1;0;0;0;0;0;0;
България;85822 Социални или икономически кризи;0;6;0;0;0;0;0;0;0;
България;85823 Други неизброени;41;18;17;0;0;0;0;0;0;
Благоевград;85001 БЕДСТВИЯ И КРИЗИСНИ СЪБИТИЯ - ОБЩО;623;594;626;1102;331;34;444;394;442;
Благоевград;85101 Геофизични;11;4;4;0;0;0;0;0;0;
Благоевград;85110 Земетресения;0;0;0;0;0;0;0;0;0;
Благоевград;85111 движение на земни пластове;0;0;0;0;0;0;0;0;0;
Благоевград;85112 цунами;0;0;0;0;0;0;0;0;0;
Благоевград;85120 Движение на маси (сухо);11;4;4;0;0;0;0;0;0;
Благоевград;85121 срутище;0;0;1;0;0;0;0;0;0;
Благоевград;85122 свлачище;11;4;3;0;0;0;0;0;0;
Благоевград;85123 пропадане на земята или слягане;0;0;0;0;0;0;0;0;0;
Благоевград;85130 Вулканична дейност;0;0;0;0;0;0;0;0;0;
Благоевград;85131 вулканична пепел;0;0;0;0;0;0;0;0;0;
Благоевград;85132 лахар;0;0;0;0;0;0;0;0;0;
Благоевград;85133 пирокластичен поток;0;0;0;0;0;0;0;0;0;
Благоевград;85134 лава;0;0;0;0;0;0;0;0;0;
Благоевград;85201 Метеорологични;10;7;5;0;0;0;0;0;0;
Благоевград;85210 Буря;9;6;4;0;0;0;0;0;0;
Благоевград;85211 градушка;0;0;0;0;0;0;0;0;0;
Благоевград;85212 светкавица/гръмотевична буря;0;0;0;0;0;0;0;0;0;
Благоевград;85213 обилен дъжд;9;6;4;0;0;0;0;0;0;
Благоевград;85214 смерч (торнадо);0;0;0;0;0;0;0;0;0;
Благоевград;85215 пясъчна/прашна буря;0;0;0;0;0;0;0;0;0;
Благоевград;85216 силна буря;0;0;0;0;0;0;0;0;0;
Благоевград;85217 вятър;0;0;0;0;0;0;0;0;0;
Благоевград;85220 Екстремни температури;1;1;1;0;0;0;0;0;0;
Благоевград;85221 студена вълна (в т.ч. слани);0;1;0;0;0;0;0;0;0;
Благоевград;85222 топлинна вълна;1;0;1;0;0;0;0;0;0;
Благоевград;85230 Сурови зимни условия;0;0;0;0;0;0;0;0;0;
Благоевград;85231 сняг/лед;0;0;0;0;0;0;0;0;0;
Благоевград;85232 зимна буря/виелица;0;0;0;0;0;0;0;0;0;
Благоевград;85233 мраз/скреж;0;0;0;0;0;0;0;0;0;
Благоевград;85240 Мъгла;0;0;0;0;0;0;0;0;0;
Благоевград;85301 Хидроложки;6;12;2;0;0;0;45;0;0;
Благоевград;85310 Наводнение;6;12;2;0;0;0;45;0;0;
Благоевград;85311 дъждовно;4;12;2;0;0;0;45;0;0;
Благоевград;85312 инфраструктурно;0;0;0;0;0;0;0;0;0;
Благоевград;85313 морско;0;0;0;0;0;0;0;0;0;
Благоевград;85314 от подземни води;0;0;0;0;0;0;0;0;0;
Благоевград;85315 речно;2;0;0;0;0;0;0;0;0;
Благоевград;85320 Лавина;0;0;0;0;0;0;0;0;0;
Благоевград;85330 Кален поток;0;0;0;0;0;0;0;0;0;
Благоевград;85401 Климатоложки;52;35;40;2;0;1;2;0;0;
Благоевград;85410 Суша;0;0;0;0;0;0;0;0;0;
Благоевград;85420 Стихиен пожар;52;35;40;2;0;1;2;0;0;
Благоевград;85421 горски пожар;14;6;8;2;0;0;1;0;0;
Благоевград;85422 полски пожар: храсти, шубраци, пасища, торф;38;29;32;0;0;1;1;0;0;
Благоевград;85501 Биологични;1;1;1;1079;307;0;0;.;0;
Благоевград;85510 Инфекциозни заболявания при хората;1;1;1;1079;307;0;0;.;0;
Благоевград;85511 вирусна болест;1;1;1;1079;307;0;0;.;0;
Благоевград;85512 бактериална болест;0;0;0;0;0;0;0;0;0;
Благоевград;85513 паразитна болест;0;0;0;0;0;0;0;0;0;
Благоевград;85514 гъбична болест;0;0;0;0;0;0;0;0;0;
Благоевград;85520 Инфекциозни и зоонозни болести по животните;0;0;0;0;0;0;0;0;0;
Благоевград;85521 вирусна болест;0;0;0;0;0;0;0;0;0;
Благоевград;85522 бактериална болест;0;0;0;0;0;0;0;0;0;
Благоевград;85523 паразитна болест;0;0;0;0;0;0;0;0;0;
Благоевград;85524 гъбична болест;0;0;0;0;0;0;0;0;0;
Благоевград;85525 прионова болест;0;0;0;0;0;0;0;0;0;
