;брой;брой;брой;брой;брой;брой;
;2011;2011;2011;2021;2021;2021;
;Общо;Грамотни лица;Неграмотни лица;Общо;Грамотни лица;Неграмотни лица;
Каспичан;7276;7109;167;5859;5765;94;
Никола Козлево;5362;5005;357;4731;4563;168;
Нови пазар;15409;15071;338;13578;13395;183;
Смядово;6186;6019;167;5133;4986;147;
Хитрино;5812;5685;127;5382;5272;110;
Шумен;86328;85645;683;73091;72705;386;
Югоизточен;980470;952106;28364;873050;850652;22398;
Бургас;377534;369600;7934;347448;341377;6071;
Айтос;25790;24990;800;23072;22434;638;
Бургас;194359;192336;2023;179888;178284;1604;
Камено;9421;8836;585;8769;8410;359;
Карнобат;23173;22569;604;19025;18458;567;
Малко Търново;3486;3363;123;2459;2347;112;
Несебър;20186;20007;179;21596;21416;180;
Поморие;24999;24516;483;23231;22929;302;
Приморско;5535;5458;77;5190;5123;67;
Руен;25850;24308;1542;23890;22952;938;
Созопол;11502;11308;194;11088;10967;121;
Средец;13412;12786;626;12002;11407;595;
Сунгурларе;11381;10849;532;9571;9073;498;
Царево;8440;8274;166;7667;7577;90;
Сливен;176612;166503;10109;153792;146078;7714;
Котел;17385;16110;1275;14396;13766;630;
Нова Загора;35071;33297;1774;27301;26323;978;
Сливен;112133;106560;5573;100677;95807;4870;
Твърдица;12023;10536;1487;11418;10182;1236;
Стара Загора;305781;299078;6703;271586;265540;6046;
Братя Даскалови;7998;7621;377;6561;6246;315;
Гурково;4556;4351;205;3840;3548;292;
Гълъбово;12391;12159;232;10145;10019;126;
Казанлък;66705;65869;836;60591;59848;743;
Мъглиж;9102;8202;900;8970;8113;857;
Николаево;3669;3282;387;3553;3248;305;
Опан;2796;2742;54;2307;2280;27;
Павел баня;12817;12280;537;11433;10945;488;
Раднево;18567;18147;420;15321;15091;230;
Стара Загора;147391;145243;2148;132348;130401;1947;
Чирпан;19789;19182;607;16517;15801;716;
Ямбол;120543;116925;3618;100224;97657;2567;
Болярово;3864;3660;204;2881;2732;149;
Елхово;15069;14802;267;12319;12156;163;
Стралджа;11435;10796;639;9216;8594;622;
Тунджа;22512;21700;812;19498;18804;694;
Ямбол;67663;65967;1696;56310;55371;939;
Югозападна и Южна централна България;3322112;3276640;45472;3060683;3031833;28850;
Югозападен;1963819;1950820;12999;1853109;1843759;9350;
Благоевград;295907;292102;3805;267772;265375;2397;
Банско;12119;12025;94;11664;11614;50;
Белица;8779;8663;116;8460;8390;70;
Благоевград;71478;71095;383;63171;62855;316;
Гоце Делчев;28349;28148;201;26722;26547;175;
Гърмен;13197;12825;372;13214;13009;205;
Кресна;5087;5049;38;4265;4230;35;
Петрич;49463;48396;1067;43982;43311;671;
Разлог;18835;18713;122;17386;17258;128;
Сандански;37221;36684;537;33001;32587;414;
Сатовча;13966;13799;167;12397;12310;87;
Симитли;13093;12984;109;12179;12133;46;
Струмяни;5314;5043;271;4264;4199;65;
Хаджидимово;9212;9070;142;8241;8177;64;
Якоруда;9794;9608;186;8826;8755;71;
Кюстендил;127317;125933;1384;104055;103543;512;
Бобов дол;8544;8423;121;6493;6413;80;
Бобошево;2746;2735;11;2201;2193;8;
Дупница;41463;41131;332;34897;34697;200;
Кочериново;4930;4885;45;3975;3962;13;
Кюстендил;56502;55712;790;45749;45590;159;
Невестино;2769;2742;27;1770;1751;19;
Рила;2727;2713;14;2287;2279;8;
Сапарева баня;7023;6980;43;6266;6242;24;
Трекляно;613;612;1;417;416;1;
Перник;124345;123689;656;105575;104997;578;
Брезник;6605;6568;37;5440;5399;41;
Земен;2662;2644;18;1935;1925;10;
Ковачевци;1554;1549;5;1209;1208;1;
Перник;90056;89660;396;77676;77358;318;
Радомир;19600;19501;99;16062;15990;72;
Трън;3868;3767;101;3253;3117;136;
София;227895;224963;2932;212869;211340;1529;
Антон;1459;1456;3;1360;1350;10;
Божурище;7838;7817;21;8643;8612;31;
Ботевград;30262;29873;389;28448;28168;280;
Годеч;5082;5056;26;4680;4667;13;
Горна Малина;5782;5728;54;5681;5661;20;
Долна баня;4039;3943;96;3787;3721;66;
Драгоман;5082;5078;4;4371;4356;15;
Елин Пелин;20956;20829;127;21074;20998;76;
Етрополе;11161;11095;66;10024;9985;39;
Златица;5369;5343;26;4637;4623;14;
Ихтиман;15727;14857;870;15462;15154;308;
Копривщица;2242;2236;6;1854;1852;2;
Костенец;11919;11800;119;10314;10280;34;
Костинброд;16529;16486;43;16395;16356;39;
Мирково;2392;2378;14;2197;2176;21;
Пирдоп;7696;7674;22;6735;6717;18;
Правец;6815;6523;292;6369;6207;162;
Самоков;34892;34274;618;31857;31592;265;
Своге;21118;21026;92;18262;18207;55;
Сливница;9013;8993;20;8312;8273;39;
Чавдар;1173;1154;19;1073;1061;12;
Челопеч;1349;1344;5;1334;1324;10;
София (столица);1188355;1184133;4222;1162838;1158504;4334;
