;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Полски Тръмбеш;46332.85;463.33;100.00;2635.09;26.35;5.69;1396.72;13.97;3.01;37304.71;373.05;80.51;4152.67;41.53;8.96;777.71;7.78;1.68;15.78;0.16;0.03;50.15;0.50;0.11;0.03;0.00;0.00;46332.85;463.33;100.00;2481.47;24.81;5.36;1548.79;15.49;3.34;37303.42;373.03;80.51;4152.67;41.53;8.96;780.54;7.81;1.68;15.78;0.16;0.03;50.15;0.50;0.11;0.03;0.00;0.00;46332.85;463.33;100.00;2377.01;23.77;5.13;1683.10;16.83;3.63;37275.18;372.75;80.45;4155.34;41.55;8.97;773.90;7.74;1.67;15.78;0.16;0.03;50.15;0.50;0.11;2.38;0.02;0.01;46332.85;463.33;100.00;2377.48;23.77;5.13;1685.52;16.86;3.64;37289.70;372.90;80.48;4140.07;41.40;8.94;770.39;7.70;1.66;15.78;0.16;0.03;51.52;0.52;0.11;2.38;0.02;0.01;
Свищов;62504.90;625.05;100.00;3534.36;35.34;5.65;1838.01;18.38;2.94;49817.29;498.17;79.70;4646.50;46.46;7.43;2508.64;25.09;4.01;46.05;0.46;0.07;114.04;1.14;0.18;0.01;0.00;0.00;62504.89;625.05;100.00;3547.83;35.48;5.68;1836.66;18.37;2.94;49804.95;498.05;79.68;4646.74;46.47;7.43;2508.60;25.09;4.01;46.05;0.46;0.07;114.04;1.14;0.18;0.01;0.00;0.00;62504.89;625.05;100.00;3543.80;35.44;5.67;1851.41;18.51;2.96;49800.91;498.01;79.68;4646.53;46.47;7.43;2508.44;25.08;4.01;46.05;0.46;0.07;107.75;1.08;0.17;0.01;0.00;0.00;62504.90;625.05;100.00;3544.89;35.45;5.67;1879.00;18.79;3.01;49752.18;497.52;79.60;4666.16;46.66;7.47;2508.86;25.09;4.01;46.05;0.46;0.07;107.75;1.08;0.17;-;-;0.00;
Стражица;50847.31;508.47;100.00;2780.36;27.80;5.47;1366.14;13.66;2.69;32703.95;327.04;64.32;13272.38;132.72;26.10;628.38;6.28;1.24;13.45;0.13;0.03;57.88;0.58;0.11;24.78;0.25;0.05;50847.31;508.47;100.00;2779.42;27.79;5.47;1366.09;13.66;2.69;32705.39;327.05;64.32;13272.38;132.72;26.10;627.92;6.28;1.23;13.45;0.13;0.03;57.88;0.58;0.11;24.78;0.25;0.05;50847.31;508.47;100.00;2779.42;27.79;5.47;1366.24;13.66;2.69;32694.80;326.95;64.30;13282.82;132.83;26.12;627.92;6.28;1.23;13.45;0.13;0.03;57.88;0.58;0.11;24.78;0.25;0.05;50847.31;508.47;100.00;2789.14;27.89;5.49;1366.24;13.66;2.69;32700.72;327.01;64.31;13266.73;132.67;26.09;628.36;6.28;1.24;13.45;0.13;0.03;57.88;0.58;0.11;24.78;0.25;0.05;
Сухиндол;15714.30;157.14;100.00;434.71;4.35;2.77;475.32;4.75;3.02;9512.86;95.13;60.54;4146.75;41.47;26.39;906.17;9.06;5.77;0.21;0.00;0.00;238.27;2.38;1.52;0.00;0.00;0.00;15714.30;157.14;100.00;434.05;4.34;2.76;475.79;4.76;3.03;9512.86;95.13;60.54;4144.96;41.45;26.38;906.37;9.06;5.77;0.21;0.00;0.00;240.06;2.40;1.53;0.00;0.00;0.00;15714.30;157.14;100.00;440.73;4.41;2.80;475.79;4.76;3.03;9502.85;95.03;60.47;4146.76;41.47;26.39;906.37;9.06;5.77;0.21;0.00;0.00;241.59;2.42;1.54;0.00;0.00;0.00;15714.30;157.14;100.00;446.03;4.46;2.84;476.92;4.77;3.03;9419.59;94.20;59.94;4150.34;41.50;26.41;979.60;9.80;6.23;0.21;0.00;0.00;241.59;2.42;1.54;-;-;0.00;
Габрово;202225.63;2022.26;100.00;9583.65;95.84;4.74;5724.50;57.24;2.83;91290.16;912.90;45.14;65923.92;659.24;32.60;1761.76;17.62;0.87;127.01;1.27;0.06;232.07;2.32;0.11;27582.57;275.83;13.64;202225.61;2022.26;100.00;10258.57;102.59;5.07;6106.27;61.06;3.02;98637.38;986.37;48.78;80259.27;802.59;39.69;1934.37;19.34;0.96;3368.76;33.69;1.67;232.07;2.32;0.11;1428.92;14.29;0.71;202225.61;2022.26;100.00;10433.56;104.34;5.16;6180.03;61.80;3.06;98538.20;985.38;48.73;80297.39;802.97;39.71;1945.24;19.45;0.96;3372.87;33.73;1.67;232.39;2.32;0.11;1225.94;12.26;0.61;202229.71;2022.30;100.00;10524.84;105.25;5.20;6184.71;61.85;3.06;98532.99;985.33;48.72;80214.25;802.14;39.66;1952.42;19.52;0.97;3389.14;33.89;1.68;232.39;2.32;0.11;1198.97;11.99;0.59;
Габрово;55535.98;555.36;100.00;3839.07;38.39;6.91;1799.61;18.00;3.24;21914.79;219.15;39.46;27059.11;270.59;48.72;474.76;4.75;0.85;11.60;0.12;0.02;100.35;1.00;0.18;336.69;3.37;0.61;55535.98;555.36;100.00;3854.62;38.55;6.94;1802.25;18.02;3.25;21894.18;218.94;39.42;27073.90;270.74;48.75;475.58;4.76;0.86;11.60;0.12;0.02;100.35;1.00;0.18;323.48;3.23;0.58;55535.98;555.36;100.00;3861.15;38.61;6.95;1802.63;18.03;3.25;21861.08;218.61;39.36;27101.82;271.02;48.80;476.25;4.76;0.86;12.52;0.13;0.02;100.35;1.00;0.18;320.18;3.20;0.58;55535.90;555.36;100.00;3907.91;39.08;7.04;1804.07;18.04;3.25;21855.97;218.56;39.35;27048.89;270.49;48.71;477.49;4.77;0.86;28.70;0.29;0.05;100.35;1.00;0.18;312.51;3.13;0.56;
Дряново;24826.45;248.26;100.00;1222.11;12.22;4.92;894.13;8.94;3.60;14261.33;142.61;57.44;8053.73;80.54;32.44;160.26;1.60;0.65;3.30;0.03;0.01;19.31;0.19;0.08;212.26;2.12;0.85;24826.45;248.26;100.00;1228.22;12.28;4.95;898.16;8.98;3.62;14243.20;142.43;57.37;8063.29;80.63;32.48;160.97;1.61;0.65;3.30;0.03;0.01;19.31;0.19;0.08;210.00;2.10;0.85;24826.45;248.26;100.00;1230.20;12.30;4.96;898.53;8.99;3.62;14238.37;142.38;57.35;8066.19;80.66;32.49;161.15;1.61;0.65;3.30;0.03;0.01;19.31;0.19;0.08;209.39;2.09;0.84;24826.44;248.26;100.00;1246.02;12.46;5.02;899.31;8.99;3.62;14252.83;142.53;57.41;8034.07;80.34;32.36;166.03;1.66;0.67;3.30;0.03;0.01;19.31;0.19;0.08;205.56;2.06;0.83;
Севлиево;96386.14;963.86;100.00;3333.40;33.33;3.46;2352.31;23.52;2.44;44978.64;449.79;46.67;17850.13;178.50;18.52;1006.79;10.07;1.04;21.60;0.22;0.02;102.72;1.03;0.11;26740.53;267.41;27.74;96386.12;963.86;100.00;3987.21;39.87;4.14;2727.14;27.27;2.83;52389.11;523.89;54.35;32135.99;321.36;33.34;1177.87;11.78;1.22;3263.35;32.63;3.39;102.72;1.03;0.11;602.73;6.03;0.63;96386.12;963.86;100.00;4026.55;40.27;4.18;2733.45;27.33;2.84;52338.24;523.38;54.30;32139.09;321.39;33.34;1179.62;11.80;1.22;3266.54;32.67;3.39;103.04;1.03;0.11;599.58;6.00;0.62;96386.74;963.87;100.00;4045.86;40.46;4.20;2735.60;27.36;2.84;52325.00;523.25;54.29;32147.19;321.47;33.35;1180.58;11.81;1.22;3266.64;32.67;3.39;103.04;1.03;0.11;582.83;5.83;0.60;
Трявна;25477.06;254.77;100.00;1189.07;11.89;4.67;678.44;6.78;2.66;10135.39;101.35;39.78;12960.94;129.61;50.87;119.95;1.20;0.47;90.50;0.91;0.36;9.68;0.10;0.04;293.09;2.93;1.15;25477.06;254.77;100.00;1188.51;11.89;4.67;678.71;6.79;2.66;10110.90;101.11;39.69;12986.09;129.86;50.97;119.95;1.20;0.47;90.50;0.91;0.36;9.68;0.10;0.04;292.72;2.93;1.15;25477.06;254.77;100.00;1315.65;13.16;5.16;745.42;7.45;2.93;10100.51;101.01;39.65;12990.29;129.90;50.99;128.21;1.28;0.50;90.50;0.91;0.36;9.68;0.10;0.04;96.78;0.97;0.38;25480.62;254.81;100.00;1325.05;13.25;5.20;745.73;7.46;2.93;10099.18;100.99;39.63;12984.10;129.84;50.96;128.31;1.28;0.50;90.50;0.91;0.36;9.68;0.10;0.04;98.07;0.98;0.38;
Разград;241160.80;2411.61;100.00;12417.01;124.17;5.15;7031.26;70.31;2.92;164954.01;1649.54;68.40;54087.04;540.87;22.43;1704.76;17.05;0.71;574.40;5.74;0.24;392.28;3.92;0.16;0.02;0.00;0.00;241160.80;2411.61;100.00;11986.65;119.87;4.97;7492.18;74.92;3.11;164903.34;1649.03;68.38;54104.53;541.05;22.44;1707.55;17.08;0.71;574.25;5.74;0.24;392.28;3.92;0.16;0.02;0.00;0.00;241160.80;2411.61;100.00;11997.45;119.97;4.97;7495.90;74.96;3.11;164839.67;1648.40;68.35;54153.63;541.54;22.46;1707.55;17.08;0.71;574.28;5.74;0.24;392.28;3.92;0.16;0.03;0.00;0.00;241160.80;2411.61;100.00;12093.25;120.93;5.01;7495.76;74.96;3.11;164791.63;1647.92;68.33;54100.58;541.01;22.43;1712.99;17.13;0.71;574.28;5.74;0.24;392.28;3.92;0.16;0.02;0.00;0.00;
Завет;27367.69;273.68;100.00;1230.69;12.31;4.50;541.93;5.42;1.98;16291.65;162.92;59.53;9197.82;91.98;33.61;70.52;0.71;0.26;-;-;-;35.09;0.35;0.13;0.00;0.00;0.00;27367.69;273.68;100.00;1230.69;12.31;4.50;541.93;5.42;1.98;16291.65;162.92;59.53;9197.82;91.98;33.61;70.52;0.71;0.26;-;-;0.00;35.09;0.35;0.13;0.00;0.00;0.00;27367.69;273.68;100.00;1230.79;12.31;4.50;535.04;5.35;1.96;16291.64;162.92;59.53;9204.62;92.05;33.63;70.52;0.71;0.26;-;-;-;35.09;0.35;0.13;0.00;0.00;0.00;27367.69;273.68;100.00;1230.79;12.31;4.50;534.55;5.35;1.95;16289.82;162.90;59.52;9204.62;92.05;33.63;72.83;0.73;0.27;-;-;0.00;35.09;0.35;0.13;-;-;0.00;
Исперих;40180.41;401.80;100.00;2504.70;25.05;6.23;1126.43;11.26;2.80;27638.68;276.39;68.79;8612.40;86.12;21.43;140.04;1.40;0.35;65.00;0.65;0.16;93.16;0.93;0.23;0.00;0.00;0.00;40180.41;401.80;100.00;2256.30;22.56;5.62;1387.02;13.87;3.45;27626.57;276.27;68.76;8612.13;86.12;21.43;140.23;1.40;0.35;65.00;0.65;0.16;93.16;0.93;0.23;0.00;0.00;0.00;40180.41;401.80;100.00;2251.19;22.51;5.60;1393.09;13.93;3.47;27583.25;275.83;68.65;8654.44;86.54;21.54;140.23;1.40;0.35;65.04;0.65;0.16;93.16;0.93;0.23;0.02;0.00;0.00;40180.41;401.80;100.00;2252.92;22.53;5.61;1393.75;13.94;3.47;27570.31;275.70;68.62;8662.22;86.62;21.56;142.99;1.43;0.36;65.04;0.65;0.16;93.16;0.93;0.23;0.02;0.00;0.00;
Кубрат;43224.08;432.24;100.00;1983.42;19.83;4.59;1247.69;12.48;2.89;31689.88;316.90;73.32;8081.53;80.82;18.70;160.51;1.61;0.37;4.66;0.05;0.01;56.39;0.56;0.13;0.00;0.00;0.00;43224.08;432.24;100.00;1983.65;19.84;4.59;1247.46;12.47;2.89;31667.76;316.68;73.26;8103.82;81.04;18.75;160.51;1.61;0.37;4.50;0.05;0.01;56.39;0.56;0.13;0.00;0.00;0.00;43224.08;432.24;100.00;1982.83;19.83;4.59;1248.82;12.49;2.89;31667.21;316.67;73.26;8103.82;81.04;18.75;160.51;1.61;0.37;4.50;0.05;0.01;56.39;0.56;0.13;0.00;0.00;0.00;43224.08;432.24;100.00;1982.86;19.83;4.59;1248.90;12.49;2.89;31701.03;317.01;73.34;8069.54;80.70;18.67;160.86;1.61;0.37;4.50;0.05;0.01;56.39;0.56;0.13;-;-;0.00;
Лозница;24037.71;240.38;100.00;1306.50;13.07;5.44;890.53;8.91;3.70;17565.75;175.66;73.08;3592.52;35.93;14.95;646.08;6.46;2.69;8.88;0.09;0.04;27.43;0.27;0.11;0.01;0.00;0.00;24037.71;240.38;100.00;1306.67;13.07;5.44;890.33;8.90;3.70;17568.74;175.69;73.09;3588.84;35.89;14.93;646.81;6.47;2.69;8.88;0.09;0.04;27.43;0.27;0.11;0.01;0.00;0.00;24037.71;240.38;100.00;1318.39;13.18;5.48;890.33;8.90;3.70;17557.02;175.57;73.04;3588.84;35.89;14.93;646.81;6.47;2.69;8.88;0.09;0.04;27.43;0.27;0.11;0.01;0.00;0.00;24037.71;240.38;100.00;1398.62;13.99;5.82;890.07;8.90;3.70;17490.24;174.90;72.76;3575.66;35.76;14.88;646.81;6.47;2.69;8.88;0.09;0.04;27.43;0.27;0.11;0.00;0.00;0.00;
Разград;65233.57;652.34;100.00;3539.88;35.40;5.43;2032.59;20.33;3.12;43886.00;438.86;67.28;15167.38;151.67;23.25;372.17;3.72;0.57;85.04;0.85;0.13;150.51;1.51;0.23;0.00;0.00;0.00;65233.57;652.34;100.00;3572.47;35.72;5.48;2036.59;20.37;3.12;43848.81;438.49;67.22;15167.38;151.67;23.25;372.78;3.73;0.57;85.04;0.85;0.13;150.51;1.51;0.23;0.00;0.00;0.00;65233.57;652.34;100.00;3574.79;35.75;5.48;2039.60;20.40;3.13;43843.47;438.43;67.21;15167.38;151.67;23.25;372.78;3.73;0.57;85.04;0.85;0.13;150.51;1.51;0.23;0.00;0.00;0.00;65233.57;652.34;100.00;3586.27;35.86;5.50;2039.48;20.39;3.13;43834.37;438.34;67.20;15165.13;151.65;23.25;372.78;3.73;0.57;85.04;0.85;0.13;150.51;1.51;0.23;-;-;0.00;
Самуил;25009.27;250.09;100.00;1344.60;13.45;5.38;719.04;7.19;2.88;16946.55;169.47;67.76;5772.85;57.73;23.08;193.90;1.94;0.78;4.00;0.04;0.02;28.32;0.28;0.11;0.00;0.00;0.00;25009.27;250.09;100.00;1129.65;11.30;4.52;915.81;9.16;3.66;16964.30;169.64;67.83;5772.01;57.72;23.08;195.16;1.95;0.78;4.00;0.04;0.02;28.32;0.28;0.11;0.00;0.00;0.00;25009.27;250.09;100.00;1130.08;11.30;4.52;915.94;9.16;3.66;16963.75;169.64;67.83;5772.01;57.72;23.08;195.16;1.95;0.78;4.00;0.04;0.02;28.32;0.28;0.11;0.00;0.00;0.00;25009.27;250.09;100.00;1131.83;11.32;4.53;915.94;9.16;3.66;16969.03;169.69;67.85;5764.97;57.65;23.05;195.16;1.95;0.78;4.00;0.04;0.02;28.32;0.28;0.11;-;-;0.00;
Цар Калоян;16108.08;161.08;100.00;507.23;5.07;3.15;473.05;4.73;2.94;10935.51;109.36;67.89;3662.54;36.63;22.74;121.55;1.22;0.75;406.81;4.07;2.53;1.38;0.01;0.01;0.00;0.00;0.00;16108.08;161.08;100.00;507.22;5.07;3.15;473.05;4.73;2.94;10935.51;109.36;67.89;3662.54;36.63;22.74;121.55;1.22;0.75;406.81;4.07;2.53;1.38;0.01;0.01;0.00;0.00;0.00;16108.08;161.08;100.00;509.38;5.09;3.16;473.07;4.73;2.94;10933.33;109.33;67.87;3662.54;36.63;22.74;121.55;1.22;0.75;406.81;4.07;2.53;1.38;0.01;0.01;0.00;0.00;0.00;16108.08;161.08;100.00;509.96;5.10;3.17;473.07;4.73;2.94;10936.84;109.37;67.90;3658.45;36.58;22.71;121.55;1.22;0.75;406.81;4.07;2.53;1.38;0.01;0.01;-;-;0.00;
Русе;285916.15;2859.16;100.00;16961.11;169.61;5.93;10230.96;102.31;3.58;206788.86;2067.89;72.33;41673.32;416.73;14.58;7937.98;79.38;2.78;790.72;7.91;0.28;1533.09;15.33;0.54;0.10;0.00;0.00;285916.15;2859.16;100.00;17123.21;171.23;5.99;10279.71;102.80;3.60;206604.21;2066.04;72.26;41673.69;416.74;14.58;7936.27;79.36;2.78;790.72;7.91;0.28;1508.23;15.08;0.53;0.10;0.00;0.00;285916.15;2859.16;100.00;17506.23;175.06;6.12;10569.75;105.70;3.70;205942.09;2059.42;72.03;41620.52;416.21;14.56;7935.83;79.36;2.78;790.74;7.91;0.28;1550.89;15.51;0.54;0.10;0.00;0.00;285916.15;2859.16;100.00;17298.21;172.98;6.05;10852.82;108.53;3.80;206426.53;2064.27;72.20;41033.86;410.34;14.35;7937.82;79.38;2.78;790.74;7.91;0.28;1576.07;15.76;0.55;0.09;0.00;0.00;
Борово;25208.71;252.09;100.00;1216.54;12.17;4.83;858.94;8.59;3.41;19105.69;191.06;75.79;2909.20;29.09;11.54;981.58;9.82;3.89;3.93;0.04;0.02;132.83;1.33;0.53;0.00;0.00;0.00;25208.71;252.09;100.00;1216.54;12.17;4.83;858.94;8.59;3.41;19107.41;191.07;75.80;2909.20;29.09;11.54;979.86;9.80;3.89;3.93;0.04;0.02;132.83;1.33;0.53;0.00;0.00;0.00;25208.71;252.09;100.00;1269.43;12.69;5.04;940.13;9.40;3.73;18976.20;189.76;75.28;2908.76;29.09;11.54;979.82;9.80;3.89;3.93;0.04;0.02;130.44;1.30;0.52;0.00;0.00;0.00;25208.71;252.09;100.00;1269.71;12.70;5.04;940.16;9.40;3.73;18970.55;189.71;75.25;2906.65;29.07;11.53;979.82;9.80;3.89;3.93;0.04;0.02;137.90;1.38;0.55;-;-;0.00;
Бяла;34006.83;340.07;100.00;1442.22;14.42;4.24;1244.81;12.45;3.66;24877.53;248.78;73.15;5729.94;57.30;16.85;622.19;6.22;1.83;12.93;0.13;0.04;77.20;0.77;0.23;0.01;0.00;0.00;34006.83;340.07;100.00;1442.76;14.43;4.24;1285.46;12.85;3.78;24836.34;248.36;73.03;5729.94;57.30;16.85;622.19;6.22;1.83;12.93;0.13;0.04;77.20;0.77;0.23;0.01;0.00;0.00;34006.83;340.07;100.00;1445.15;14.45;4.25;1312.63;13.13;3.86;24808.21;248.08;72.95;5729.43;57.29;16.85;621.27;6.21;1.83;12.93;0.13;0.04;77.20;0.77;0.23;0.01;0.00;0.00;34006.83;340.07;100.00;1451.72;14.52;4.27;1313.09;13.13;3.86;24897.24;248.97;73.21;5615.82;56.16;16.51;627.20;6.27;1.84;12.93;0.13;0.04;88.82;0.89;0.26;0.01;0.00;0.00;
Ветово;32758.50;327.58;100.00;1465.09;14.65;4.47;878.62;8.79;2.68;21081.62;210.82;64.35;8119.47;81.19;24.79;154.19;1.54;0.47;413.75;4.14;1.26;645.76;6.46;1.97;-;-;-;32758.50;327.58;100.00;1506.95;15.07;4.60;877.88;8.78;2.68;21056.48;210.56;64.28;8120.14;81.20;24.79;154.19;1.54;0.47;413.75;4.14;1.26;629.11;6.29;1.92;-;-;0.00;32758.50;327.58;100.00;1508.69;15.09;4.61;878.41;8.78;2.68;21039.08;210.39;64.22;8079.49;80.79;24.66;154.19;1.54;0.47;413.75;4.14;1.26;684.89;6.85;2.09;-;-;-;32758.50;327.58;100.00;1510.30;15.10;4.61;883.14;8.83;2.70;21040.27;210.40;64.23;8060.64;80.61;24.61;155.15;1.55;0.47;413.75;4.14;1.26;695.25;6.95;2.12;-;-;0.00;
Две могили;34208.35;342.08;100.00;1414.27;14.14;4.13;1010.67;10.11;2.95;24403.09;244.03;71.34;7054.70;70.55;20.62;259.57;2.60;0.76;12.82;0.13;0.04;53.23;0.53;0.16;0.00;0.00;0.00;34208.35;342.08;100.00;1419.46;14.19;4.15;1010.84;10.11;2.95;24401.36;244.01;71.33;7054.70;70.55;20.62;259.57;2.60;0.76;12.82;0.13;0.04;49.59;0.50;0.14;0.00;0.00;0.00;34208.35;342.08;100.00;1666.37;16.66;4.87;1011.54;10.12;2.96;24164.16;241.64;70.64;7054.52;70.55;20.62;259.52;2.60;0.76;12.82;0.13;0.04;39.41;0.39;0.12;0.00;0.00;0.00;34208.35;342.08;100.00;1670.38;16.70;4.88;1010.28;10.10;2.95;24343.29;243.43;71.16;6873.41;68.73;20.09;259.52;2.60;0.76;12.82;0.13;0.04;38.66;0.39;0.11;-;-;0.00;
Иваново;49513.21;495.13;100.00;1952.61;19.53;3.94;1964.86;19.65;3.97;36747.07;367.47;74.22;7843.91;78.44;15.84;651.78;6.52;1.32;325.44;3.25;0.66;27.53;0.28;0.06;0.00;0.00;0.00;49513.21;495.13;100.00;1950.49;19.50;3.94;1965.53;19.66;3.97;36746.72;367.47;74.22;7845.71;78.46;15.85;651.78;6.52;1.32;325.44;3.25;0.66;27.53;0.28;0.06;0.00;0.00;0.00;49513.21;495.13;100.00;1951.26;19.51;3.94;1965.27;19.65;3.97;36744.76;367.45;74.21;7845.35;78.45;15.84;653.58;6.54;1.32;325.46;3.25;0.66;27.53;0.28;0.06;0.00;0.00;0.00;49513.21;495.13;100.00;1861.74;18.62;3.76;2060.60;20.61;4.16;37072.44;370.72;74.87;7507.96;75.08;15.16;656.85;6.57;1.33;325.46;3.25;0.66;28.15;0.28;0.06;0.00;0.00;0.00;
Русе;56804.93;568.05;100.00;6605.18;66.05;11.63;2642.54;26.43;4.65;38715.17;387.15;68.15;6237.19;62.37;10.98;2348.20;23.48;4.13;15.99;0.16;0.03;240.57;2.41;0.42;0.09;0.00;0.00;56804.93;568.05;100.00;6639.17;66.39;11.69;2648.26;26.48;4.66;38676.57;386.77;68.09;6236.74;62.37;10.98;2347.55;23.48;4.13;15.99;0.16;0.03;240.57;2.41;0.42;0.09;0.00;0.00;56804.93;568.05;100.00;6646.38;66.46;11.70;2654.11;26.54;4.67;38666.24;386.66;68.07;6233.97;62.34;10.97;2347.55;23.48;4.13;15.99;0.16;0.03;240.60;2.41;0.42;0.09;0.00;0.00;56804.93;568.05;100.00;6498.49;64.98;11.44;2839.91;28.40;5.00;38692.79;386.93;68.12;6177.99;61.78;10.88;2349.63;23.50;4.14;15.99;0.16;0.03;230.05;2.30;0.40;0.09;0.00;0.00;
Сливо поле;27607.84;276.08;100.00;1781.67;17.82;6.45;833.48;8.33;3.02;20685.33;206.85;74.93;1991.41;19.91;7.21;2027.31;20.27;7.34;0.56;0.01;0.00;288.08;2.88;1.04;0.00;0.00;0.00;27607.84;276.08;100.00;1782.98;17.83;6.46;834.26;8.34;3.02;20688.73;206.89;74.94;1989.75;19.90;7.21;2028.03;20.28;7.35;0.56;0.01;0.00;283.52;2.84;1.03;0.00;0.00;0.00;27607.84;276.08;100.00;1782.98;17.83;6.46;834.26;8.34;3.02;20689.33;206.89;74.94;1989.75;19.90;7.21;2028.03;20.28;7.35;0.56;0.01;0.00;282.92;2.83;1.02;0.00;0.00;0.00;27607.84;276.08;100.00;1783.13;17.83;6.46;834.40;8.34;3.02;20500.22;205.00;74.26;2188.81;21.89;7.93;2017.79;20.18;7.31;0.56;0.01;0.00;282.92;2.83;1.02;-;-;0.00;
Ценово;25807.78;258.08;100.00;1083.53;10.84;4.20;797.06;7.97;3.09;21173.36;211.73;82.04;1787.50;17.87;6.93;893.15;8.93;3.46;5.30;0.05;0.02;67.89;0.68;0.26;0.00;0.00;0.00;25807.78;258.08;100.00;1164.86;11.65;4.51;798.55;7.99;3.09;21090.60;210.91;81.72;1787.50;17.87;6.93;893.08;8.93;3.46;5.30;0.05;0.02;67.89;0.68;0.26;0.00;0.00;0.00;25807.78;258.08;100.00;1235.97;12.36;4.79;973.41;9.73;3.77;20854.11;208.54;80.81;1779.25;17.79;6.89;891.86;8.92;3.46;5.30;0.05;0.02;67.89;0.68;0.26;0.00;0.00;0.00;25807.78;258.08;100.00;1252.74;12.53;4.85;971.23;9.71;3.76;20909.74;209.10;81.02;1702.58;17.03;6.60;891.86;8.92;3.46;5.30;0.05;0.02;74.33;0.74;0.29;-;-;0.00;
Силистра;284528.28;2845.28;100.00;14068.89;140.69;4.94;7814.92;78.15;2.75;213522.73;2135.23;75.04;41509.90;415.10;14.59;5543.34;55.43;1.95;923.01;9.23;0.32;1145.49;11.45;0.40;0.00;0.00;0.00;284528.28;2845.28;100.00;14086.52;140.87;4.95;7814.19;78.14;2.75;213477.66;2134.78;75.03;41509.90;415.10;14.59;5542.75;55.43;1.95;923.01;9.23;0.32;1174.26;11.74;0.41;0.00;0.00;0.00;284528.28;2845.28;100.00;13994.30;139.94;4.92;7914.25;79.14;2.78;213404.94;2134.05;75.00;41509.90;415.10;14.59;5545.11;55.45;1.95;923.62;9.24;0.32;1236.15;12.36;0.43;0.00;0.00;0.00;284528.28;2845.28;100.00;13996.98;139.97;4.92;7915.10;79.15;2.78;213424.42;2134.24;75.01;41435.38;414.35;14.56;5545.28;55.45;1.95;923.62;9.24;0.32;1287.50;12.88;0.45;0.00;0.00;0.00;
